Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Baidoo,Salzburg,Liefering,"RCB, LCB",19,1000000,2027-06-30,21,1986,1,1.22,0,0.23,18.17,60.6,Austria,Austria,right,186,76,no,11.37,7.57,66.47,5.21,66.09,0,0,0.68,6.34,10.34,0.45,4,0.18,0,0,0.5,0.05,1,0.05,0.06,0,0,7,0.32,28.57,14.286,0,0.09,0,0,0,0.09,0,0,0.91,45,2.45,33.33,0.36,1.27,25.33,0.36,0.27,48.35,83.97,19.62,71.36,2.31,88.24,23.88,94.69,42.46,88.15,5.8,54.69,23,38.65,0.01,0.18,0,0,0.05,0,0.05,5.53,64.75,0.59,38.46,0.45,30,0.23,0,9.92,72.15,0,,0,,0,0,0,0,,,1.45,,,0,0,0,0,0,0
M. Seidl,Rapid Wien,Blau-Weiß Linz,"LWF, RWF, AMF",22,1000000,2024-06-30,26,2293,12,10.9,3,4.4,22.69,36.16,Austria,Austria,right,175,68,no,4.79,4.63,46.61,2.79,22.54,0.43,0.67,0.12,2.2,3.44,1.18,0,0,0,0,4.59,0.47,12,0.47,0.43,0,0,92,3.61,31.52,13.043,0.12,2,35.29,1.22,38.71,0.78,30,0.2,3.06,57.69,10.09,39.69,5.26,2.04,28.22,2.12,1.81,38.82,76.64,10.87,65.7,9.89,90.48,9.73,76.21,34.85,80.52,1.96,50,15.87,26.77,0.17,1.65,0.08,0.04,2,49.02,0.75,5.73,64.38,3.69,55.32,1.96,36,2.32,0.71,6.67,80,0,,0,,0,0,0,0,,,0.24,,,0.39,0.31,0,0.12,0,0
B. Okoh,Salzburg,Liefering,"LCB, RCB",20,1000000,2025-06-30,8,476,0,0.37,0,0.02,24.58,58.46,United States,"United States, Switzerland",left,188,91,no,14.37,8.32,59.09,7.94,54.76,1.13,1.82,0.95,8.32,13.33,1.89,1,0.19,1,0.19,1.13,0,0,0,0.07,0,0,3,0.57,33.33,0,0,0,0,0,0,0,0,0,1.32,71.43,3.4,55.56,0.38,1.89,26.09,0.76,0.76,46.7,82.59,24.77,74.81,1.89,100,16.64,94.32,39.89,85.78,6.81,63.89,20.68,34.07,0,0.19,0,0,0.19,0,0,8.89,61.7,1.13,16.67,1.13,33.33,0.19,0,9.83,80.77,0,,0,,0,0,0,0,,,1.32,,,0,0,0,0,0,0
B. Koumetio,Austria Wien,Austria Wien II,LCB,20,600000,2025-06-30,4,389,0,0.66,0,0,13.19,68.42,France,"France, Cameroon",left,195,81,yes,8.79,2.78,66.67,5.55,62.5,0,0,0.23,6.94,9.28,0.46,0,0,0,0,0.69,0,0,0,0.15,0,0,3,0.69,33.33,0,0,0.23,0,0.23,0,0,0,0,0.23,100,2.31,70,1.16,1.16,23.14,0.46,0.23,39.1,79.29,15.04,60,4.4,94.74,17.12,91.89,34.24,84.46,4.63,45,22.85,40.67,0,0,0,0,0.46,50,0,5.55,54.17,0.69,33.33,0.46,50,0,0.23,6.94,63.33,0,,0,,0,0,0,0,,,3.7,,,0,0,0,0,0,0
M. Polster,Austria Wien,Austria Wien II,"LB, LAMF",20,600000,2025-06-30,5,464,1,0.08,2,0.2,25.22,49.23,Austria,Austria,left,183,69,no,8.73,7.37,52.63,2.52,46.15,0.58,1,0.19,4.27,7.33,1.75,2,0.39,0,0,4.85,0.19,1,0.19,0.02,0,0,5,0.97,40,20,0.39,2.72,35.71,2.72,35.71,0,0,0.78,5.82,60,11.83,45.9,1.94,3.3,21.53,2.52,1.94,34.53,74.72,12.8,71.21,4.85,68,10.28,73.58,31.03,78.13,1.16,50,16.28,13.8,0.04,0.39,0,0.19,0,0,0.39,4.85,80,2.52,53.85,0.19,0,0.39,1.16,7.95,70.73,0,,0,,0,0,0,0,,,0.39,,,0,0,0,0,0,0
D. Oroz,Vitesse,Sturm Graz II,RCB,22,600000,2024-06-30,7,502,0,0.2,0,0,18.65,66.35,Austria,"Austria, Croatia",right,192,75,no,13.8,7.35,68.29,6.99,69.23,0.36,0.48,0.36,8.43,11.37,1.08,1,0.18,0,0,0,0,0,0,0.04,0,0,3,0.54,0,0,0,0.18,0,0,0,0.18,0,0,0.18,0,0.9,40,0.72,0.18,21.51,0.18,0.18,42.67,74.79,20.26,62.83,3.76,95.24,14.88,86.75,33.17,84.32,9.32,42.31,24.91,47.29,0,0,0,0,0.18,0,0,6.45,36.11,0.54,0,0.18,0,0,0,9.32,55.77,0,,0,,0,0,0,0,,,3.05,,,0,0,0,0,0,0
O. Strunz,Rapid Wien,Rapid Wien II,"RAMF, RWF, RW",23,500000,2027-06-30,4,340,2,2,0,0.34,34.94,50.76,Austria,Austria,left,185,79,no,6.88,5.82,54.55,6.62,68,0.26,0.36,0,3.44,4.64,1.85,3,0.79,0,0,4.5,0.53,2,0.53,0.53,0,0,12,3.18,41.67,16.667,0,0,0,0,0,0,0,0,5.29,55,17.74,43.28,4.76,1.59,12.71,1.06,2.38,23.03,78.16,6.09,78.26,5.03,84.21,6.62,84,20.91,81.01,2.12,50,13.91,34.94,0.09,1.59,0.26,0,0.53,50,0.53,1.06,100,2.91,72.73,0.53,50,2.38,0,4.24,62.5,0,,0,,0,0,0,0,,,0.26,,,0,0,0,0,0,0
C. Lang,Hartberg,Sturm Graz II,"CF, AMF",21,500000,2025-06-30,12,1077,5,4.92,1,1.55,21.64,40.54,Austria,Austria,right,178,73,no,4.76,4.18,58,2.42,34.48,0,0,0.08,2.34,3.32,0.92,2,0.17,0,0,4.68,0.42,5,0.42,0.41,0,0,37,3.09,43.24,13.514,0.08,1.34,37.5,0.75,22.22,0.5,50,0.33,4.68,53.57,11.78,39.72,4.51,2.51,18.8,1.92,1.42,29.75,75.84,8.44,68.32,4.6,94.55,9.69,79.31,26.57,79.56,2.01,50,16.73,32.23,0.13,1.67,0.08,0,0.92,36.36,0.42,4.43,83.02,2.51,53.33,0.84,40,1.59,0.33,5.52,78.79,0,,0,,0,0,0,0,,,0,,,1.25,0.42,0,0.42,1,0
N. Geyrhofer,Sturm Graz,Sturm Graz II,RCB,23,500000,2024-06-30,8,701,0,0.45,0,0,18.36,59.44,Austria,Austria,right,188,77,no,11.17,6.55,68.63,2.05,68.75,0.39,0.52,0.64,6.29,8.55,0.77,1,0.13,0,0,1.03,0,0,0,0.06,0,0,3,0.39,33.33,0,0,0,0,0,0,0,0,0,1.41,63.64,5.78,48.89,0.39,0.64,24.27,0.26,0.77,45.58,86.2,19.39,74.17,3.98,100,18.62,93.1,39.8,89.68,5.78,62.22,20.93,37.03,0,0,0,0.13,0,0,0,5.91,56.52,1.03,37.5,1.41,36.36,0.39,0,8.22,68.75,0,,0,,0,0,0,0,,,3.21,,,0,0,0,0,0,0
I. Dramé,Band?rmaspor,Austria Wien II,"LAMF, CF, RWF",21,500000,,20,1419,7,7.8,1,1.62,33.62,40.57,Senegal,Senegal,right,167,61,no,7.48,5.33,64.29,6.98,38.18,0.7,1.16,0.19,3.36,5.58,1.33,2,0.13,1,0.06,5.96,0.44,5,0.32,0.49,0,0,50,3.17,50,14,0.06,1.01,25,0.63,30,0.38,16.67,0.06,9.13,43.06,17.12,34.44,3.3,2.85,11.86,1.97,2.79,15.41,67.9,3.81,56.67,3.3,84.62,4,69.84,13.83,71.1,0.57,66.67,14.52,10.14,0.1,0.89,0,0,0.57,33.33,0.63,1.08,41.18,1.46,39.13,0.57,22.22,0.76,0.25,1.71,62.96,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0.06,2,100
