Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Højlund,Atalanta,Sturm Graz,CF,20,35000000,2027-06-30,5,433,3,2.06,2,1.08,27.02,29.23,Denmark,Denmark,left,187,79,no,2.29,1.87,44.44,7.27,22.86,0,0,0,1.45,1.96,0.62,0,0,0,0,3.33,0.62,3,0.62,0.43,0,0,9,1.87,66.67,33.333,0.42,1.45,42.86,1.45,42.86,0,0,0.42,2.49,58.33,11.43,34.55,6.03,1.25,9.35,2.29,1.45,14.97,62.5,3.74,50,3.74,83.33,4.16,70,13.51,64.62,0.21,100,15.68,9.5,0.22,1.25,0,0,0,0,0.42,0.62,33.33,1.66,37.5,0,0,1.04,0.42,1.25,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
N. Okafor,Milan,Salzburg,CF,23,22000000,2024-06-30,21,1071,7,4.97,2,3.86,21.76,33.98,Switzerland,"Switzerland, Nigeria",right,185,84,no,2.69,2.77,45.45,1.6,15.79,0.5,0.91,0,0.92,1.67,1.09,2,0.17,0,0,6.39,0.59,7,0.59,0.42,0,0,32,2.69,37.5,21.875,0.17,3.95,36.17,3.03,33.33,0.84,50,0.59,6.39,53.95,13.95,38.55,4.79,3.11,16.89,2.35,1.01,22.86,68.38,3.7,56.82,5.04,88.33,8.66,62.14,17.98,76.64,1.26,46.67,18.66,16.12,0.32,1.93,0.34,0,1.09,46.15,1.26,1.68,60,4.29,47.06,0.92,45.45,1.34,1.34,2.77,78.79,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0,0,0
L. Su?i?,Salzburg,Salzburg,"AMF, RCMF",20,20000000,2025-06-30,15,1170,0,1.28,3,1.59,12.77,46.39,Austria,"Austria, Croatia",left,185,77,no,5.31,3.46,66.67,1.85,20.83,0,0,0.15,3,5.2,0.38,4,0.31,0,0,2.46,0,0,0,0.1,0,0,21,1.62,19.05,0,0.23,1.15,40,0.38,60,0.62,37.5,0.08,2.54,51.52,5.85,42.11,1.46,1.54,24.85,0.62,0.92,36.92,78.33,11.69,61.84,7.23,94.68,11.69,86.84,31.62,82.48,4.15,57.41,17.41,26.1,0.12,1.46,0.15,0.08,1.15,33.33,0.62,4.92,57.81,3.31,58.14,1.77,47.83,1.92,0.46,6,79.49,0,,0,,0,0,0,0,,,0.23,,,0.46,0,0,1.77,0,0
B. Šeško,RB Leipzig,Salzburg,CF,20,20000000,2026-06-30,30,2172,16,13.95,2,1.87,22.38,39.44,Slovenia,Slovenia,right,195,85,no,3.36,2.69,53.85,6.55,55.06,0.12,0.21,0.12,1.78,3.06,1.41,1,0.04,0,0,3.31,0.66,14,0.58,0.58,2,0.08,77,3.19,53.25,20.779,0.08,0.75,16.67,0.29,14.29,0.46,18.18,0.08,3.52,42.35,9.53,27.39,4.27,1.28,12.51,3.27,0.58,16.74,69.55,3.52,49.41,3.27,83.54,3.94,70.53,15.46,73.19,0.54,38.46,14.23,11.29,0.08,0.37,0.04,0,0.12,0,0.29,1.2,37.93,0.95,52.17,0.08,0,0.83,0.17,1.57,42.11,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,100
N. Seiwald,RB Leipzig,Salzburg,"DMF, LCMF, RCMF",22,20000000,2026-06-30,31,2785,3,2.29,3,4.91,14.77,55.36,Austria,Austria,right,179,70,no,8.85,6.53,67.82,1.52,42.55,0.29,0.5,0.29,4.14,7.05,1.07,3,0.1,0,0,1.65,0.1,3,0.1,0.07,0,0,20,0.65,45,15,0.1,1.29,27.5,0.81,32,0.45,21.43,0.23,1.45,64.44,3.85,47.9,0.78,0.71,26.24,0.26,0.65,43.14,80.9,13.73,66.12,6.72,96.63,15.45,86.4,36.48,88.22,5.36,43.98,18.41,35.65,0.16,1.16,0.03,0.06,0.36,18.18,0.23,6.66,61.17,2.84,31.82,0.94,17.24,0.71,0.36,6.56,71.43,0,,0,,0,0,0,0,,,0.48,,,0.65,0.06,100,3.49,0,0
S. Pavlovi?,Salzburg,Salzburg,LCB,22,20000000,2027-06-30,24,2184,1,2.24,1,0.74,21.84,65.09,Serbia,Serbia,left,194,86,no,13.02,7.46,71.82,6.76,72.56,0.58,0.97,0.29,7.09,11.97,1.32,10,0.41,1,0.04,0.91,0.04,1,0.04,0.09,1,0.04,24,0.99,25,4.167,0.04,0.12,33.33,0.12,33.33,0,0,0,0.82,65,3.59,51.72,0.82,2.02,33.01,0.08,0.99,52.54,81.25,23.2,70.16,3.05,94.59,21.18,90.66,44.59,86.78,7.83,50.53,21.09,37.06,0.03,0.16,0.04,0,0.16,50,0.12,9.52,58.01,1.28,32.26,1.2,34.48,0.49,0.04,11.74,69.82,0,,0,,0,0,0,0,,,1.61,,,0.04,0.04,0,0,0,0
M. Kjærgaard,Salzburg,Salzburg,"LCMF, LAMF, AMF",20,15000000,2026-06-30,26,1726,2,2.35,4,3.46,15.23,48.63,Denmark,Denmark,left,192,77,no,6.67,6.73,55.81,1.04,20,0.16,0.27,0.05,2.76,4.82,1.04,2,0.1,0,0,2.29,0.1,2,0.1,0.12,0,0,30,1.56,26.67,6.667,0.21,1.83,31.43,1.56,30,0.26,40,0.21,1.93,59.46,5.27,47.52,1.72,2.35,24.56,0.78,0.63,35.09,81.13,11.68,73.66,6.99,94.03,10.06,83.42,30.3,85.54,2.97,66.67,18.08,31.71,0.18,1.25,0.05,0.05,0.63,25,0.31,5.37,75.73,2.61,52,0.52,40,1.2,0.68,5.74,85.45,0,,0,,0,0,0,0,,,0.52,,,0.31,0.05,100,1.41,0,0
O. Solet,Salzburg,Salzburg,RCB,23,15000000,2025-06-30,25,2348,1,1.17,1,0.3,19.63,63.09,France,"France, Central African Republic",right,192,88,no,12.3,7.05,78.8,5.21,55.15,0.27,0.46,0.73,6.48,11.02,0.77,4,0.15,0,0,1.15,0.04,1,0.04,0.04,0,0,11,0.42,27.27,9.091,0.04,0.23,66.67,0.11,66.67,0.11,66.67,0.04,1.38,63.89,3.99,48.08,0.73,1.61,35.76,0.19,0.65,55.85,90.19,20.51,81.87,3.87,96.04,26.41,97.24,50.52,93.25,5.1,60.9,21.81,39.05,0.01,0.31,0,0,0.11,0,0.08,6.09,80.5,1.03,44.44,0.61,43.75,0.5,0.15,9.77,75.29,0,,0,,0,0,0,0,,,2.84,,,0.04,0.04,0,0,0,0
L. Gourna-Douath,Salzburg,Salzburg,DMF,20,12000000,2027-06-30,21,1532,0,0.46,1,0.99,18.8,50.94,France,"France, Central African Republic",right,185,81,no,11.16,8.11,57.97,2.11,47.22,0.82,1.33,0.23,5.64,9.11,2.11,5,0.29,0,0,1.41,0,0,0,0.03,0,0,3,0.18,66.67,0,0.06,0.59,20,0.29,0,0.29,40,0.18,2,58.82,5.58,49.47,0.65,0.88,28.55,0.18,1.7,46.47,81.54,18.62,69.4,4.35,90.54,18.8,90.94,39.01,87.8,6.87,51.28,20.67,38.23,0.06,0.47,0,0.06,0.12,0,0.12,9.58,68.1,1.23,33.33,1.06,27.78,0.29,0.12,8.64,78.91,0,,0,,0,0,0,0,,,0.7,,,0,0,0,0,0,0
M. Wöber,Borussia M'gladbach,Salzburg,"LB, LCB",25,12000000,2027-06-30,15,1256,1,2.96,2,1.61,13.33,59.68,Austria,Austria,left,188,85,yes,8.53,5.45,68.42,3.94,56.36,0.07,0.13,0.21,4.73,8.46,1,2,0.14,0,0,2.65,0.07,1,0.07,0.21,0,0,16,1.15,43.75,6.25,0.14,4.01,28.57,4.01,28.57,0,0,0.72,1,78.57,1.58,59.09,2.22,0.79,32.03,2.01,0.14,46.93,78.02,19.49,72.79,6.45,92.22,16.34,80.26,37.05,87.43,5.95,53.01,21.36,34.43,0.12,0.57,0,0,0.64,33.33,0.64,8.17,64.91,4.16,41.38,0.64,22.22,0.93,1,10.46,85.62,0,,0,,0,0,0,0,,,1.58,,,0.21,0.21,33.33,0,0,0
