Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Verbruggen,Anderlecht,Anderlecht II,GK,20,5000000,2025-06-30,13,1251,0,0,0,0,1.08,93.33,Netherlands,Netherlands,right,193,75,no,2.66,0.07,0,0.94,100,0.07,0.09,0,2.59,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.32,0.43,0.07,35.04,88.91,17.99,80.4,0.07,100,15.32,98.12,25.47,97.46,9.5,66.67,28.75,48.85,0,0,0,0,0,0,0,2.01,28.57,0.29,25,0.58,25,0.07,0,6.76,72.34,17,1.22,58,4.17,3,70.69,19.01,1.37,2.01,0.145,0,1.73,0.94,,,,0,0,0
N. Castro,Genk,Genk II,"AMF, LW, CF",22,4000000,2027-06-30,4,323,0,0.43,1,0.77,19.78,40.85,Argentina,Argentina,right,182,79,no,3.9,4.74,41.18,0.56,50,0.28,0.35,0,1.67,2.09,0.84,0,0,0,0,6.41,0,0,0,0.12,0,0,10,2.79,50,0,0.28,0.84,100,0,0,0.84,100,0.28,5.57,55,13.65,42.86,0.84,2.79,33.44,0.84,1.39,43.19,88.39,13.65,79.59,8.92,100,15.33,87.27,38.17,87.59,4.18,93.33,20.36,43.82,0.21,2.23,0,0,1.39,80,0.28,6.13,68.18,4.74,88.24,1.67,83.33,3.34,0.84,8.08,86.21,0,,0,,0,0,0,0,,,0.28,,,0.84,0,0,1.95,0,0
A. Engels,Augsburg,Club Brugge II,"RAMF, RCMF",19,3500000,2027-06-30,15,1092,2,1.45,2,2.62,13.68,52.41,Belgium,Belgium,right,183,71,no,7.25,6.51,58.23,1.32,43.75,0.41,0.51,0.33,3.05,3.75,1.57,5,0.41,0,0,2.47,0.16,2,0.16,0.12,0,0,18,1.48,22.22,11.111,0.16,4.2,39.22,0.08,0,4.04,38.78,0.99,0.82,50,3.87,46.81,0.74,1.57,25.38,1.9,1.65,32.47,73.1,10.55,67.97,6.59,91.25,11.79,69.23,24.89,81.13,3.79,52.17,22.71,43.87,0.22,1.15,0,0.16,0.49,16.67,0.49,4.29,61.54,4.86,40.68,0.66,25,0.74,1.65,7.75,77.66,0,,0,,0,0,0,0,,,0.58,,,1.9,0.58,28.57,3.05,1,0
N. Mbamba,Bayer Leverkusen,Club Brugge II,"DMF, RCMF, RDMF",18,3000000,2028-06-30,9,771,3,1.85,1,0.83,25.68,47.73,Belgium,Belgium,right,188,75,no,9.46,9.46,61.73,1.75,20,0.47,0.59,0.23,3.15,3.95,1.63,2,0.23,0,0,2.45,0.35,3,0.35,0.22,0,0,8,0.93,75,37.5,0.12,0.12,0,0,0,0.12,0,0,2.92,52,10.74,43.48,1.17,2.57,23.58,0.35,1.87,33.04,87.63,7.82,76.12,8.52,100,11.56,90.91,31.75,88.97,1.17,60,18.03,35.82,0.1,0.58,0,0,0.58,40,0.35,4.44,78.95,1.17,50,0.7,33.33,0.58,0,4.9,80.95,0,,0,,0,0,0,0,,,0.7,,,0,0,0,0,0,0
A. Ait El Hadj,Genk,Genk II,"LCMF, LWF, AMF",21,2000000,2027-06-30,11,784,2,1.46,1,1.73,13.43,48.72,Belgium,"Belgium, Morocco",right,168,70,no,3.79,4.25,62.16,0.23,50,0,0,0,1.15,1.52,0.23,0,0,0,0,5.05,0.23,2,0.23,0.17,0,0,18,2.07,50,11.111,0.11,0.69,50,0.57,40,0.11,100,0.11,3.67,59.38,7.46,43.08,2.07,4.48,38.46,2.41,0.92,48.1,80.67,14.46,65.87,13.09,94.74,11.02,90.63,44.31,82.9,3.1,55.56,15.84,25.94,0.2,1.38,0.23,0.11,2.3,65,0.92,4.94,74.42,5.28,67.39,1.95,58.82,3.44,0.34,7.23,82.54,0,,0,,0,0,0,0,,,0.69,,,0.34,0,0,2.07,0,0
R. Carstensen,Genk,Genk II,RB,22,2000000,2026-06-30,9,712,0,0.3,0,0.63,23.38,51.89,Denmark,Denmark,right,183,75,no,11.25,13.02,54.37,2.91,47.83,0.13,0.15,0.38,4.04,4.9,1.64,1,0.13,0,0,2.28,0,0,0,0.04,0,0,6,0.76,0,0,0,2.53,30,0,0,2.53,30,0.13,2.53,55,5.44,44.19,1.64,3.03,31.73,3.67,1.01,45.38,77.72,20.73,68.9,5.44,95.35,13.53,87.85,37.16,86.39,5.81,43.48,19.99,37.13,0.08,0.25,0,0,0.38,33.33,0.38,8.72,60.87,2.91,56.52,0.88,14.29,1.26,0.63,10.49,73.49,0,,0,,0,0,0,0,,,1.01,,,0,0,0,0,0,0
M. N'Diaye,Anderlecht,Anderlecht II,"LWB, LCB, LB",21,1500000,2025-06-30,4,322,0,0.87,1,0.17,20.96,56,Senegal,Senegal,left,181,66,no,10.34,5.31,84.21,3.91,57.14,0.28,0.37,0.28,5.59,7.41,1.12,0,0,0,0,4.47,0,0,0,0.24,0,0,3,0.84,33.33,0,0.28,1.68,50,1.68,50,0,0,0.56,4.75,58.82,9.22,45.45,2.52,3.63,40.25,3.35,0.84,54.22,89.18,17.89,84.38,8.11,96.55,19.29,92.75,50.87,91.21,1.96,71.43,16.44,27.53,0.05,0.56,0,0,0.84,66.67,0.28,3.91,71.43,1.68,50,0.84,66.67,1.96,0.28,6.15,72.73,0,,0,,0,0,0,0,,,0.28,,,0,0,0,0,0,0
N. Angulo,Anderlecht II,Anderlecht II,"LW, RWB, LCMF",20,1300000,2027-06-30,11,767,2,1.56,0,1.46,27.46,41.45,Ecuador,Ecuador,right,182,64,no,6.81,5.63,58.33,1.64,42.86,0.35,0.47,0.23,3.17,4.2,1.17,2,0.23,0,0,4.46,0.23,2,0.23,0.18,0,0,17,1.99,23.53,11.765,0,1.17,30,0.23,100,0.94,12.5,0.12,7.28,41.94,15.37,34.35,2.93,3.4,21.36,2.7,2.35,28.16,81.67,6.57,71.43,7.98,94.12,7.74,77.27,26.4,85.33,0.59,20,15.58,8.48,0.17,1.41,0,0,1.06,55.56,0.7,2.11,88.89,2.82,45.83,0.7,50,1.53,0.35,5.16,77.27,0,,0,,0,0,0,0,,,0.12,,,0.47,0.35,33.33,0.35,0,0
L. Plange,Carlisle United,RWD Molenbeek,CF,20,1200000,2025-06-30,14,721,2,2.32,2,1.15,21.97,32.95,England,England,left,178,75,yes,3.87,3.74,53.33,3.62,27.59,0.12,0.15,0,1.75,2.1,1.62,0,0,0,0,3,0.25,2,0.25,0.29,0,0,16,2,25,12.5,0.25,1.87,20,1.25,20,0.62,20,0.37,4.49,44.44,10.49,35.71,3.87,1.5,16.98,2.25,0.87,24.59,74.11,5.37,67.44,5.87,85.11,7.61,68.85,22.59,79.01,0.37,0,15.99,10.46,0.14,0.87,0.12,0,0.12,100,0.5,2.25,77.78,2.12,47.06,0,0,0.87,0.37,2.25,88.89,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Metinho,Lommel SK,Lommel SK,LCMF,20,1200000,2026-06-30,26,1999,4,1.81,2,1.24,20.53,49.34,Congo DR,"Congo DR, Brazil",right,178,69,yes,7.25,7.25,60.25,0.99,36.36,0.23,0.31,0.14,2.66,3.7,1.13,6,0.27,0,0,3.38,0.18,4,0.18,0.08,0,0,25,1.13,44,16,0.09,0.32,42.86,0.18,25,0.14,66.67,0,3.78,61.9,10.49,43.78,1.04,2.03,27.28,0.41,1.76,38.13,83.71,10.31,67.69,6.35,95.04,15.85,90.63,34.98,85.2,2.84,69.84,19.86,38.08,0.06,0.77,0.14,0,1.49,27.27,0.36,6.17,74.45,1.8,47.5,1.49,18.18,0.81,0.09,5.85,76.15,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0,0,0
