Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Tekpetey,Ludogorets,Ludogorets,"RAMF, LAMF, LB",25,5000000,2024-06-30,27,1710,8,4.67,4,3.89,22.58,46.85,Ghana,"Ghana, Bulgaria",right,172,69,no,5.11,4.58,49.43,2.32,34.09,0.21,0.36,0,2.63,4.49,1.42,4,0.21,0,0,6.79,0.42,8,0.42,0.25,0,0,75,3.95,28,10.667,0.21,2.53,33.33,1.05,20,1.42,44.44,0.26,6.89,64.12,12.11,50.87,3.53,2.53,21.58,2.42,1.37,29.79,71.73,9.47,61.67,4.32,91.46,10.16,76.68,24.74,77.66,2.53,52.08,19.3,28.49,0.2,1.42,0.11,0.05,1.11,38.1,0.95,4.21,60,3.84,53.42,1.32,32,2,0.79,5.26,80,0,,0,,0,0,0,0,,,0.42,,,0.16,0.11,0,0.05,0,0
K. Despodov,Ludogorets,Ludogorets,"RAMF, LAMF",26,4500000,2024-06-30,30,2301,14,9.97,15,9.72,15.68,44.89,Bulgaria,Bulgaria,right,179,69,no,3.64,3.91,50,1.99,37.25,0.16,0.26,0,1.53,2.57,1.21,5,0.2,0,0,6.02,0.55,10,0.39,0.39,1,0.04,71,2.78,52.11,19.718,0.59,4.38,33.04,1.29,33.33,3.01,33.77,0.31,5.05,54.26,7.98,45.1,3.83,1.84,19.05,2.11,1.02,24.05,65.37,5.79,60.81,4.26,88.99,8.45,57.87,18.62,74.79,1.25,34.38,18.12,24.62,0.38,2.82,0.08,0.04,0.94,41.67,0.9,1.92,57.14,4.34,39.64,0.9,39.13,0.98,1.45,4.11,78.1,0,,0,,0,0,0,0,,,0.08,,,2.66,0.66,47.06,5.55,4,100
F. Krastev,Lommel SK,Levski Sofia,"LDMF, LCMF, RDMF",21,4000000,2025-06-30,34,3169,8,4.83,4,10.69,19.33,50.53,Bulgaria,Bulgaria,right,178,68,no,9.5,6.97,67.5,1.02,48.57,0.15,0.25,0.09,4.65,8.14,0.93,5,0.14,0,0,3.17,0.23,7,0.2,0.14,0,0,62,1.8,30.65,12.903,0.12,0.58,45,0.12,75,0.41,42.86,0.03,4.13,51.41,9.27,39.5,0.9,1.69,24.21,0.55,1.42,39.41,86.58,10.17,75.14,7.58,95.4,13.86,90.57,36.88,88.1,2.01,68.12,16.2,28.63,0.31,2.91,0.06,0.06,0.58,40,0.38,6.1,77.62,1.48,60.78,0.61,28.57,0.58,0.29,4.53,83.33,0,,0,,0,0,0,0,,,0.23,,,2.47,0.38,15.38,5.32,1,100
A. Nedyalkov,Ludogorets,Ludogorets,"LB, LCB",30,3000000,2024-06-30,16,1350,0,0.86,0,0.18,16.13,59.5,Bulgaria,Bulgaria,left,181,70,no,8.73,5.67,63.53,3.73,64.29,0.07,0.11,0.13,5.07,8.23,0.67,2,0.13,0,0,1.8,0,0,0,0.06,0,0,10,0.67,10,0,0,2.27,23.53,2.27,23.53,0,0,0.27,1.53,78.26,3.73,58.93,1.2,1.47,31.8,1.33,0.8,46.8,79.63,15.4,71.86,5.33,93.75,20.6,83.82,38.4,86.81,6.33,55.79,23.13,38.67,0.01,0.27,0,0,0.2,0,0.2,7.8,65.81,1.8,29.63,0.67,20,0.13,0.27,10.47,75.8,0,,0,,0,0,0,0,,,0.73,,,0,0,0,0,0,0
Cauly,Bahia,Ludogorets,AMF,27,2500000,2026-12-31,16,1059,5,4.59,1,1.98,13.34,45.22,Brazil,"Brazil, Germany",right,175,68,no,3.65,2.63,67.74,0.85,10,0,0,0,1.87,2.8,0.34,3,0.25,0,0,4.59,0.42,5,0.42,0.39,0,0,37,3.14,43.24,13.514,0.08,1.36,25,0.85,10,0.51,50,0.34,3.99,57.45,8.67,43.14,3.74,1.87,40.11,1.02,0.76,46.57,79.93,15.04,70.06,7.22,92.94,14.02,85.45,42.66,82.47,2.63,67.74,17.31,35.57,0.17,1.87,0.17,0.08,1.78,33.33,0.34,6.88,74.07,3.65,48.84,1.53,16.67,1.78,0.25,6.63,83.33,0,,0,,0,0,0,0,,,0.17,,,0.51,0.17,50,3.06,0,0
I. Chochev,CSKA 1948 Sofia,CSKA 1948 Sofia,"DMF, LDMF, LCMF",30,2500000,2027-06-30,31,2916,21,12.14,2,1.26,14.78,53.88,Bulgaria,Bulgaria,left,188,81,no,7.96,4.75,61.74,4.11,62.02,0.38,0.6,0.25,4.65,7.29,0.8,3,0.09,0,0,2.1,0.65,17,0.54,0.39,7,0.22,72,2.29,54.17,29.167,0.06,0.1,33.33,0.06,0,0.03,100,0.06,1.24,51.28,3.79,35.29,2.07,0.8,24.81,0.73,0.76,37.39,85.86,10.38,67.79,5.7,93.85,16.43,94.77,34.11,88.33,3.18,61,19.03,37.9,0.04,0.41,0,0.1,0.83,23.08,0.19,5.8,74.73,1.02,65.63,0.64,40,0.7,0.03,4.84,67.76,0,,0,,0,0,0,0,,,0.45,,,0.03,0.03,100,0,5,80
Pipa,Ludogorets,Ludogorets,"LB, RB",25,2200000,2026-06-30,13,1136,0,0.15,0,0.9,16.48,54.81,Spain,Spain,right,175,70,no,8.48,7.21,76.92,1.98,36,0.08,0.15,0.08,2.85,5.43,0.55,1,0.08,0,0,2.06,0,0,0,0.01,0,0,4,0.32,0,0,0,2.85,27.78,1.11,35.71,1.66,23.81,0.63,2.69,41.18,4.91,29.03,1.03,1.66,38.11,1.51,0.71,52.53,83.71,16.08,70.94,10.22,97.67,18.06,87.28,45.79,90.48,3.96,46,18.66,29.03,0.07,0.95,0.08,0.08,0.24,66.67,0.48,6.81,70.93,4.36,43.64,0.16,50,1.19,0.87,9.35,74.58,0,,0,,0,0,0,0,,,0.79,,,0,0,0,0,0,0
D. Naumov,CSKA 1948 Sofia,CSKA 1948 Sofia,GK,25,2000000,2024-06-30,33,3170,0,0,0,0,0.61,90.48,Bulgaria,Bulgaria,right,188,78,no,1.02,0.03,100,0.47,87.5,0,0,0,0.99,1.52,0,2,0.06,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.12,100,0,0,12.89,0.15,0.26,19.23,91.95,8.15,85.3,0,0,10.43,97.76,14.11,98.34,5.06,75.14,30.26,45.29,0,0,0,0.03,0,0,0,0.96,51.52,0.09,33.33,0.09,33.33,0.03,0,3.51,75,27,0.79,113,3.3,13,76.11,26.37,0.77,-0.63,-0.018,0,1.64,0.47,,,,0,0,0
Nonato,Ludogorets,Ludogorets,"AMF, RDMF, LDMF",25,2000000,2026-06-30,22,1174,1,1.06,1,1.03,17.63,48.7,Brazil,"Brazil, Italy",right,175,73,no,6.98,6.44,63.1,1.69,31.82,0.08,0.13,0.08,2.84,4.93,1.23,3,0.23,0,0,1.69,0.08,1,0.08,0.08,1,0.08,12,0.92,25,8.333,0.08,0.38,20,0.23,0,0.15,50,0,2.3,46.67,6.13,42.5,1.07,0.61,29.67,0.31,1.84,40.86,85.74,11.73,70.59,7.44,92.78,15.03,91.33,37.41,88.52,3.07,60,17.48,29.31,0.08,1,0,0,0.54,57.14,0.23,6.36,67.47,2.22,72.41,0.69,44.44,1.38,0.08,5.6,76.71,0,,0,,0,0,0,0,,,0.31,,,0,0,0,0.31,0,0
N. Sundberg,Levski Sofia,Levski Sofia,"RCB, CB",27,2000000,2024-06-30,32,2959,0,1.88,1,0.29,9.66,66.88,Sweden,"Sweden, Gambia",right,187,84,no,6.78,4.33,76.09,3.14,63,0.03,0.06,0.35,3.45,6.07,0.72,6,0.18,2,0.06,0.38,0,0,0,0.06,0,0,13,0.41,46.15,0,0.03,0.09,100,0.03,100,0.06,100,0.03,0.19,50,0.56,50,0.53,0.72,30.05,0.44,0.25,45.45,89.58,16.34,79.85,2.51,93.75,22.84,95.33,41.44,92.43,3.92,59.2,20.15,35.32,0.01,0.13,0,0,0.03,0,0.03,5.27,75,0.44,28.57,0.16,20,0.09,0.09,7.75,70.85,0,,0,,0,0,0,0,,,1.82,,,0.03,0,0,0,0,0
