Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Šutalo,Dinamo Zagreb,Dinamo Zagreb,"RCB, LCB",23,18000000,2028-06-15,27,2422,2,1.92,0,0.62,13.56,62.47,Bosnia and Herzegovina,"Bosnia and Herzegovina, Croatia",right,190,82,no,8.84,5.13,73.19,3.68,57.58,0.3,0.47,0.45,4.79,7.62,0.89,4,0.15,0,0,0.93,0.07,2,0.07,0.07,1,0.04,9,0.33,44.44,22.222,0,0.07,0,0,0,0.07,0,0,1,74.07,2.53,52.94,0.59,0.85,59.38,0.82,0.67,76.55,94.66,26.49,88.78,3.75,98.02,39.76,98.79,72.01,96.96,4.46,59.17,20.31,37.77,0.02,0.15,0.04,0,0.04,100,0.07,6.5,78.29,0.41,45.45,0.26,28.57,0.3,0,8.88,83.26,0,,0,,0,0,0,0,,,2.45,,,0,0,0,0,0,0
D. Livakovi?,Dinamo Zagreb,Dinamo Zagreb,GK,28,14000000,2024-06-15,35,3357,0,0,0,0,0.41,80,Croatia,Croatia,right,187,79,no,1.35,0.08,66.67,0.19,100,0,0,0,1.29,2.02,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,17.88,0.5,0.08,23.91,90.78,12.12,84.55,0,0,10.39,97.61,16.94,98.7,6.94,71.83,29.19,46.37,0,0,0,0,0,0,0,1.16,52.38,0.06,50,0.11,50,0.03,0,5.48,75.38,27,0.74,100,2.75,11,73,28.88,0.8,1.88,0.052,0,0.8,0.19,,,,0,0,0
L. Ivanušec,Dinamo Zagreb,Dinamo Zagreb,"LAMF, LW, LCMF",24,12000000,2026-06-15,33,2735,12,5.15,4,3.2,18.37,48.15,Croatia,Croatia,right,175,76,no,5.34,3.71,68.81,1.19,37.14,0.14,0.21,0.17,2.65,4.09,0.41,3,0.1,0,0,5.21,0.39,12,0.41,0.18,0,0,58,1.97,48.28,20.69,0.14,1.16,50,0.92,44.44,0.24,71.43,0.24,5.38,63.29,11.91,44.57,3.06,2.99,38.99,1.8,0.61,52.16,87.48,12.01,75.64,10.41,94.44,19.63,91.51,47.94,90.21,3.13,59.78,17.72,36.36,0.11,1.4,0.17,0.14,0.75,36.36,0.54,6.77,78.89,2.55,66.67,1.16,35.29,1.87,0.51,6.36,83.96,0,,0,,0,0,0,0,,,0.31,,,0.03,0.03,0,0.17,0,0
M. Livaja,Hajduk Split,Hajduk Split,CF,29,8000000,2027-06-30,34,3196,19,21.79,12,7.39,25.09,32.55,Croatia,Croatia,right,182,80,no,2.39,2.22,46.84,4.39,34.62,0.17,0.24,0,1.18,1.7,1.77,6,0.17,0,0,4,0.54,13,0.37,0.61,2,0.06,91,2.56,48.35,20.879,0.34,1.61,33.33,0.7,36,0.84,33.33,0.25,3.6,45.31,13.24,30,4.2,0.84,16.14,2.45,1.97,22.25,67.09,7.12,51.78,4.45,87.34,6.11,72.35,18.39,72.28,2.45,48.28,18.12,33.37,0.21,1.38,0.03,0.08,1.66,35.59,0.87,3.72,55.3,3.44,48.36,2.2,29.49,1.75,0.48,3.49,88.71,0,,0,,0,0,0,0,,,0.03,,,0.14,0.14,20,0.03,9,66.667
M. Orši?,Southampton,Dinamo Zagreb,"LW, LAMF, LWF",30,7000000,2025-06-30,15,989,8,5.23,6,3.16,12.48,43.07,Croatia,Croatia,right,179,69,no,4.28,4.1,62.22,0.36,25,0,0,0,1.73,2.66,0.18,0,0,0,0,5.56,0.73,7,0.64,0.48,1,0.09,48,4.37,45.83,16.667,0.55,3.46,42.11,3.01,42.42,0.46,40,0.82,3.37,51.35,6.47,35.21,5.74,2.73,31.88,2.73,0.46,35.98,75.19,8.84,71.13,7.93,91.95,12.39,68.38,29.79,80.43,2.91,56.25,17.23,32.72,0.29,1.73,0.09,0.09,1.09,33.33,1.09,4.1,77.78,2.82,58.06,1.28,28.57,1.18,1.55,6.1,74.63,0,,0,,0,0,0,0,,,0,,,0.82,0.36,25,3.19,1,100
S. Biuk,Los Angeles FC,Hajduk Split,"LAMF, LW",20,6500000,2026-12-31,15,1168,1,2.26,2,1.6,23.58,50,Croatia,Croatia,right,184,76,no,6.24,6.55,63.53,2.31,40,0.08,0.12,0,2,3.04,0.92,0,0,0,0,5.7,0.08,1,0.08,0.17,0,0,24,1.85,37.5,4.167,0.15,3.39,27.27,2.77,27.78,0.62,25,0.46,7.4,54.17,13.02,47.34,3.47,1.85,14.56,1.54,1.77,22.58,69.28,6.32,69.51,4.78,88.71,6.55,60,18.72,76.95,0.62,62.5,15.88,15.28,0.12,1.23,0,0,0.46,16.67,0.69,1.46,68.42,3.16,41.46,0.46,16.67,1,1,3.16,80.49,0,,0,,0,0,0,0,,,0,,,0,0,0,0.46,0,0
D. Beljo,Augsburg,Osijek,CF,21,6500000,2027-06-30,16,1196,8,4.52,2,0.81,24.31,40.47,Croatia,Croatia,left,195,85,no,2.68,2.93,50,6.67,48.78,0.16,0.23,0.08,1.06,1.48,1.71,1,0.08,0,0,2.52,0.6,6,0.49,0.37,3,0.24,23,1.87,47.83,34.783,0.16,0.49,16.67,0.33,25,0.16,0,0,2.36,65.52,10.73,40.15,2.6,1.06,12.52,1.79,1.79,17.89,81.82,2.85,80,4.88,93.33,5.04,77.42,16.67,84.88,0.73,55.56,13.93,13.2,0.07,0.57,0,0,0,0,0.33,1.79,68.18,0.65,50,0.08,100,0.65,0.08,1.46,88.89,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,100
M. Baturina,Dinamo Zagreb,Dinamo Zagreb,AMF,20,6500000,2028-06-15,34,2571,6,4.82,10,5.14,21.49,46.43,Croatia,Croatia,right,172,68,no,6.42,5.38,68.87,1.53,25.58,0.61,0.94,0,2.1,3.27,0.61,2,0.07,0,0,3.92,0.21,6,0.21,0.17,0,0,33,1.18,48.48,18.182,0.36,1.32,37.84,0.53,33.33,0.78,40.91,0.18,5.28,47.3,12.76,40.78,2.14,3.67,45.45,1.78,1.35,56.46,90.15,11.73,79.33,14.15,96.98,20.03,93.06,52.9,91.91,2.35,77.27,16.85,30.96,0.18,1.53,0.18,0,0.68,52.63,0.82,7.38,85.99,2.53,67.61,0.61,58.82,1.5,0.43,4.99,91.43,0,,0,,0,0,0,0,,,0.78,,,0.18,0,0,1,0,0
B. Petkovi?,Dinamo Zagreb,Dinamo Zagreb,CF,28,5000000,2024-06-30,28,1725,10,8.32,5,2.19,24.04,39.87,Croatia,Croatia,right,193,88,no,4.23,3,58.93,4.87,49.45,0.32,0.54,0.11,2.14,3.57,0.7,1,0.05,0,0,3.37,0.52,6,0.32,0.45,3,0.16,43,2.3,46.51,23.256,0.27,0.86,31.25,0.48,44.44,0.37,14.29,0.11,2.89,48.15,12.21,32.02,4.28,0.8,22.06,2.41,1.39,32.66,72.3,8.3,52.9,6.05,91.15,10.87,81.77,29.07,73.85,2.73,68.63,16.72,30.06,0.12,1.5,0.16,0.11,1.77,36.36,1.07,3.85,65.28,3.69,44.93,2.25,40.48,2.14,0.27,3.59,80.6,0,,0,,0,0,0,0,,,0.05,,,0.32,0.32,16.67,0.05,5,80
L. Ka?avenda,Lokomotiva Zagreb,Lokomotiva Zagreb,"RAMF, LW, LAMF",20,4500000,2025-06-15,15,1001,0,2.14,1,1.17,23.74,46.59,Croatia,Croatia,right,174,70,no,9.35,7.64,63.53,2.7,36.67,1.53,2.06,0,2.97,4.01,0.99,3,0.27,0,0,3.96,0,0,0,0.19,0,0,17,1.53,17.65,0,0.09,1.62,55.56,0.18,50,1.44,56.25,0.18,5.21,50,11.6,37.21,2.79,2.07,26.25,0.9,1.17,37.94,82.7,10.07,74.11,7.73,87.21,9.98,86.49,34.26,86.09,2.16,50,14.94,27.95,0.11,0.81,0.09,0,0.27,66.67,0.81,4.77,79.25,2.7,60,0.63,42.86,1.17,0.81,5.39,73.33,0,,0,,0,0,0,0,,,0,,,0.18,0,0,0.18,0,0
D. Peri?,Dinamo Zagreb,Dinamo Zagreb,LCB,28,4500000,2026-06-15,23,2098,3,2.02,0,0.13,13.82,69.09,Croatia,Croatia,left,198,85,no,8.02,3.92,80,5.27,70.25,0.35,0.55,0.22,4.53,7.12,0.83,2,0.09,0,0,0.48,0.13,3,0.13,0.09,2,0.09,11,0.48,36.36,27.273,0,0.09,50,0.09,50,0,0,0,0.31,57.14,1.53,42.86,0.74,2.05,57.66,0.61,0.74,74.57,93.05,26.06,86.29,3.7,94.12,36.13,97.35,70.13,95.46,4.36,55,18.91,35.67,0.01,0.13,0,0.04,0.26,33.33,0,6.23,74.13,0.7,43.75,0.48,54.55,0.35,0.04,8.02,79.35,0,,0,,0,0,0,0,,,2.27,,,0,0,0,0,0,0
