Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Ivusic,Pafos,Pafos,GK,28,3000000,2026-05-31,16,1597,0,0,0,0,0.17,100,Croatia,Croatia,right,195,78,no,1.18,0.06,100,0.11,100,0,0,0,1.13,1.56,0.06,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0.17,0.11,14.26,85.38,7.89,75.71,0,0,5.07,97.78,8.62,97.39,5.52,67.35,31.47,44.46,0,0,0,0,0,0,0,1.24,54.55,0,0,0.06,100,0,0,4.34,72.73,16,0.9,61,3.44,5,73.77,13.47,0.76,-2.53,-0.143,0,1.07,0.11,,,,0,0,0
G. Kvilitaia,APOEL,APOEL,CF,29,1800000,2024-05-31,30,2466,8,12.13,2,2.13,29.49,34.16,Georgia,Georgia,right,193,82,no,2.81,2.74,52,9.42,44.19,0.36,0.56,0.07,1.02,1.57,2.12,6,0.22,0,0,1.86,0.29,6,0.22,0.44,4,0.15,63,2.3,41.27,12.698,0.07,0.22,16.67,0.15,25,0.07,0,0,2.74,28,11.82,24.69,4.34,0.99,10.95,2.48,1.93,17.01,82.62,3.14,61.63,5.44,94.63,3.98,78.9,16.24,84.72,0.55,46.67,13.69,14.79,0.08,0.84,0.07,0,0.33,33.33,0.33,1.5,65.85,0.77,61.9,0.33,33.33,0.95,0.07,1.13,70.97,0,,0,,0,0,0,0,,,0,,,0,0,0,0,3,66.667
M. St?pi?ski,Aris,Aris,CF,28,1500000,2024-06-30,29,1089,4,5.47,1,1,22.89,37.18,Poland,Poland,right,183,78,yes,3.22,2.73,60.61,5.7,33.33,0.33,0.51,0.17,1.24,1.91,1.07,2,0.17,0,0,2.48,0.33,3,0.25,0.45,0,0,33,2.73,36.36,12.121,0.08,0.83,20,0.17,0,0.66,25,0.17,2.23,55.56,10.5,37.8,3.88,0.74,12.48,1.49,1.82,16.86,69.61,4.05,51.02,3.47,85.71,4.96,71.67,15.54,73.4,0.5,33.33,14.92,5.73,0.08,0.91,0.08,0,0.33,25,0.33,2.15,57.69,1.57,42.11,0.5,16.67,0.74,0.08,1.74,61.9,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
L. Loizou,Omonia Nicosia,Omonia Nicosia,"RAMF, RW",20,1500000,2026-05-31,33,2007,4,4.25,2,2.63,20.81,44.83,Cyprus,Cyprus,left,170,60,no,5.43,5.56,56.45,1.17,34.62,0,0,0,2.29,3.42,0.85,0,0,0,0,3.59,0.18,4,0.18,0.19,0,0,28,1.26,28.57,14.286,0.09,1.12,28,0.27,33.33,0.81,27.78,0.4,5.61,48,11.75,42.37,2.51,1.79,19.37,1.84,2.69,25.34,77.88,7,64.74,4.84,94.44,7.35,76.22,23.18,81.24,1.03,56.52,15.09,15.57,0.12,0.85,0.09,0,0.94,23.81,0.4,1.84,80.49,2.65,50.85,0.85,21.05,1.43,0.31,4.04,75.56,0,,0,,0,0,0,0,,,0,,,0.49,0,0,1.66,0,0
M. Name,Pafos,Pafos,"CF, AMF, RCMF",28,1500000,,22,1157,4,3.68,0,0.18,13.07,44.64,Senegal,Senegal,right,183,73,no,4.82,3.89,60,1.63,38.1,0.23,0.34,0.16,2.26,3.33,0.86,2,0.16,0,0,1.79,0.31,4,0.31,0.29,0,0,22,1.71,27.27,18.182,0,0.93,41.67,0.7,33.33,0.23,66.67,0,1.56,60,5.68,39.73,1.87,1.01,30.96,1.63,0.86,40.06,87.38,8.56,71.82,7.78,95,17.5,91.56,36.09,90.3,3.03,66.67,18.11,27.06,0.01,0.23,0,0.16,0.16,0,0.08,5.99,74.03,1.56,55,0.54,42.86,0.47,0.39,4.9,84.13,0,,0,,0,0,0,0,,,0.16,,,0.23,0.23,33.33,0,0,0
O. Valakari,Pafos,Pafos,"CF, AMF, LCMF",24,1500000,2026-05-31,33,2103,7,6.75,6,5.76,17.46,43.14,Finland,Finland,left,187,82,no,4.62,4.54,54.72,2.1,26.53,0.04,0.06,0.17,2.1,2.87,0.77,2,0.09,0,0,3.3,0.3,4,0.17,0.29,2,0.09,37,1.58,40.54,18.919,0.26,1.58,24.32,1.07,28,0.43,20,0.09,2.7,66.67,8.35,44.62,2.48,0.9,21.01,0.98,2.18,29.79,73.13,9.84,58.7,5.61,93.89,8.13,80.53,26.45,78.32,1.84,41.86,17.15,23.87,0.25,1.54,0,0,1.2,39.29,0.64,4.45,64.42,2.78,41.54,1.28,43.33,1.28,0.3,3.89,79.12,0,,0,,0,0,0,0,,,0,,,0.68,0.21,40,1.75,3,100
G. Ekpolo,Apollon,Apollon,"LB, RCB",28,1200000,2024-05-31,13,1123,1,0.54,0,0.12,15.47,63.21,Nigeria,"Nigeria, Spain",right,180,73,no,10.42,8.17,70.59,2.4,56.67,0.32,0.44,0.4,4.33,5.93,1.04,0,0,0,0,0.64,0.08,1,0.08,0.04,0,0,5,0.4,20,20,0,0.48,0,0.32,0,0.16,0,0,0.88,45.45,3.21,50,0.4,1.2,22.36,1.12,0.72,33.82,86.49,14.51,75.14,3.21,95,11.86,96.62,29.73,92.45,3.69,47.83,19.44,36.01,0.01,0.16,0.08,0,0.16,100,0,4.33,75.93,0.88,54.55,0.4,60,0.48,0.16,5.61,65.71,0,,0,,0,0,0,0,,,0.8,,,0,0,0,0,0,0
A. Besedin,Ordabasy,Omonia Nicosia,"CF, AMF",27,1200000,2024-12-31,12,836,1,1.07,1,0.33,25.3,34.89,Ukraine,Ukraine,right,185,84,no,6.67,4.74,43.18,6.78,38.1,0.97,1.36,0,3.66,5.15,1.51,0,0,0,0,1.18,0.11,1,0.11,0.11,0,0,10,1.08,30,10,0.11,0.32,33.33,0.11,0,0.22,50,0,1.83,41.18,8.29,27.27,1.61,0.75,10.44,1.94,0.65,16.9,80.25,2.26,57.14,7.32,88.24,4.09,81.58,16.15,82,0.43,50,13.69,10.93,0.04,0.43,0,0,0,0,0.11,1.29,75,0.43,25,0,0,0.32,0.11,0.97,44.44,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Jairo,Pafos,Pafos,CF,31,1200000,2025-05-31,29,2550,18,14.39,4,4.42,28.55,34.24,Brazil,Brazil,right,181,76,no,4.73,4.24,53.33,6.46,31.69,0.21,0.3,0.07,2.26,3.19,2.01,3,0.11,0,0,4.06,0.64,18,0.64,0.51,4,0.14,75,2.65,42.67,24,0.14,1.52,30.23,0.25,42.86,1.27,27.78,0.21,4.8,44.12,13.06,31.89,5.33,1.87,15.95,2.89,1.87,20.72,70.7,5.65,56.25,4.27,90.91,5.26,67.79,18.6,75.14,0.81,39.13,15.25,18.83,0.16,0.99,0.04,0.07,0.95,37.04,0.49,1.55,61.36,2.75,51.28,0.99,32.14,1.48,0.39,2.26,81.25,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
I. Pittas,AIK,Apollon,"CF, AMF",27,1200000,2025-05-31,35,3295,18,15.67,1,2.06,18.25,36.53,Cyprus,Cyprus,right,180,72,no,4.59,4.78,58.29,3.33,25.41,0.38,0.59,0.05,1.42,2.2,0.96,3,0.08,0,0,2.19,0.49,17,0.46,0.43,5,0.14,100,2.73,40,18,0.03,0.76,14.29,0.27,10,0.49,16.67,0.08,2.05,45.33,6.31,30.3,3.44,1.26,12.48,1.94,0.71,16.39,77.5,2.79,60.78,5.33,91.28,5.57,76.47,14.67,82.31,0.98,52.78,16.62,22.35,0.06,0.55,0.03,0.03,0.14,40,0.19,1.64,63.33,1.15,42.86,0.22,25,0.41,0.14,1.58,56.9,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0.05,2,50
