Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Karabec,Sparta Praha,Sparta Praha II,"AMF, RW, LWF",19,2500000,2025-06-30,5,393,0,0.69,0,0.29,20.84,38.46,Czech Republic,Czech Republic,left,185,74,no,2.98,3.21,57.14,1.6,42.86,0.23,0.35,0,0.92,1.41,1.15,1,0.23,0,0,3.89,0,0,0,0.16,0,0,7,1.6,28.57,0,0,2.52,18.18,1.15,40,1.15,0,0.92,6.64,41.38,13.28,34.48,4.35,5.5,32.52,1.6,0.69,41.91,75.41,14.2,66.13,7.79,85.29,10.53,80.43,36.41,83.02,3.44,33.33,17.2,37.79,0.07,1.83,0,0,0.92,25,0.92,5.5,75,4.35,42.11,2.06,22.22,1.6,0.23,5.95,76.92,0,,0,,0,0,0,0,,,0,,,1.83,0,0,2.75,0,0
M. Vitík,Sparta Praha,Sparta Praha II,"RCB, LCB",20,2200000,2026-06-30,4,298,0,0.13,0,0,14.19,57.45,Czech Republic,Czech Republic,right,192,83,no,8.15,4.23,50,3.62,41.67,0.3,0.43,0.91,5.74,8.14,0.91,1,0.3,0,0,0.6,0,0,0,0.04,0,0,2,0.6,0,0,0,0,0,0,0,0,0,0,0.6,100,2.11,71.43,0.3,1.81,26.88,0,0.6,42.89,85.21,16.91,71.43,2.72,100,17.82,96.61,36.24,92.5,6.64,45.45,21.94,40.17,0,0,0,0,0,0,0,6.04,45,0.6,0,0.6,0,0,0,6.04,65,0,,0,,0,0,0,0,,,2.42,,,0,0,0,0,0,0
D. Kamenovi?,Sparta Praha,Sparta Praha II,LCB,22,1400000,2026-06-30,7,627,1,0.24,0,0.42,17.66,50.41,Serbia,Serbia,left,188,83,yes,8.18,7.18,64,3.73,46.15,0.57,0.93,0.29,3.01,4.88,2.44,5,0.72,0,0,1.29,0.14,1,0.14,0.03,1,0.14,4,0.57,50,25,0,0.86,33.33,0.86,33.33,0,0,0.14,1,57.14,2.87,40,0.72,1.29,27.13,0.29,1,41.77,78.01,19.67,66.42,3.01,85.71,14.21,92.93,35.74,83.94,5.17,44.44,20.5,35.43,0.06,0.43,0,0,0.29,50,0.29,7.61,62.26,1.29,33.33,0.43,33.33,0.14,0.43,8.18,63.16,0,,0,,0,0,0,0,,,1.44,,,0,0,0,0,0,0
M. Sá?ek,Jagiellonia Bia?ystok,Sparta Praha II,"RCMF, LCMF, LDMF",26,1200000,2025-06-30,4,317,0,0.06,0,0,15.62,47.27,Czech Republic,Czech Republic,right,179,71,no,7.67,5.11,66.67,0.85,33.33,0.85,1.23,0.28,3.41,4.93,0.57,1,0.28,0,0,1.7,0,0,0,0.02,0,0,4,1.14,25,0,0,1.7,16.67,1.14,25,0.57,0,0,2.27,50,7.1,32,1.14,1.7,31.8,0.57,0.85,42.87,94.04,13.91,95.92,6.25,100,13.63,91.67,39.18,98.55,1.99,71.43,16.65,30.19,0,0,0,0,0,0,0,5.96,95.24,1.7,33.33,0.28,0,0.57,0.57,6.81,83.33,0,,0,,0,0,0,0,,,0.28,,,0,0,0,0,0,0
M. Minchev,Sparta Praha,Sparta Praha II,"CF, LAMF, LWF",21,900000,2024-06-30,4,357,1,1.24,1,0.51,24.45,37.11,Bulgaria,Bulgaria,right,184,80,no,5.55,7.56,43.33,3.28,23.08,0.76,1.08,0,1.51,2.17,3.28,1,0.25,0,0,5.29,0.25,1,0.25,0.31,0,0,10,2.52,50,10,0.25,2.77,18.18,1.76,28.57,1.01,0,0.25,4.79,63.16,8.57,44.12,2.52,2.02,13.36,2.77,0.76,17.65,75.71,2.77,63.64,5.29,100,4.79,73.68,14.12,85.71,0.76,100,17.45,25.43,0.13,0.5,0,0,0.5,100,0.5,1.26,60,2.02,37.5,0.25,100,0.76,0.5,2.27,77.78,0,,0,,0,0,0,0,,,0,,,0.5,0.25,0,0.76,0,0
F. Panák,Sparta Praha,Sparta Praha II,"LCB, RCB, CB",27,850000,,5,451,1,0.23,0,0.01,14.17,71.83,Czech Republic,Czech Republic,right,189,77,no,9.58,4.59,65.22,4.59,65.22,0.8,1.25,0.2,5.79,9.06,0.4,0,0,0,0,0.2,0.2,1,0.2,0.05,1,0.2,4,0.8,25,25,0,0,0,0,0,0,0,0,0,0,1.2,83.33,1.2,1.6,35.92,0.6,1.8,53.08,89.85,17.76,79.78,2.39,100,27.74,96.4,47.89,91.67,5.19,73.08,21.05,39.56,0,0.4,0,0,0,0,0,9.78,73.47,0.6,66.67,0.2,0,0.6,0,8.58,72.09,0,,0,,0,0,0,0,,,2,,,0,0,0,0,0,0
D. Pech,Slavia Praha,Slavia Praha II,"RAMF, RB, RDMF",21,750000,2027-06-30,10,912,1,1.05,1,0.91,18.55,48.94,Czech Republic,Czech Republic,right,177,75,no,5.03,5.72,50,1.58,50,0.1,0.15,0.1,2.07,3.15,1.48,1,0.1,0,0,3.75,0.1,1,0.1,0.1,0,0,27,2.66,22.22,3.704,0.1,2.07,19.05,0.39,50,1.68,11.76,0.2,3.95,70,8.09,56.1,2.27,3.16,29.51,2.17,1.09,41.74,80.38,12.63,65.63,8.39,96.47,12.73,83.72,35.82,88.43,3.95,37.5,17.25,35.49,0.09,0.89,0,0,0.2,0,0.39,5.03,64.71,3.16,50,0.39,0,1.38,0.3,6.12,82.26,0,,0,,0,0,0,0,,,0.59,,,0,0,0,0,0,0
M. Jurásek,Slavia Praha,Slavia Praha II,"RAMF, CF",19,650000,2027-06-30,6,520,2,1.23,0,1.01,23.88,44.2,Czech Republic,Czech Republic,left,181,73,no,5.02,5.02,51.72,0.87,0,0.17,0.23,0,2.25,3.02,1.56,1,0.17,0,0,3.98,0.35,2,0.35,0.21,0,0,17,2.94,35.29,11.765,0,1.9,9.09,0.87,0,1.04,16.67,0,6.4,40.54,14.88,47.67,4.15,4.15,16.62,0.87,3.29,24.75,77.62,6.06,57.14,6.4,94.59,7.44,79.07,21.12,83.61,1.73,80,20.08,37.47,0.17,1.04,0.69,0.35,0.87,20,0.17,2.77,68.75,2.77,50,1.21,42.86,1.56,0.35,3.98,69.57,0,,0,,0,0,0,0,,,0.35,,,0.35,0.35,0,0.52,0,0
P. Hronek,Slavia Praha,Slavia Praha II,"AMF, CF, RCMF",30,600000,2025-06-30,6,480,0,1.01,0,0.17,21.19,36.28,Czech Republic,Czech Republic,right,183,75,no,7.13,5.44,55.17,2.25,25,0.56,0.87,0.38,3.56,5.48,1.88,1,0.19,0,0,2.63,0,0,0,0.19,0,0,11,2.06,45.45,0,0,1.13,33.33,0,0,0.94,40,0.19,1.88,50,9,33.33,5.06,1.31,14.63,1.88,2.06,18.56,73.74,5.44,72.41,3,87.5,6.56,68.57,16.31,79.31,1.13,33.33,17.45,21.63,0.03,0.56,0,0,0.38,100,0,1.88,60,1.5,37.5,0.19,100,0.94,0.38,1.31,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
V. Vorel,Sparta Praha,Sparta Praha II,GK,26,500000,2024-06-30,5,478,0,0,0,0,0.75,100,Czech Republic,Czech Republic,right,190,74,no,3.01,0,0,0.56,100,0,0,0,3.01,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.19,0.19,0,26.55,87.23,16.38,80.46,0,0,8.66,100,18.45,98.98,7.91,61.9,29.98,50.76,0,0,0,0,0,0,0,2.45,53.85,0,0,0,0,0,0,6.03,75,3,0.56,15,2.82,3,80,3.44,0.65,0.44,0.083,0,1.32,0.56,,,,0,0,0
