Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Olayinka,Crvena Zvezda,Slavia Praha,"LAMF, LW, LWF",27,6000000,2026-06-30,23,1882,11,6.98,2,1.45,19.94,37.89,Nigeria,Nigeria,right,188,77,no,5.26,3.59,62.67,2.87,41.67,0.33,0.58,0.1,2.68,4.68,0.86,2,0.1,1,0.05,3.11,0.53,11,0.53,0.33,4,0.19,36,1.72,47.22,30.556,0.1,1.53,34.38,0.77,37.5,0.77,31.25,0.19,3.97,36.14,9.99,27.75,4.21,1.15,13.96,1.82,1.2,22.24,72.04,6.5,68.38,4.93,87.38,6.22,66.15,18.99,77.08,1.77,51.35,16.39,28.04,0.07,0.62,0,0.05,0.57,58.33,0.48,2.15,53.33,2.15,53.33,0.77,43.75,1.1,0.53,4.02,72.62,0,,0,,0,0,0,0,,,0.05,,,0,0,0,0.05,0,0
T. Holeš,Slavia Praha,Slavia Praha,"LCB, LDMF",30,5000000,2026-06-30,21,1660,0,0.48,3,1.68,18.38,60.47,Czech Republic,Czech Republic,right,180,73,no,9.43,5.86,72.22,4.99,53.26,0.54,1.04,0.22,4.66,8.96,0.92,2,0.11,0,0,1.79,0,0,0,0.03,0,0,16,0.87,31.25,0,0.16,1.79,42.42,0.81,46.67,0.98,38.89,0.49,0.98,66.67,3.42,55.56,1.19,1.3,37.36,0.76,1.19,57.8,84.8,22.99,74.29,3.85,91.55,26.02,93.75,46.68,92.1,9.54,55.68,22.61,38.75,0.09,0.43,0.05,0.05,0.33,33.33,0.43,9.87,68.68,2.11,38.46,0.92,17.65,0.33,0.76,10.46,79.79,0,,0,,0,0,0,0,,,1.73,,,0.05,0,0,0,0,0
L. Krej?í,Sparta Praha,Sparta Praha,"LCB, LCMF",24,4500000,2025-06-30,19,1897,13,9.81,1,0.28,19.83,57.42,Czech Republic,Czech Republic,left,191,86,no,8.92,5.31,65.18,6.64,61.43,0.38,0.66,0.62,5.08,8.82,1.23,5,0.24,0,0,1.57,0.62,5,0.24,0.47,3,0.14,33,1.57,66.67,39.394,0.05,0.38,75,0.38,75,0,0,0.05,0.28,66.67,3.13,43.94,1.66,1.04,30.79,0.52,1.33,45.12,83.81,19.59,72.64,4.03,89.41,16.61,94,37.48,90.76,7.31,48.7,20.8,38.16,0.01,0.19,0,0.05,0.24,20,0.14,8.3,63.43,1.42,36.67,1.23,19.23,0.38,0.28,10.3,75.58,0,,0,,0,0,0,0,,,0.85,,,0.05,0,0,0,8,100
J. Stan?k,Viktoria Plze?,Viktoria Plze?,GK,27,4500000,2025-06-30,33,3212,0,0,0,0.61,1.12,87.5,Czech Republic,Czech Republic,right,191,93,no,1.6,0.11,75,0.84,90,0,0,0,1.51,2.19,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,15.07,0.25,0.11,22.47,86.91,14.07,80.08,0,0,7.82,98.92,12.81,96.72,9.61,74.34,36.76,53.03,0.02,0.08,0,0.03,0,0,0.06,3.92,70,0.28,30,0.28,80,0.11,0,8.46,81.79,36,1.01,130,3.64,10,72.31,41.09,1.15,5.09,0.143,0,2.13,0.84,,,,0,0,0
O. Lingr,Slavia Praha,Slavia Praha,AMF,24,4000000,2024-06-30,27,1629,11,5.94,4,2.49,21.22,41.15,Czech Republic,Czech Republic,right,175,70,no,4.59,3.76,61.76,2.27,31.71,0.33,0.59,0.11,1.93,3.45,1.6,2,0.11,0,0,3.54,0.61,11,0.61,0.33,2,0.11,38,2.1,36.84,28.947,0.22,2.38,27.91,0.55,20,1.82,30.3,0.33,3.54,53.13,10.88,39.59,5.52,1.6,20.33,1.27,2.32,29.06,79.85,8.07,64.38,5.64,95.1,9.39,84.71,24.31,87.95,2.54,50,17.98,26.91,0.14,0.94,0.06,0.06,0.55,40,0.66,4.14,69.33,1.66,50,0.88,25,1.22,0.44,3.31,80,0,,0,,0,0,0,0,,,0.06,,,0.22,0.06,0,0.39,0,0
L. Provod,Slavia Praha,Slavia Praha,"AMF, LDMF",26,3500000,2026-06-30,22,1151,2,2.59,2,1.9,19.47,49,Czech Republic,Czech Republic,left,191,85,no,4.85,4.3,61.82,3.75,50,0.39,0.77,0,1.8,3.56,1.17,2,0.16,0,0,3.44,0.16,1,0.08,0.2,0,0,21,1.64,28.57,9.524,0.16,2.58,48.48,1.88,41.67,0.7,66.67,0.23,2.81,44.44,7.58,42.27,1.8,2.66,34.09,0.78,1.64,45.9,82.96,14.15,67.96,8.6,95.45,15.4,87.82,39.64,88.56,3.99,50.98,17.71,31.88,0.15,1.33,0.31,0,0.7,66.67,0.23,6.26,68.75,3.75,52.08,1.17,60,1.25,0.94,6.49,79.52,0,,0,,0,0,0,0,,,0.55,,,0.23,0.08,0,1.56,1,100
O. Dorley,Slavia Praha,Slavia Praha,"LCMF, LDMF",25,3500000,2027-06-30,25,1837,0,0.56,6,3.14,16.56,52.07,Liberia,Liberia,left,174,66,no,6.52,4.36,64.04,4.95,47.52,0.34,0.66,0.05,3.38,6.47,0.93,2,0.1,1,0.05,3.14,0,0,0,0.03,0,0,10,0.49,20,0,0.29,2.2,46.67,1.76,47.22,0.34,42.86,0.24,2.01,65.85,4.41,48.89,1.62,1.27,31.26,1.13,1.13,46.05,83.51,16.66,70.88,6.22,98.43,16.02,88.99,38.66,89.61,5.34,54.13,19.33,30.59,0.15,1.22,0.05,0,0.78,87.5,0.54,6.71,76.64,3.72,60.53,1.03,66.67,1.71,0.83,8.92,82.97,0,,0,,0,0,0,0,,,1.22,,,0,0,0,0.15,0,0
J. Kuchta,Sparta Praha,Sparta Praha,CF,26,3200000,2026-06-30,29,2605,14,14.37,3,3.32,20.49,30.86,Czech Republic,Czech Republic,right,184,80,no,2.38,1.97,50.88,5.11,36.49,0.03,0.06,0.03,1.35,2.32,0.79,4,0.14,1,0.03,2,0.48,14,0.48,0.5,3,0.1,71,2.45,47.89,19.718,0.1,0.69,25,0.31,22.22,0.38,27.27,0.1,1.38,42.5,7.32,26.89,4.91,0.66,10.43,2.11,1.24,14.51,71.19,3.28,46.32,3.66,89.62,4.15,76.67,13.61,73.1,0.24,85.71,15.34,8.11,0.11,0.83,0.1,0.03,0.28,25,0.55,1.42,53.66,0.93,37.04,0.24,28.57,0.86,0.17,1.17,82.35,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0.03,0,0
D. Jurásek,Benfica,Slavia Praha,"LB, LCB",22,3000000,2026-06-30,31,2753,2,2.61,6,5.48,17.49,61.68,Czech Republic,Czech Republic,left,183,76,no,8.11,6.28,71.88,2.42,66.22,0.03,0.06,0.13,3.56,6.61,0.75,0,0,0,0,4.81,0.07,2,0.07,0.09,0,0,27,0.88,18.52,7.407,0.2,6.77,31.88,6.57,30.85,0.16,60,1.34,3.92,60,6.28,53.13,1.73,2.45,30.47,2.35,1.05,43.38,71.82,16.28,62.85,5.36,92.07,16.25,73.24,29.91,86.67,7.26,45.95,22.57,37.18,0.18,1.41,0.07,0.07,0.42,30.77,0.75,7.29,52.91,5.95,40.11,0.72,18.18,0.82,1.99,12.19,81.77,0,,0,,0,0,0,0,,,0.69,,,0.39,0.07,0,1.63,0,0
L. Masopust,Slavia Praha,Slavia Praha,"RB, RCB, RAMF",30,2500000,2025-06-30,19,1384,2,1.35,5,1.27,21.91,55.79,Czech Republic,Czech Republic,right,179,76,no,9.23,8.06,69.35,1.95,53.33,0.46,0.8,0.2,3.19,5.63,1.69,3,0.2,0,0,3.25,0.13,2,0.13,0.09,0,0,12,0.78,33.33,16.667,0.33,2.73,38.1,0.07,0,2.67,39.02,0.52,2.54,64.1,6.37,46.94,2.47,2.41,37.85,1.95,1.43,51.44,79.9,19.96,72.31,7.74,93.28,15.02,83.55,43.57,85.67,5.2,52.5,19.89,36.09,0.08,0.98,0.46,0.13,0.46,71.43,0.78,8.32,71.88,3.58,45.45,1.11,47.06,1.11,0.98,10.34,83.02,0,,0,,0,0,0,0,,,1.04,,,0.07,0,0,0.52,0,0
