Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Emmanouilidis,Vejle,Vejle,"LWF, LW, AMF",22,400000,2024-06-30,16,1095,8,4.99,2,1.55,21.62,38.78,Greece,Greece,right,175,71,no,3.29,3.04,56.76,3.29,45,0,0,0,1.56,2.04,0.49,2,0.16,1,0.08,5.67,0.66,8,0.66,0.41,0,0,44,3.62,59.09,18.182,0.16,1.56,26.32,1.32,25,0.16,0,0.58,6.33,46.75,12.16,34.46,4.19,2.63,11.92,2.3,1.23,15.04,70.49,2.3,64.29,3.78,89.13,5.1,67.74,12.82,75.64,0.66,75,17.13,10.46,0.13,0.49,0.16,0.16,0.33,50,0.33,0.82,80,0.99,50,0.41,60,0.74,0.33,1.81,77.27,0,,0,,0,0,0,0,,,0.25,,,0.25,0.08,0,0.08,0,0
F. Christensen,Helsingør,Helsingør,"DMF, LCMF, RCMF",23,400000,2024-06-30,17,1631,0,0.49,2,1.74,16.39,49.49,Denmark,Denmark,right,176,70,no,8.83,7.5,58.09,1.38,36,0.5,0.62,0.22,3.97,4.97,1.55,2,0.11,0,0,2.21,0,0,0,0.03,0,0,10,0.55,20,0,0.11,1.6,62.07,0.83,53.33,0.72,69.23,0.17,1.49,55.56,4.47,46.91,0.28,1.71,40.72,0.17,1.05,58.71,87.22,16.06,72.85,10.65,96.37,23.78,92.11,51.54,91.54,5.68,54.37,19.22,35.76,0.1,0.77,0.06,0.11,0.44,62.5,0.28,8.61,72.44,2.21,62.5,0.55,60,0.33,0.99,8.22,79.19,0,,0,,0,0,0,0,,,1.1,,,0.83,0.06,100,2.21,0,0
O. Nielsen,Vejle,Vejle,LCB,20,400000,2026-06-30,30,2857,2,1.95,0,0.17,18.02,64.16,Denmark,Denmark,left,194,0,no,10.02,6.93,69.09,5.89,62.03,0.06,0.08,0.38,5.17,6.72,1.07,7,0.22,0,0,0.66,0.06,2,0.06,0.06,1,0.03,17,0.54,41.18,11.765,0,0.16,0,0.13,0,0.03,0,0,0.6,73.68,2.08,62.12,0.6,1.42,39.53,0.54,0.98,55.51,86.32,22.05,72.57,3.91,96.77,25.55,96.67,47.09,92.04,8.28,55.13,22.39,38.45,0.01,0.13,0.03,0.06,0.16,0,0.06,8.38,66.17,0.54,23.53,0.69,18.18,0.13,0,10.43,71.3,0,,0,,0,0,0,0,,,1.73,,,0,0,0,0,0,0
K. Kirkegaard,Vejle,Vejle,"RWF, RW, AMF",25,400000,2025-06-30,30,1960,9,6.84,6,5.15,17.54,41.62,Denmark,Denmark,right,174,0,no,5.01,4.55,52.53,1.38,26.67,0.18,0.24,0,2.43,3.21,1.06,2,0.09,0,0,3.67,0.41,9,0.41,0.31,1,0.05,36,1.65,52.78,25,0.28,1.61,40,0.18,75,1.38,36.67,0.51,3.58,47.44,9.09,40.91,3.44,1.74,15.11,1.97,2.11,19.33,72.21,5.88,54.69,4.32,92.55,5.05,76.36,17.17,77.01,0.6,15.38,16.13,12.68,0.24,1.38,0.09,0,1.38,33.33,0.78,1.79,56.41,2.3,54,1.24,29.63,1.56,0.6,2.62,77.19,0,,0,,0,0,0,0,,,0,,,0.87,0.14,0,1.47,0,0
N. Trott,Vejle,Vejle,GK,24,400000,2024-06-30,19,1760,0,0,0,0,1.02,90,England,"England, Bermuda",left,188,75,yes,2.25,0.31,83.33,0.41,100,0.05,0.07,0,1.94,2.52,0.05,2,0.1,1,0.05,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0.15,100,0,0,17.64,0.31,0.15,27.05,85.82,14.73,77.43,0,0,11.3,95.93,17.8,97.7,9.26,62.98,29.46,44.07,0,0,0.05,0,0,0,0,1.94,47.37,0.1,0,0.2,0,0,0,6.55,64.06,15,0.77,51,2.61,8,70.59,14.35,0.73,-0.65,-0.033,0,1.43,0.41,,,,0,0,0
G. Onugkha,Vejle,Vejle,CF,27,400000,,14,906,6,6.06,0,0.23,21.95,38.91,Russia,"Russia, Nigeria",right,193,92,no,2.68,2.19,54.55,7.85,60.76,0.1,0.12,0.1,1.39,1.72,1.09,3,0.3,0,0,2.68,0.6,5,0.5,0.6,1,0.1,30,2.98,56.67,20,0,0.4,25,0,0,0.4,25,0,1.99,35,8.34,20.24,4.07,0.99,7.35,2.58,0.89,9.34,58.51,2.78,42.86,2.48,72,2.38,54.17,8.44,62.35,0.5,20,15.61,3.27,0.02,0.4,0,0,0.3,66.67,0.3,0.5,40,0.3,33.33,0.3,66.67,0.2,0.1,0.79,75,0,,0,,0,0,0,0,,,0.1,,,0.1,0.1,0,0,1,100
E. Frederiksen,SønderjyskE,SønderjyskE,"RWF, RAMF, RW",22,400000,2025-06-30,29,2544,16,10.12,8,10.11,17.51,46.06,Denmark,Denmark,left,175,71,no,4.81,4.25,65,2.23,42.86,0.32,0.41,0.04,1.73,2.23,0.78,3,0.11,0,0,5.52,0.57,14,0.5,0.36,3,0.11,115,4.07,42.61,13.913,0.28,2.33,36.36,0.57,37.5,1.73,34.69,0.46,4.49,49.61,8.84,41.2,3.18,2.26,25.4,1.34,1.59,32.76,71.49,9.91,55.36,7.25,88.29,9.02,70.59,27.56,77.28,2.94,43.37,17.04,30.41,0.36,2.51,0.14,0.11,1.8,39.22,0.81,3.43,59.79,4.74,51.49,2.48,37.14,1.88,0.92,5.77,66.87,0,,0,,0,0,0,0,,,0.14,,,2.26,0.21,50,4.49,2,100
A. Lyng,Servette,Helsingør,"RW, RAMF, RWF",18,400000,2024-06-30,31,2078,10,5.98,2,1.18,22.74,37.14,Denmark,Denmark,right,177,70,no,5.98,6.28,56.55,2.51,17.24,0.13,0.16,0.04,2.3,2.8,1,2,0.09,0,0,3.98,0.43,10,0.43,0.26,0,0,55,2.38,41.82,18.182,0.09,0.87,50,0.22,40,0.61,57.14,0.13,4.98,48.7,10.91,34.52,3.03,2.21,18.54,1.21,1.08,22.61,75.48,6.32,60.27,5.59,94.57,5.54,75,20.36,79.57,1.47,35.29,15.13,19.35,0.05,0.82,0,0.04,0.43,30,0.17,2.56,55.93,2.04,57.45,0.69,18.75,1,0.26,3.81,67.05,0,,0,,0,0,0,0,,,0.09,,,0.04,0,0,0.35,0,0
O. Óskarsson,København,SønderjyskE,CF,18,400000,2025-06-30,12,781,4,4.99,1,0.87,23.74,35.44,Iceland,Iceland,right,186,78,no,5.19,4.26,56.76,5.65,28.57,0,0,0.23,2.77,3.89,0.69,2,0.23,0,0,3.11,0.46,4,0.46,0.57,0,0,24,2.77,50,16.667,0.12,0.46,50,0,0,0.46,50,0,2.88,48,9.91,34.88,5.42,1.84,15.79,2.65,1.04,19.94,78.61,4.03,74.29,5.19,84.44,5.53,85.42,19.13,79.52,0.46,50,14.9,10.6,0.1,0.81,0.12,0,0.35,33.33,0.35,2.3,85,0.92,100,0.35,33.33,1.27,0.23,2.54,77.27,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
A. Ponce,Akron Togliatti,Vejle,CF,26,400000,2024-06-30,17,549,3,3.01,0,0.04,28.36,31.79,Venezuela,"Venezuela, Colombia",right,182,80,no,3.61,2.62,56.25,8.85,38.89,0.33,0.43,0,1.8,2.34,1.31,0,0,0,0,2.62,0.49,2,0.33,0.49,2,0.33,16,2.62,50,18.75,0,0.66,50,0.16,0,0.49,66.67,0,1.97,41.67,10.66,26.15,3.44,0.66,8.03,1.8,0.98,16.07,79.59,1.8,63.64,5.25,84.38,5.74,80,15.25,80.65,0.33,100,14.68,5.02,0.01,0.49,0.33,0,0.16,100,0.16,0.49,66.67,0.33,0,0.16,100,0.16,0.16,1.31,25,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,1,100
