Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Kristiansen,Leicester City,København,LB,20,12000000,2028-06-30,15,1221,1,0.22,1,1.19,17.03,49.78,Denmark,Denmark,left,181,72,no,9.8,8.03,65.14,1.7,39.13,0.22,0.31,0.22,4.35,6.17,0.74,6,0.44,0,0,2.43,0.07,1,0.07,0.02,0,0,5,0.37,60,20,0.07,3.83,30.77,3.83,30.77,0,0,0.37,1.99,44.44,4.86,36.36,0.66,1.18,34.94,2.14,0.66,45.04,79.54,14.89,66.83,7.67,99.04,15.85,82.79,37.15,88.29,4.2,45.61,19.87,33.95,0.09,0.59,0,0,0.37,40,0.37,4.72,68.75,4.35,45.76,0.37,40,0.96,1.18,9.14,74.19,0,,0,,0,0,0,0,,,0.74,,,0.22,0,0,0.66,0,0
R. Onyedika,Club Brugge,Midtjylland,"RCMF, DMF",22,10000000,2027-06-30,6,581,0,0.6,0,0.08,17.81,49.57,Nigeria,Nigeria,right,184,78,no,8.52,7.59,51.02,2.79,50,0.46,0.56,0.46,4.18,5.03,1.86,2,0.31,0,0,1.08,0,0,0,0.09,0,0,6,0.93,50,0,0,0.15,0,0.15,0,0,0,0,1.24,50,5.27,38.24,0.93,0.15,24.32,0.15,0.62,39.04,90.48,9.91,84.38,5.89,94.74,17.97,90.52,37.02,92.05,1.86,66.67,18.67,37.5,0.01,0.15,0,0.15,0,0,0,4.8,77.42,0.31,100,0.31,0,0.31,0,5.11,78.79,0,,0,,0,0,0,0,,,0.46,,,0,0,0,0,0,0
Evander,Portland Timbers,Midtjylland,"LCMF, RCMF",25,9000000,2026-12-31,10,973,4,3.78,0,2.7,19.7,48.36,Brazil,Brazil,right,180,76,no,8.69,7.49,60.49,0.83,44.44,0.55,0.77,0.09,3.61,4.98,1.48,4,0.37,0,0,4.25,0.37,1,0.09,0.35,0,0,27,2.5,37.04,14.815,0,1.48,37.5,0.46,20,1.02,45.45,0.18,3.88,59.52,8.05,47.13,1.94,1.48,28.49,0.37,0.83,41.07,81.08,12.95,71.43,6.47,94.29,13.5,86.99,36.26,84.44,3.33,63.89,16.91,32.89,0.25,2.87,0,0,1.02,45.45,0.46,6.47,75.71,3.33,63.89,1.2,23.08,2.22,0.55,7.03,81.58,0,,0,,0,0,0,0,,,0.28,,,1.11,0.18,50,4.62,3,100
A. Dreyer,Anderlecht,Midtjylland,"RWF, CF, RCMF",25,9000000,2027-06-30,16,1482,8,4.07,1,1.75,8.87,40.41,Denmark,Denmark,left,174,69,no,2.19,1.88,67.74,0.67,9.09,0,0,0,0.91,1.2,0.24,1,0.06,0,0,3.7,0.49,7,0.43,0.25,0,0,35,2.13,37.14,22.857,0.06,2.06,32.35,0.79,23.08,1.09,44.44,0.3,2.91,50,5.16,38.82,4.01,1.28,22.47,1.94,0.18,29.7,76.89,6.98,63.48,7.83,93.8,9.05,78.52,25.75,81.6,1.88,61.29,18.43,34.13,0.11,1.28,0,0,1.4,56.52,0.55,2.73,60,2.73,71.11,1.21,45,1.58,0.55,4.25,72.86,0,,0,,0,0,0,0,,,0.12,,,0.67,0,0,2.49,1,100
A. Schjelderup,Benfica,Nordsjælland,"LWF, CF, LCMF",19,9000000,2028-06-30,17,1298,10,6.61,0,2.03,18.03,39.62,Norway,Norway,right,176,70,no,2.84,2.91,50,1.32,31.58,0.14,0.18,0.14,1.25,1.66,0.35,2,0.14,0,0,4.37,0.69,7,0.49,0.46,0,0,30,2.08,53.33,33.333,0,1.04,20,0.97,21.43,0,0,0.21,5.82,45.24,11.51,39.76,3.95,3.88,26.63,0.9,0.97,33.98,82.86,8.18,71.19,9.71,92.14,8.11,87.18,31.06,86.38,1.87,59.26,15.65,20.64,0.14,0.9,0,0,1.11,37.5,0.55,3.54,78.43,2.29,54.55,1.18,47.06,1.87,0.21,4.02,79.31,0,,0,,0,0,0,0,,,0.28,,,0.07,0.07,0,0.28,3,100
V. Claesson,København,København,"LCMF, CF",31,7000000,2026-06-30,30,2823,12,10.83,3,3.74,18.59,46.14,Sweden,Sweden,right,183,80,no,6.34,5.61,57.95,4.85,50.66,0.16,0.23,0.16,2.93,4.19,0.96,6,0.19,0,0,2.17,0.38,12,0.38,0.35,3,0.1,52,1.66,48.08,23.077,0.1,0.51,25,0.38,25,0.13,25,0.1,1.43,60,4.81,36.42,3.25,0.57,26.68,1.18,0.67,35.61,86.21,7.78,77.87,8.7,92.31,10.74,89.91,33.95,87.79,1.15,66.67,14.88,30.9,0.12,1.18,0.06,0,0.54,70.59,0.45,2.74,80.23,1.79,60.71,0.35,54.55,1.56,0.13,3.22,73.27,0,,0,,0,0,0,0,,,0.26,,,0,0,0,0,2,0
M. Daramy,Reims,København,"LWF, LW",21,6000000,2026-06-30,28,2290,8,6.29,6,4.78,22.68,43.15,Denmark,"Denmark, Sierra Leone",right,180,71,no,3.81,2.83,62.5,1.02,26.92,0.2,0.28,0.08,1.85,2.62,0.43,2,0.08,0,0,7.55,0.31,8,0.31,0.25,1,0.04,49,1.93,55.1,16.327,0.24,3.18,30.86,3.07,32.05,0.12,0,0.31,10.45,48.5,16.7,42.82,5.38,5.62,21.77,2.28,1.53,30.26,76.62,6.17,71.34,7.98,94.09,8.69,66.06,26.33,82.39,0.86,72.73,16.15,22.87,0.19,1.53,0.12,0.12,0.86,50,0.79,1.53,79.49,4.52,56.52,0.71,50,2.4,1.06,4.36,82.88,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0.08,0,0
A. Cornelius,København,København,CF,30,6000000,2027-06-30,11,574,0,1.4,0,0.08,34.97,45.29,Denmark,Denmark,left,193,91,no,3.61,3.14,65,10.82,62.32,0.31,0.43,0,1.25,1.7,1.57,0,0,0,0,2.2,0,0,0,0.22,0,0,10,1.57,20,0,0,0.63,25,0.47,33.33,0.16,0,0.16,3.14,55,13.64,29.89,4.08,0.16,12.23,2.2,1.88,20.85,72.18,3.92,44,5.8,94.59,7.68,75.51,19.44,74.19,0.78,60,14.63,15.2,0.01,0.47,0.16,0,0.63,0,0.16,1.57,60,0.78,20,0.31,0,0.31,0.16,1.25,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Pep Biel,Olympiacos Piraeus,København,CF,26,6000000,2027-06-30,7,657,6,5.69,3,2.26,17.81,30.77,Spain,Spain,left,167,64,no,4.11,3.84,57.14,1.92,14.29,0,0,0.14,1.92,3.02,0.82,0,0,0,0,3.7,0.82,4,0.55,0.78,1,0.14,31,4.25,51.61,19.355,0.41,0.96,42.86,0.55,75,0.27,0,0.27,3.84,25,8.49,25.81,4.93,1.51,22.74,0.96,0.82,26.71,84.62,6.03,61.36,6.85,94,7.67,92.86,23.7,87.28,2.05,73.33,16.68,30.21,0.31,1.92,0,0,0.96,14.29,0.41,3.84,89.29,2.33,52.94,0.68,20,0.82,0.55,2.33,88.24,0,,0,,0,0,0,0,,,0.14,,,2.6,0.41,66.67,6.58,2,100
Diogo Gonçalves,København,København,"RWF, LAMF, CF",26,5000000,2027-06-30,14,831,6,6.78,0,1.81,14.95,37.68,Portugal,Portugal,right,178,70,no,4.01,4.12,63.16,0.97,22.22,0,0,0,1.41,1.87,0.65,1,0.11,0,0,3.68,0.65,3,0.32,0.73,0,0,34,3.68,44.12,17.647,0,2.38,22.73,0.87,50,1.41,7.69,0.65,3.47,34.38,8.12,28,3.47,1.95,24.48,0.65,1.19,28.7,81.89,7.36,70.59,8.01,95.95,7.26,71.64,25.67,88.61,0.65,33.33,15.48,10.64,0.2,1.62,0,0,0.65,50,0.32,1.41,69.23,3.25,36.67,0.76,28.57,1.08,0.65,3.36,87.1,0,,0,,0,0,0,0,,,0.11,,,0.97,0.32,33.33,2.82,4,75
K. Grabara,København,København,GK,24,5000000,2026-06-30,23,2166,0,0,0,0,1.04,92,Poland,Poland,right,195,85,no,1.91,0,0,0.71,100,0,0,0,1.91,2.67,0.04,2,0.08,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.17,100,0,0,14.13,0.12,0.25,20.65,86.12,10.68,76.65,0,0,9.1,96.35,13.21,98.11,7.44,64.8,28.68,42.91,0,0,0,0,0.04,0,0,1.66,47.5,0.17,0,0.12,0,0.04,0,4.65,71.43,19,0.79,82,3.41,7,76.83,23.11,0.96,4.11,0.171,0,1.83,0.71,,,,0,0,0
G. Isaksen,Lazio,Midtjylland,"RWF, CF, LWF",22,5000000,2025-06-30,32,2677,18,11.04,5,4.7,21.35,42.52,Denmark,Denmark,left,178,65,no,3.53,3.03,57.78,1.82,22.22,0.2,0.26,0.03,1.58,2.03,0.84,3,0.1,0,0,6.45,0.61,17,0.57,0.37,0,0,98,3.29,45.92,18.367,0.17,3.09,31.52,0.84,36,2.12,30.16,0.67,7.19,51.4,13.45,42.75,4.3,3.6,15.8,2.19,1.92,21.21,72.42,3.93,70.09,4.84,91.67,7.56,69.33,16.94,81.15,1.24,54.05,18.58,23.48,0.16,1.34,0.07,0.03,0.5,53.33,0.71,1.41,66.67,2.79,54.22,0.61,38.89,1.24,0.87,2.92,82.76,0,,0,,0,0,0,0,,,0.13,,,0.5,0.2,33.33,1.34,1,100
R. Lauritsen,Brøndby,Brøndby,"CB, RCB",27,4000000,2027-06-30,9,754,0,0.69,0,0,18.14,58.55,Denmark,Denmark,right,188,79,no,9.79,5.49,63.04,9.43,56.96,0.24,0.27,0.84,6.09,6.8,0.84,1,0.12,0,0,0.36,0,0,0,0.08,0,0,7,0.84,42.86,0,0,0,0,0,0,0,0,0,0,0,0.36,33.33,1.31,0.48,26.5,0.12,0.24,38.44,80.75,14.92,59.2,1.91,100,19.1,96.25,32.11,89.96,6.33,33.96,19.56,30.68,0,0.12,0,0,0,0,0,4.3,44.44,0.36,0,0.24,0,0.24,0,5.73,47.92,0,,0,,0,0,0,0,,,1.67,,,0,0,0,0,0,0
J. Larsson,København,København,"CF, RWF",26,4000000,2025-06-30,12,703,4,2.68,0,0.92,18.69,38.36,Netherlands,"Netherlands, Sweden",left,175,68,no,3.97,3.71,58.62,3.07,29.17,0.26,0.36,0,1.54,2.17,0.77,1,0.13,0,0,2.05,0.51,4,0.51,0.34,0,0,14,1.79,50,28.571,0,0.77,33.33,0.13,0,0.64,40,0.13,1.79,35.71,7.81,39.34,2.18,1.02,20.23,2.05,1.79,26.24,86.83,4.86,73.68,8.58,98.51,7.3,80.7,24.71,89.64,0.9,57.14,13.81,17.04,0.12,1.15,0,0,0.38,66.67,0.38,1.54,83.33,2.56,70,0.26,50,1.66,0.13,3.2,84,0,,0,,0,0,0,0,,,0,,,0.38,0.13,0,1.66,0,0
M. Ryan,AZ,København,GK,31,4000000,2024-06-30,6,593,0,0.18,0,0,0.61,75,Australia,"Australia, England",right,184,82,no,1.82,0.15,100,0.15,100,0.15,0.22,0,1.52,2.19,0,0,0,0,0,0,0,0,0,0.03,0,0,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,16.69,0.15,0,24.59,87.65,13.96,80.43,0.15,100,9.41,98.39,15.33,99.01,9.11,68.33,32.49,49.54,0,0,0,0.15,0,0,0,1.67,63.64,0,0,0,0,0,0,6.37,76.19,7,1.06,25,3.79,3,72,7.17,1.09,0.17,0.026,0,0.91,0.15,,,,0,0,0
Í. Jóhannesson,Fortuna Düsseldorf,København,"RW, RWF, LCMF",20,3500000,2026-06-30,22,954,1,2.79,2,1.12,12.26,45.38,England,"England, Iceland",left,180,72,yes,5.94,5.09,55.56,1.89,25,0.38,0.56,0.09,2.74,4.08,0.94,3,0.28,0,0,3.21,0.09,1,0.09,0.26,0,0,17,1.6,58.82,5.882,0.19,2.17,56.52,0.75,37.5,1.42,66.67,0.28,1.13,66.67,3.77,40,2.17,0.57,25.19,1.13,0.75,31.13,80.61,4.62,63.27,7.55,96.25,12.17,75.97,27.17,84.03,1.89,55,16.35,22.75,0.11,0.94,0,0,0.38,75,0.28,2.83,66.67,1.98,61.9,0.28,33.33,0.75,1.04,4.25,71.11,0,,0,,0,0,0,0,,,0.09,,,0.66,0.28,66.67,1.23,0,0
