Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Tamm,Nõmme Kalju,Nõmme Kalju,"CF, AMF",22,400000,2024-12-31,20,1623,6,9.28,2,1.41,27.06,40.37,Estonia,Estonia,right,0,0,no,4.27,3.33,61.67,5.6,42.57,0.11,0.16,0.33,2.11,2.98,1.5,4,0.22,0,0,4.27,0.33,3,0.17,0.51,0,0,50,2.77,44,12,0.11,1.16,33.33,0.5,22.22,0.67,41.67,0.22,4.77,55.81,13.25,34.73,4.16,2.11,9.32,2.11,1.89,15.08,73.53,3.22,63.79,3.83,86.96,4.44,75,13.36,78.01,0.55,50,15.74,14.43,0.08,0.61,0,0,0.22,0,0.39,1.55,67.86,0.78,57.14,0.17,66.67,0.28,0.33,1.33,58.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,3,100
A. Yusif,Paide,Paide,"LCB, RCB",22,350000,2023-12-31,10,729,1,0.66,0,0,16.67,57.04,Ghana,Ghana,right,181,74,no,10.12,5.31,79.07,4.57,56.76,0.62,0.99,0.37,5.31,8.54,1.6,2,0.25,0,0,1.11,0.12,1,0.12,0.08,1,0.12,6,0.74,16.67,16.667,0,0.49,25,0.12,0,0.37,33.33,0.12,1.73,50,4.2,47.06,0.86,1.98,50.99,0.49,0.74,66.79,86.32,29.01,76.17,2.1,94.12,29.01,95.32,58.27,92.8,8.15,43.94,24.8,45.06,0,0,0,0,0.12,0,0,11.23,63.74,2.1,17.65,1.11,22.22,0.25,0.12,12.72,80.58,0,,0,,0,0,0,0,,,0.99,,,0,0,0,0,0,0
O. Rommens,Nõmme Kalju,Nõmme Kalju,"LDMF, LCMF, AMF",28,350000,2024-12-31,15,1119,1,1.61,2,1.8,18.34,50,Belgium,Belgium,right,170,64,no,8.36,7,66.67,2.33,48.28,0.32,0.47,0.32,3.38,4.94,1.53,1,0.08,0,0,1.69,0.08,0,0,0.13,0,0,13,1.05,30.77,7.692,0.16,1.45,27.78,0.8,50,0.64,0,0.32,1.93,50,5.79,40.28,0.8,1.69,27.02,0.4,1.13,39.49,80.45,13.03,65.43,7.96,94.95,13.51,86.31,34.5,86.71,3.54,40.91,18.8,34.44,0.15,0.8,0.08,0,0.16,0,0.24,6.51,72.84,2.17,44.44,0.4,40,0.64,0.4,6.6,68.29,0,,0,,0,0,0,0,,,0.08,,,0.4,0.08,100,1.37,1,100
M. Miller,Flora,Flora,"RCMF, CF, LCMF",25,325000,2023-12-31,25,2221,5,6.85,7,2.73,19.53,48.34,Estonia,Estonia,right,177,79,no,7.5,6.16,65.13,2.47,42.62,0.16,0.24,0.28,3.32,4.96,0.93,1,0.04,0,0,2.67,0.2,5,0.2,0.28,0,0,46,1.86,39.13,10.87,0.28,1.5,29.73,0.77,47.37,0.73,11.11,0.32,2.59,51.56,7.66,39.15,3.32,1.05,34.97,0.81,1.5,47.05,84.5,13.41,78.55,6.65,89.63,18.11,86.8,41.98,88.22,3.61,64.04,16.8,31.26,0.11,0.97,0.08,0.04,0.45,36.36,0.69,7.21,83.15,3.4,61.9,1.01,32,1.82,0.45,8.06,84.92,0,,0,,0,0,0,0,,,0.28,,,0.24,0,0,1.3,0,0
D. Dianessy,Nõmme Kalju,Nõmme Kalju,"CF, AMF, LW",27,300000,2024-12-31,11,508,0,0.96,0,1.31,16.48,35.48,France,"France, Mali",left,182,66,no,2.48,3.37,36.84,2.66,53.33,0,0,0,1.24,1.72,1.42,3,0.53,0,0,2.13,0,0,0,0.17,0,0,11,1.95,27.27,0,0,1.24,28.57,0.89,20,0.35,50,0.35,3.19,27.78,9.21,30.77,1.24,1.59,20.37,0.71,1.77,26.57,80.67,4.78,55.56,8.5,93.75,9.21,84.62,23.74,85.07,1.59,55.56,15.76,23.63,0.23,0.71,0,0,0.71,50,0.35,1.95,45.45,2.3,46.15,1.24,42.86,0.89,0.53,2.66,66.67,0,,0,,0,0,0,0,,,0,,,1.06,0.18,0,2.13,0,0
M. Kuusk,Flora,Flora,RCB,27,300000,2025-06-30,21,1985,2,2.61,0,0.9,11.97,59.85,Estonia,Estonia,right,182,76,no,8.75,4.9,67.59,3.49,61.04,0.36,0.55,0.5,5.08,7.69,0.82,8,0.36,1,0.05,0.68,0.09,2,0.09,0.12,0,0,19,0.86,36.84,10.526,0,0.23,60,0.05,100,0.14,33.33,0.05,0.5,45.45,1.68,43.24,1.18,1.54,44.07,0.5,0.54,61.21,91.33,22.62,84.17,3.26,95.83,28.75,96.85,56.77,94.73,4.22,47.31,19.59,39.23,0.04,0.23,0,0,0.05,0,0.14,8.61,81.05,0.77,41.18,0.41,44.44,0.36,0.14,10.11,79.37,0,,0,,0,0,0,0,,,1.95,,,0,0,0,0,0,0
E. Agyiri,Levadia,Levadia,"AMF, CF, RW",25,300000,2023-12-31,20,1650,11,7.24,7,4.3,23.02,41.71,Ghana,Ghana,left,176,69,no,4.31,4.31,58.23,2.35,41.86,0.11,0.17,0,1.69,2.71,1.15,2,0.11,0,0,5.45,0.6,9,0.49,0.4,1,0.05,66,3.6,40.91,16.667,0.38,1.36,36,0.76,35.71,0.55,40,0.38,5.4,57.58,13.31,37.7,2.35,1.36,17.13,1.58,2.07,23.51,79.58,7.09,65.38,5.29,93.81,6.71,82.93,21,84.16,1.2,45.45,16.49,31.39,0.23,1.69,0.11,0.05,1.04,36.84,0.6,2.95,79.63,2.45,66.67,1.09,35,1.2,0.49,3.49,93.75,0,,0,,0,0,0,0,,,0.05,,,2.24,0.76,14.29,5.02,3,66.667
P. Marin,Nõmme Kalju,Nõmme Kalju,"LAMF, LW, LB",28,300000,2023-12-31,23,1975,1,2.69,4,2.3,19.78,46.77,Estonia,Estonia,right,176,71,no,7.11,6.33,51.8,2.64,58.62,0.55,0.76,0.09,3.28,4.54,0.82,3,0.14,0,0,3.51,0.05,1,0.05,0.12,0,0,24,1.09,20.83,4.167,0.18,3.37,28.38,1.91,28.57,1.46,28.13,0.59,3.96,56.32,7.97,45.14,2.01,1.73,17.82,1.82,1.23,28.07,70.62,8.52,59.89,6.38,87.86,8.52,70.05,22.42,80.08,2.37,38.46,19.48,29.15,0.1,0.68,0.05,0,0.14,66.67,0.46,3.33,54.79,3.1,45.59,0.41,44.44,0.64,1.05,5.92,63.85,0,,0,,0,0,0,0,,,0.5,,,0,0,0,0,0,0
M. Roosnupp,Levadia,Levadia,"RAMF, RCMF, LW",26,300000,2024-06-30,6,315,1,0.86,2,0.4,9.43,54.55,Estonia,Estonia,right,176,74,no,3.43,2.86,50,2.57,55.56,0.29,0.53,0,1.71,3.16,0.29,0,0,0,0,2.86,0.29,1,0.29,0.25,0,0,4,1.14,25,25,0.57,2,57.14,0.29,0,1.71,66.67,0,1.71,83.33,2,71.43,2.86,0.57,17.14,0.57,0,23.14,82.72,5.71,80,4.57,87.5,7.71,81.48,19.71,85.51,1.71,83.33,16.75,26.21,0.11,1.43,0,0,0,0,0.57,3.14,81.82,2.29,62.5,0,0,1.14,1.14,4.86,82.35,0,,0,,0,0,0,0,,,0.29,,,0,0,0,0,0,0
K. Vallner,Levadia,Levadia,GK,25,300000,2024-12-31,26,2510,0,0,0,0,0.57,87.5,Estonia,Estonia,right,0,0,no,2.15,0.04,0,0.22,100,0,0,0,2.15,3.56,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.14,100,0,0,19.25,0.11,0.11,28.76,87.66,13.3,76.55,0,0,14.67,97.56,21.19,97.8,7.57,59.24,28.83,44.93,0,0,0,0,0,0,0,2.33,44.62,0.29,0,0,0,0,0,5.52,72.08,15,0.54,70,2.51,15,78.57,18.18,0.65,3.18,0.114,0,1.22,0.22,,,,0,0,0
