Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Šimunovi?,Lahti,Lahti,"LCB, RB, LB",26,600000,2024-06-30,8,742,0,0.54,0,0.08,12.61,61.54,Bosnia and Herzegovina,"Bosnia and Herzegovina, Croatia",right,185,81,no,7.88,4.61,65.79,2.67,63.64,0.24,0.32,0.24,4.61,6.03,0.36,3,0.36,0,0,1.33,0,0,0,0.07,0,0,5,0.61,40,0,0,1.21,30,0.49,50,0.73,16.67,0,1.09,66.67,3.03,56,0.73,1.46,31.9,0.97,0.85,48.03,77.27,23.77,66.33,3.52,96.55,16.25,93.28,40.03,85.45,6.79,37.5,20.64,37.39,0.01,0.24,0,0,0.12,0,0,6.06,54,1.82,26.67,1.09,22.22,0.12,0.36,9.82,50.62,0,,0,,0,0,0,0,,,1.82,,,0,0,0,0,0,0
M. Tenho,HJK,HJK,"LCB, CB, RCB",28,600000,2023-12-31,14,1299,3,1.92,0,0.29,15.45,65.47,Finland,Finland,right,190,82,no,7.62,5.27,72.37,6.51,68.09,0.14,0.2,0.35,3.67,5.25,0.55,3,0.21,0,0,0.28,0.21,3,0.21,0.13,3,0.21,11,0.76,36.36,27.273,0,0.07,0,0,0,0.07,0,0,0,0,0.48,0,1.04,1.11,44.06,0.42,0.42,60.76,90.99,21.76,81.85,2.01,96.55,32.63,97.24,54.67,94.42,6.03,60.92,21.68,40.97,0.02,0.21,0,0,0.07,0,0,11.15,76.4,0.9,30.77,0.55,25,0.28,0,9.42,85.29,0,,0,,0,0,0,0,,,1.25,,,0.07,0,0,0,0,0
L. Lingman,HJK,HJK,RCMF,25,600000,2025-12-31,15,954,0,0.29,0,0.86,11.32,50,Finland,Finland,left,178,72,yes,6.98,5.09,66.67,0.66,14.29,0.38,0.57,0.09,3.21,4.81,0.94,1,0.09,0,0,1.89,0,0,0,0.03,0,0,5,0.47,40,0,0,1.32,14.29,0.66,14.29,0.57,0,0.28,1.04,81.82,3.96,38.1,0.66,0.94,49.25,0.28,0.47,64.25,85.32,20.28,71.63,12.36,94.66,21.6,89.96,55.57,90.66,7.45,56.96,19.16,37.52,0.08,0.75,0,0,1.51,43.75,0.28,11.51,71.31,4.15,45.45,2.26,41.67,1.42,0.19,8.87,82.98,0,,0,,0,0,0,0,,,0.85,,,0.09,0,0,0.85,0,0
E. Henriksson,Mariehamn,Mariehamn,GK,20,600000,2027-12-31,20,1927,0,0,0,0,1.12,79.17,Finland,Finland,right,200,90,yes,2.34,0.23,60,0.61,84.62,0.05,0.05,0,2.15,2.42,0.09,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,14.9,0,0.19,25.87,79.6,14.62,66.13,0,0,10.51,97.78,14.9,95.61,10.98,57.87,34.03,48.53,0,0,0,0.05,0,0,0,3.55,46.05,0.56,16.67,0.56,16.67,0.09,0,7.89,66.27,30,1.4,98,4.58,4,69.39,30.65,1.43,0.65,0.03,0,2.06,0.61,,,,0,0,0
K. Meriluoto,Stal Mielec,HJK,"CF, AMF",20,500000,2025-12-31,14,696,2,2.29,0,0.02,27.03,32.54,Finland,"Finland, Japan",right,183,79,yes,6.47,6.85,64.15,5.82,31.11,0.13,0.2,0,1.94,3.02,1.55,1,0.13,0,0,1.55,0.26,2,0.26,0.3,0,0,11,1.42,54.55,18.182,0,0.13,0,0,0,0.13,0,0.13,2.2,35.29,8.41,16.92,4.27,0.65,9.05,1.94,0.39,12.67,71.43,2.07,50,3.23,84,2.59,55,12.54,72.16,0,0,11.96,0,0,0.13,0,0,0,0,0,1.29,40,0.52,50,0,0,0.78,0,0.91,57.14,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Kreidl,KuPS,KuPS,GK,27,500000,2028-12-31,22,2102,0,0,0,0,1.11,88.46,Austria,Austria,right,193,83,no,2.01,0.09,100,0.56,92.31,0,0,0,1.93,2.44,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,83.33,0.3,85.71,0,0,25.05,0.26,0.26,36.22,88.53,19.61,82.1,0,0,15.8,97.02,25.26,97.29,10.92,68.63,31.87,49.37,0,0,0,0,0,0,0,4.15,53.61,0.13,0,0.13,0,0,0,8.91,76.92,15,0.64,66,2.83,12,77.27,19.99,0.86,4.99,0.214,0,1.71,0.56,,,,0,0,0
M. Ortíz,Honka,Honka,"RDMF, LCMF, DMF",23,500000,2023-12-31,21,1044,1,1.36,1,0.67,22.33,46.33,Ecuador,Ecuador,right,181,73,no,8.28,8.62,63,1.72,35,0.17,0.24,0.17,2.67,3.68,1.21,5,0.43,0,0,1.9,0.09,1,0.09,0.12,1,0.09,16,1.38,43.75,6.25,0.09,0.52,50,0.17,100,0.34,25,0,1.81,38.1,8.62,32,1.9,0.95,33.1,1.29,1.12,44.74,84.97,13.53,71.97,10.17,93.22,13.97,91.36,41.81,87.22,2.41,53.57,16.84,21.18,0.06,0.6,0,0,0.86,40,0.34,4.83,82.14,2.41,53.57,0.95,27.27,1.29,0.26,6.03,71.43,0,,0,,0,0,0,0,,,0.69,,,0,0,0,0,0,0
A. Hernández,Honka,Honka,LCB,28,500000,2023-12-31,21,2040,1,0.79,0,0.08,14.74,63.77,Colombia,Colombia,left,185,78,no,7.9,5.82,75,4.06,63.04,0.04,0.06,0.35,3.49,4.67,0.66,5,0.22,0,0,0.26,0.04,1,0.04,0.03,1,0.04,10,0.44,20,10,0,0,0,0,0,0,0,0,0.26,66.67,1.46,54.55,0.66,0.84,49.54,0.4,0.49,65.43,91.98,23.25,81.78,3.62,97.56,34.81,98.23,58.46,95.77,6.97,60.13,21.09,39.92,0,0.09,0.04,0,0,0,0,7.32,68.67,0.75,17.65,0.57,53.85,0.22,0,9.13,78.74,0,,0,,0,0,0,0,,,2.96,,,0,0,0,0,0,0
U. Nissilä,KuPS,KuPS,"LCMF, RCMF",27,400000,,15,1254,6,3.38,1,2.7,18.66,45.77,Finland,Finland,right,172,65,no,6.32,7.11,53.54,0.72,30,0.5,0.65,0.07,2.01,2.6,1.58,2,0.14,0,0,3.16,0.43,6,0.43,0.24,1,0.07,29,2.08,55.17,20.69,0.07,1.79,28,1.44,30,0.36,20,0.14,3.44,39.58,7.39,42.72,2.66,1.22,33.8,0.43,1.87,43.42,85.62,10.33,75,9.9,97.1,14.5,87.13,39.62,90.58,2.08,37.93,16.48,25.93,0.19,1.36,0,0,0.5,28.57,0.22,5.74,87.5,2.73,44.74,1.08,26.67,0.86,0.5,5.31,79.73,0,,0,,0,0,0,0,,,0.07,,,2.01,0.43,66.67,3.66,0,0
N. Yakubu,Ilves,Ilves,"LB, RW",23,400000,2024-06-30,9,468,0,0,0,0.05,23.08,55,Ghana,"Ghana, Niger",right,182,72,yes,9.23,5.96,61.29,1.92,60,0.58,0.73,0.38,5,6.29,0.77,2,0.38,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,1.35,28.57,0.58,33.33,0.77,25,0.38,5.19,70.37,12.5,53.85,0.38,3.27,28.65,1.15,2.69,41.54,84.72,13.46,77.14,8.08,97.62,8.65,84.44,38.46,89,1.73,33.33,17.83,21.68,0.01,0.19,0,0,0.19,0,0,4.81,84,1.54,50,0.19,0,0.58,0.38,5.58,72.41,0,,0,,0,0,0,0,,,0.38,,,0,0,0,0,0,0
O. Liimatta,Oulu,Oulu,LCMF,19,400000,2024-12-31,16,1331,4,2.97,1,1.12,24.07,39.61,Finland,Finland,left,170,60,no,7.03,7.37,52.29,1.15,23.53,0.27,0.36,0.07,2.91,3.82,0.54,1,0.07,0,0,3.79,0.27,4,0.27,0.2,1,0.07,17,1.15,41.18,23.529,0.07,1.35,25,1.15,29.41,0.14,0,0.34,6.09,45.56,12.37,36.61,2.91,3.25,24.21,0.74,1.28,33.34,82.15,8.25,67.21,8.79,93.08,10.01,84.46,30.63,86.09,1.35,50,16.13,32.58,0.08,0.81,0.14,0.07,0.68,30,0.61,2.77,63.41,2.1,45.16,0.74,36.36,1.22,0.34,3.85,64.91,0,,0,,0,0,0,0,,,0.27,,,0.81,0,0,1.01,0,0
M. Peltola,HJK,HJK,"LCMF, LDMF, RCB",21,400000,2023-12-31,19,1678,2,0.76,2,0.59,17.16,67.5,Finland,Finland,right,185,79,no,10.73,8.1,78.15,2.41,57.78,0.16,0.23,0.11,4.24,6.16,1.18,3,0.16,0,0,1.34,0.11,2,0.11,0.04,0,0,13,0.7,38.46,15.385,0.11,0.32,83.33,0.11,100,0.21,75,0,1.07,65,3.54,62.12,0.43,1.07,35.88,0.05,1.77,51.17,88.36,16.41,75.16,6.87,96.88,23.01,93.71,44.57,92.9,6.28,56.41,21.24,40.83,0.03,0.32,0,0,0.11,100,0.11,9.82,78.14,1.45,51.85,0.48,33.33,0.59,0.27,9.01,87.5,0,,0,,0,0,0,0,,,1.34,,,0,0,0,0,0,0
T. Ollila,HJK,HJK,"LB, LWB",23,400000,2024-12-31,20,1583,5,3.51,3,2.63,17.57,57.61,Finland,Finland,left,175,68,no,9.72,7.16,73.02,2.33,43.9,0.28,0.41,0.11,4.21,6.12,0.74,3,0.17,0,0,3.52,0.28,5,0.28,0.2,0,0,22,1.25,36.36,22.727,0.17,6.08,26.17,5.63,27.27,0.4,14.29,0.91,2.56,57.78,5.74,51.49,2.44,3.07,35.02,2.73,1.19,44.35,75.77,12.28,67.13,11.54,93.6,13.08,72.61,34.4,87.93,4.21,45.95,20.33,30.66,0.15,1.14,0.11,0,0.06,0,0.74,4.55,73.75,4.26,40,0.45,25,0.57,1.59,8.19,68.06,0,,0,,0,0,0,0,,,0.63,,,1.02,0.23,0,2.16,0,0
Murilo,SJK,SJK,"LWB, LB",27,400000,2024-12-31,20,1902,0,0.91,5,7.17,23.56,45.78,Brazil,"Brazil, Portugal",left,180,70,no,7.43,6.39,49.63,1.37,51.72,0.05,0.07,0.19,4.21,5.93,0.85,1,0.05,0,0,8.56,0,0,0,0.04,0,0,16,0.76,25,0,0.24,6.96,49.66,6.29,48.12,0.62,61.54,1.28,7.48,65.82,13.58,45.64,1.09,2.93,29.15,0.9,0.85,41.17,75.17,13.39,63.96,7.67,95.06,14.05,74.75,29.24,85.44,5.39,50.88,21.27,38.2,0.34,2.41,0.05,0.05,0.09,0,0.76,5.87,60.48,6.39,51.85,0.57,8.33,0.57,3.31,11.12,79.15,0,,0,,0,0,0,0,,,0.14,,,1.47,0.09,0,2.74,0,0
V. Koski,Honka,Honka,RCB,21,400000,2023-12-31,18,1668,1,1.54,0,0.31,13.44,57.03,Finland,Finland,right,185,79,no,6.69,4.64,69.77,3.62,47.76,0,0,0.59,3.45,4.73,0.76,1,0.05,0,0,0.49,0.05,1,0.05,0.08,0,0,4,0.22,50,25,0,0.11,100,0,0,0.11,100,0,0.32,66.67,1.89,45.71,0.38,0.7,59.89,0.43,0.86,74.24,93.6,23.09,84.81,3.72,95.65,41.65,97.93,69.5,96.04,4.64,56.98,21.01,42.29,0.02,0.32,0,0.05,0.05,100,0.16,7.28,80,0.65,50,0.49,33.33,0.27,0.11,10.09,80.21,0,,0,,0,0,0,0,,,2.97,,,0,0,0,0,0,0
M. Rudakov,Honka,Honka,GK,27,400000,2024-06-30,21,2040,0,0,0,0.14,0.53,75,Russia,Russia,right,190,77,yes,1.72,0.09,100,0.18,50,0.04,0.06,0,1.59,2.13,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.13,66.67,0,0,23.91,0.09,0.09,33.49,90.65,14.03,81.76,0,0,17.34,97.71,25.15,99.3,8.21,65.59,25.89,43.89,0.01,0.04,0,0,0,0,0.04,3.13,52.11,0.22,20,0.66,33.33,0,0,4.63,76.19,15,0.66,74,3.26,8,79.73,21.9,0.97,6.9,0.304,0,0.57,0.18,,,,0,0,0
A. Coffey,Oulu,Oulu,CF,29,350000,2023-12-31,20,1666,11,7.34,1,0.44,30.36,35.41,England,England,left,191,85,no,3.67,3.3,52.46,7.67,42.25,0.49,0.64,0.05,1.46,1.93,1.94,5,0.27,1,0.05,3.3,0.59,10,0.54,0.4,1,0.05,52,2.81,50,21.154,0.05,0.86,31.25,0.27,0,0.54,50,0.27,2.76,52.94,14.26,31.82,3.08,0.76,7.73,1.62,2,13.51,66.4,4.32,53.75,2,86.49,4.81,74.16,11.34,71.43,1.3,45.83,18.22,27.27,0.02,0.16,0.05,0,0.49,33.33,0.16,2,62.16,0.97,33.33,0.65,25,0.43,0.16,2.38,63.64,0,,0,,0,0,0,0,,,0,,,0.16,0.16,33.33,0,1,100
Jorginho,Ilves,Ilves,"LB, LWB",25,350000,2024-06-30,6,530,1,0.17,0,0.84,17.15,54.46,Portugal,Portugal,left,173,65,no,12.23,7.47,68.18,1.87,27.27,1.02,1.38,0,6.11,8.31,1.02,3,0.51,0,0,3.57,0.17,1,0.17,0.03,0,0,7,1.19,14.29,14.286,0,4.92,31.03,4.42,26.92,0.34,50,0.34,3.23,57.89,5.26,51.61,0.68,1.53,30.4,2.55,0.85,42.11,72.18,15.62,63.04,6.28,94.59,11.55,76.47,32.09,83.07,5.43,43.75,20.98,37.74,0.14,1.19,0,0,0,0,0.51,3.91,69.57,4.25,48,0.34,0,0.51,1.36,10.87,67.19,0,,0,,0,0,0,0,,,0.17,,,0.34,0,0,1.53,0,0
T. Keskinen,HJK,HJK,"LWF, LW, CF",20,350000,2025-12-31,22,1700,1,2.49,5,4.48,26.36,44.38,Finland,Finland,right,180,67,no,6.41,6.3,63.87,1.01,10.53,0.64,0.97,0,1.75,2.67,1.27,2,0.11,0,0,5.14,0.05,1,0.05,0.13,0,0,31,1.64,25.81,3.226,0.26,2.49,25.53,1.69,25,0.69,30.77,0.42,6.99,57.58,14.98,42.4,4.66,4.61,18.48,2.54,1.75,24.56,80.82,5.51,82.69,7.41,90.71,6.25,73.73,21.6,88.24,0.48,33.33,16.06,10.46,0.24,1.22,0,0.05,0.21,25,0.74,0.9,70.59,2.44,54.35,0.26,20,1.69,0.64,2.91,87.27,0,,0,,0,0,0,0,,,0.11,,,0,0,0,0,0,0
A. Popovitch,KuPS,KuPS,DMF,27,350000,2023-12-31,17,1559,1,0.99,0,0.96,13.97,61.57,Finland,"Finland, Russia",right,185,76,no,8.72,5.31,73.91,1.39,54.17,0.12,0.15,0.17,4.68,5.97,0.92,5,0.29,0,0,1.1,0.06,1,0.06,0.06,0,0,16,0.92,25,6.25,0,0.52,33.33,0.17,33.33,0.29,20,0.06,1.15,60,4.21,56.16,0.35,1.39,37.12,0.06,1.79,51.09,90.85,12.7,82.27,9.06,96.82,22.28,94.56,48.26,92.34,2.31,72.5,17.66,32.93,0.06,0.64,0.06,0,0,0,0.06,7.74,87.31,0.98,52.94,0.23,50,0.29,0.17,6.18,82.24,0,,0,,0,0,0,0,,,1.73,,,0.17,0,0,1.1,0,0
M. Rale,Honka,Honka,"LB, RB",22,350000,2023-12-31,20,1874,0,0.65,0,0.29,13.69,55.09,Finland,Finland,left,183,77,no,7.73,5.52,62.61,2.4,46,0.29,0.38,0.14,3.99,5.23,0.29,1,0.05,0,0,1.78,0,0,0,0.03,0,0,4,0.19,50,0,0,1.44,43.33,1.2,48,0.14,33.33,0.1,1.25,69.23,3.6,50.67,0.43,1.87,42.45,2.26,0.77,56,86.79,19.79,78.88,9.7,96.04,18.63,89.69,51.24,90.53,3.46,48.61,18.38,36.06,0.01,0.29,0.05,0,0.19,100,0.05,8.07,82.74,2.21,50,0.34,42.86,0.58,0.67,11.33,71.19,0,,0,,0,0,0,0,,,0.77,,,0,0,0,0.05,0,0
J. Wurtz,Honka,Honka,AMF,31,325000,,5,298,1,0.42,0,0.23,12.68,35.71,Germany,Germany,right,182,76,no,4.83,4.83,37.5,1.51,40,0.6,0.8,0,2.42,3.2,2.11,1,0.3,0,0,1.51,0.3,1,0.3,0.13,0,0,6,1.81,33.33,16.667,0,0.3,100,0.3,100,0,0,0,0.91,33.33,3.93,15.38,1.81,0.3,26.58,2.11,1.21,32.62,79.63,9.66,65.63,6.95,86.96,9.66,84.38,29.3,82.47,3.32,54.55,15.77,36.24,0.07,0.91,0,0,0.6,50,0.3,5.44,44.44,1.21,50,0.3,0,0.6,0,2.72,77.78,0,,0,,0,0,0,0,,,0,,,0.91,0,0,3.02,0,0
