Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Mikautadze,Metz,Metz,"CF, LAMF, AMF",22,6000000,30/06/2026,37,3222,23,15.24,7,5.3,22.32,37.42,Georgia,"Georgia, France",right,176,71,no,3.46,3.55,51.18,2.26,24.69,0,0,0.14,1.65,2.08,0.84,3,0.08,0,0,5.14,0.64,17,0.47,0.43,0,0,103,2.88,39.81,22.33,0.2,1.45,38.46,0.81,27.59,0.61,54.55,0.25,6.62,48.52,14.36,37.16,4.02,2.51,17.57,1.65,1.73,23.85,81.62,4.41,75.32,6.73,92.12,7.54,81.11,21.31,84.53,1.09,82.05,15.81,22.07,0.15,1.15,0.03,0.06,0.45,50,0.5,1.93,78.26,1.4,54,0.47,35.29,0.81,0.53,2.21,79.75,0,,0,,0,0,0,0,,,0,,,0.39,0.06,0,1.2,6,100
A. Sanganté,Le Havre,Le Havre,RCB,21,4000000,30/06/2026,35,3350,3,2.09,1,0.94,12.79,56.3,Senegal,"Senegal, Guinea-Bissau",right,189,76,no,6.85,3.92,60.96,4.16,52.26,0.24,0.34,0.4,4.22,6.02,1.42,11,0.3,0,0,0.43,0.08,3,0.08,0.06,0,0,11,0.3,27.27,27.273,0.03,0.03,100,0,0,0.03,100,0,0.46,58.82,1.88,48.57,0.43,1.05,46.32,0.32,1.1,62.22,91.58,18.21,78.61,2.47,97.83,37.16,97.61,55.64,95.03,6.56,62.3,21.69,37.03,0.03,0.11,0,0,0.05,100,0.08,5.59,66.83,0.64,41.67,0.75,39.29,0.24,0.03,6.64,72.87,0,,0,,0,0,0,0,,,1.59,,,0,0,0,0,0,0
J. Krasso,Crvena Zvezda,Saint-Étienne,CF,26,4000000,,35,3171,17,13.17,12,6.81,31.93,35.02,France,"France, Côte d'Ivoire",left,187,0,no,5.85,5.17,56.04,4.65,35.98,0.54,0.83,0.11,2.41,3.7,1.67,6,0.17,1,0.03,4.82,0.48,10,0.28,0.37,1,0.03,68,1.93,51.47,25,0.34,0.62,40.91,0.31,27.27,0.28,50,0.11,5.9,47.12,17.54,30.42,2.84,1.87,18.53,1.25,1.87,26.4,75.7,7.72,62.5,5.08,94.41,7.15,76.59,24.01,77.78,1.76,59.68,15.74,23.94,0.19,1.36,0.11,0.03,2.1,37.84,0.85,3.95,58.27,2.5,46.59,2.41,37.65,1.73,0.28,3.49,78.05,0,,0,,0,0,0,0,,,0.03,,,0.09,0.06,0,0,8,87.5
J. Maja,Bordeaux,Bordeaux,CF,24,4000000,,37,2938,16,18.06,6,4.92,17.74,36.44,England,"England, Nigeria",right,181,76,no,3.25,2.88,52.13,3.52,37.39,0.06,0.09,0.09,1.68,2.42,0.92,3,0.09,0,0,2.88,0.49,9,0.28,0.55,0,0,71,2.17,54.93,22.535,0.18,0.58,47.37,0.4,30.77,0.18,83.33,0.09,2.14,50,8.7,31.34,2.97,0.7,15.78,1.32,1.29,23.13,80.79,5.18,65.09,7.78,92.52,5.61,77.6,21.38,83.52,1.16,47.37,15.04,14.84,0.15,0.92,0,0,0.89,37.93,0.55,2.63,60.47,1.65,53.7,0.95,32.26,1.07,0.28,2.24,78.08,0,,0,,0,0,0,0,,,0,,,0,0,0,0,9,77.778
A. Elis,Brest,Bordeaux,"RWF, CF, LWF",27,3500000,30/06/2023,16,761,1,1.94,1,0.83,23.06,33.33,Honduras,Honduras,right,185,82,yes,4.26,4.61,51.28,3.78,25,0,0,0.35,1.89,2.82,1.42,1,0.12,0,0,3.43,0.12,1,0.12,0.23,0,0,16,1.89,25,6.25,0.12,0.95,37.5,0.24,0,0.71,50,0.12,4.85,48.78,11,29.03,3.31,2.01,13.48,1.42,1.06,18.57,77.07,4.49,73.68,3.9,90.91,4.49,73.68,16.91,80.42,0.71,50,16.29,9.93,0.1,0.59,0.12,0,0.24,100,0.47,0.71,66.67,0.83,28.57,0.24,100,0.47,0.24,1.66,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. Arokodare,Genk,Amiens SC,CF,22,3500000,30/06/2027,20,1528,6,9.61,0,0.68,24.56,36.21,Nigeria,Nigeria,right,197,100,no,3.3,1.88,50,8.07,51.09,0,0,0.24,2.36,2.96,1.59,0,0,0,0,1.83,0.35,5,0.29,0.57,1,0.06,55,3.24,32.73,10.909,0,0.88,13.33,0.47,0,0.41,28.57,0.18,1.94,33.33,10.13,25,5.07,0.82,15.37,3.18,0.59,20.73,77.56,2.95,52,7.89,85.82,5.36,82.42,18.67,80.44,1.24,76.19,15.69,25.02,0.04,0.35,0,0,0.18,0,0.06,1.35,60.87,0.59,40,0.18,0,0.53,0.18,1.71,62.07,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,50
I. Niane,Angers SCO,Metz,CF,24,3500000,30/06/2024,13,935,2,6.01,0,0.72,22.24,35.5,Senegal,"Senegal, France",right,187,73,no,2.21,1.83,52.63,7.6,31.65,0,0,0,1.25,1.66,1.06,1,0.1,0,0,2.79,0.19,2,0.19,0.58,0,0,29,2.79,31.03,6.897,0,0.77,12.5,0.48,0,0.29,33.33,0,3.56,48.65,8.76,34.07,3.85,0.48,15.79,1.73,1.44,21.18,79.09,2.7,42.86,7.51,96.15,7.32,80.26,19.64,82.84,0.96,40,16.61,19.91,0.07,0.58,0,0,0.29,33.33,0.1,1.83,57.89,0.96,30,0.39,50,0.39,0.1,0.67,57.14,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0.1,1,0
B. Kouyaté,Montpellier,Metz,RCB,26,3500000,30/06/2026,12,1004,0,0.22,0,0,15.24,61.76,Mali,Mali,both,192,78,no,12.01,6.01,68.66,6.27,57.14,0.72,0.94,0.81,7.17,9.41,1.25,4,0.36,1,0.09,0.63,0,0,0,0.02,0,0,7,0.63,14.29,0,0,0,0,0,0,0,0,0,0.63,85.71,1.61,72.22,0.45,0.54,29.04,0.27,0.81,45.18,85.91,19,74.06,1.88,95.24,21.87,96.72,38.9,92.63,6.27,44.29,22.23,33.58,0,0,0.09,0,0.09,0,0,4.84,44.44,0.36,25,0.54,16.67,0.18,0,7.35,65.85,0,,0,,0,0,0,0,,,1.61,,,0.09,0,0,0,0,0
J. Antiste,Sassuolo,Amiens SC,"CF, RW, LW",20,3500000,30/06/2026,14,1040,1,3.26,1,1.31,22.15,35.94,France,"France, Martinique",right,183,75,no,5.97,5.28,50.82,3.89,42.22,0.26,0.33,0.17,3.03,3.89,1.56,0,0,0,0,2.42,0.09,1,0.09,0.28,0,0,21,1.82,47.62,4.762,0.09,1.82,14.29,0.87,20,0.95,9.09,0.09,2.86,39.39,9.61,25.23,4.85,1.38,19.99,2.77,1.3,27.87,74.84,5.45,52.38,9.17,94.34,5.8,70.15,25.1,81.03,1.04,33.33,14.56,18.58,0.11,0.78,0,0,0.26,66.67,0.52,1.64,63.16,1.47,47.06,0.26,66.67,0.87,0.17,2.25,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0.35,0,0
M. Camara,Brest,Saint-Étienne,"RCMF, RDMF, DMF",24,3000000,30/06/2024,4,379,0,0.19,1,0.25,17.34,52.05,France,"France, Mali",right,178,66,yes,6.41,5.22,54.55,3.32,50,0.95,1.46,0,2.61,4.02,1.19,1,0.24,0,0,1.9,0,0,0,0.04,0,0,3,0.71,0,0,0.24,1.42,66.67,0.47,50,0.71,100,0.47,2.85,33.33,6.41,44.44,2.61,1.42,31.11,1.42,2.37,44.88,92.59,11.64,81.63,9.02,100,14.01,98.31,42.27,94.38,1.19,60,15.53,36.65,0.06,0.71,0,0,0,0,0.24,4.75,90,1.19,80,0,0,0.24,0.95,3.56,93.33,0,,0,,0,0,0,0,,,0.47,,,0,0,0,0,0,0
A. Richardson,Reims,Le Havre,RCMF,21,3000000,30/06/2027,34,2503,3,4.08,4,1.88,22.26,46.53,Morocco,"Morocco, France",left,195,79,no,7.16,6.47,57.22,3.13,48.28,0.47,0.68,0.11,2.98,4.32,1.8,6,0.22,1,0.04,2.45,0.11,3,0.11,0.15,1,0.04,32,1.15,37.5,9.375,0.14,0.58,31.25,0.11,33.33,0.43,25,0.11,2.48,53.62,9.56,41.73,1.55,1.91,30.24,1.29,1.51,41.85,85.22,10.28,71.33,10.79,93.33,12.87,89.39,38.83,87.96,2.45,54.41,16.59,33.16,0.07,0.68,0.07,0,0.79,63.64,0.36,4.89,73.53,1.76,63.27,1.37,47.37,1.08,0.18,4.53,78.57,0,,0,,0,0,0,0,,,0.04,,,0.07,0,0,0.07,0,0
