Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. El Ouazzani,Guingamp,Bourg-en-Bresse,CF,22,1500000,2026-06-30,11,969,2,5.89,0,0.95,23.68,35.29,France,"France, Morocco",left,188,75,no,3.72,3.99,48.84,6.69,31.94,0.28,0.4,0.09,1.49,2.11,1.3,0,0,0,0,3.81,0.19,1,0.09,0.55,1,0.09,37,3.44,43.24,5.405,0,1.76,42.11,0.84,44.44,0.93,40,0.37,3.07,48.48,9.66,31.73,4.37,1.95,13.37,2.14,1.02,19.23,83.57,3.99,72.09,6.04,96.92,5.29,78.95,16.44,90.4,1.02,45.45,16.56,29.51,0.09,0.84,0,0,0.28,33.33,0.65,1.67,77.78,1.49,56.25,0.37,50,0.56,0.74,1.67,83.33,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0,2,50
A. Boutrah,Vitesse,Concarneau,"CF, LW, RW",22,700000,,32,2882,11,7.81,8,3.49,21.45,34.88,France,"France, Morocco",right,173,60,no,2.71,1.99,56.9,2.64,18.18,0,0,0,1.58,2.31,0.45,2,0.06,0,0,4.26,0.34,11,0.38,0.27,1,0.03,67,2.3,41.79,16.418,0.27,1.34,20.51,0.89,19.23,0.41,25,0.17,5.49,50,14.45,35.87,3.98,3.64,25.37,2.4,1.72,33.54,83.62,4.84,72.34,12.01,92.57,9.61,85,32.03,86.39,0.17,60,15.74,5.07,0.12,0.93,0.07,0.03,0.58,47.06,0.69,2.09,65.57,1.24,61.11,0.38,36.36,0.89,0.24,2.54,79.73,0,,0,,0,0,0,0,,,0.03,,,0.03,0.03,0,0,0,0
N. El Aynaoui,Lens,Nancy,"LCMF, LDMF, RCMF",22,700000,2024-06-30,33,3025,4,3.64,3,1.25,24.87,54.25,France,"France, Morocco",right,186,78,no,10.95,9.26,64.24,4.39,58.04,0.46,0.66,0.28,4.54,6.48,1.59,6,0.18,1,0.03,1.69,0.12,4,0.12,0.11,2,0.06,31,0.95,45.16,12.903,0.09,0.12,0,0,0,0.12,0,0,2.48,43.21,8,45.59,1.26,0.8,23.92,0.37,2.88,35.82,86.82,11.32,77.78,6.59,93.95,13,92.69,33.52,89.2,2.18,54.93,17.79,34.55,0.04,0.4,0.06,0,0.34,54.55,0.18,5.7,76.34,0.92,56.67,0.55,44.44,0.49,0.03,4.88,76.1,0,,0,,0,0,0,0,,,0.49,,,0.06,0.03,100,0.12,0,0
B. Pereira,NEC,Bourg-en-Bresse,RB,20,600000,2025-06-30,7,439,0,0.01,1,0.8,22.35,53.21,France,"France, Congo",right,172,66,yes,11.07,8,56.41,2.87,35.71,0.82,1.08,0.21,5.74,7.57,1.64,2,0.41,0,0,4.31,0,0,0,0,0,0,1,0.21,0,0,0.21,3.49,29.41,0,0,3.49,29.41,0.21,5.13,64,9.64,57.45,0.62,3.49,25.01,1.85,2.67,34.85,82.94,10.25,80,4.92,95.83,13.94,83.82,28.91,91.49,2.46,58.33,17.31,16.63,0.16,0.82,0,0.21,0.21,0,0.41,5.95,82.76,2.87,35.71,0.41,50,0.41,1.03,5.95,75.86,0,,0,,0,0,0,0,,,0.41,,,0,0,0,0,0,0
K. Djoco,Bastia,Versailles,CF,27,500000,2025-06-30,10,664,5,5.52,2,1.12,26.7,38.07,France,"France, Senegal",right,186,80,no,3.25,3.52,69.23,3.93,31.03,0,0,0,0.81,1.1,2.58,1,0.14,0,0,4.74,0.68,4,0.54,0.75,0,0,22,2.98,54.55,22.727,0.27,0.95,57.14,0.41,66.67,0.54,50,0,4.61,55.88,15.05,35.14,4.74,1.22,10.03,1.63,1.63,18.16,76.87,2.3,70.59,6.23,82.61,4.07,76.67,17.08,77.78,0.27,100,12.05,7.36,0.15,0.81,0.14,0,0.14,0,0.68,0.68,60,1.08,50,0.14,0,0.81,0.41,1.22,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,50
S. Delaye,Le Puy F.43 Auvergne,Le Puy F.43 Auvergne,"RW, CF, AMF",21,500000,2025-06-30,13,578,0,0.46,1,0.32,19.15,48.78,France,France,right,171,65,no,9.97,9.81,61.9,2.49,25,0.93,1.27,0,2.96,4.01,2.18,3,0.47,0,0,1.56,0,0,0,0.07,0,0,7,1.09,14.29,0,0.16,1.87,25,0.78,20,1.09,28.57,0.16,1.4,55.56,4.67,46.67,1.87,0.78,24.6,1.09,1.4,33.32,74.77,8.72,51.79,5.76,86.49,11.83,81.58,26.31,81.07,5.14,60.61,20.06,34.55,0.05,0.78,0,0,0.31,50,0.47,5.29,64.71,2.8,72.22,0.78,40,1.71,0.47,5.76,70.27,0,,0,,0,0,0,0,,,0,,,0.93,0.16,0,0.31,0,0
F. Doucouré,Red Star,Red Star,"RB, LWB",22,500000,2025-06-30,26,2467,1,0.8,2,1.6,15.86,53.22,Mali,Mali,right,172,61,no,10.83,7.91,66.51,2.31,34.43,0.19,0.24,0.34,5.38,6.68,0.76,4,0.15,1,0.04,2.23,0.04,1,0.04,0.03,0,0,14,0.53,35.71,7.143,0.08,2.27,31.67,0.15,25,2.12,32.14,0.38,1.7,66.67,3.9,42.72,0.83,2.73,30.82,1.48,0.23,44.07,78.87,18.21,68.81,6.85,96.13,12.72,83.93,37.41,86.13,4.51,41.18,19.74,38.34,0.06,0.61,0.08,0.08,0.23,83.33,0.38,7.38,62.56,2.5,45.45,0.42,36.36,0.64,0.72,9.09,75,0,,0,,0,0,0,0,,,0.57,,,0,0,0,0,0,0
Y. Le Méhauté,Le Mans,Cholet,"CF, AMF",28,500000,,27,2579,3,4.02,6,6.63,25.47,43.42,France,France,right,178,63,no,5.72,5.83,58.08,0.56,25,0.52,0.64,0.1,1.81,2.22,0.8,1,0.03,0,0,4.47,0.1,1,0.03,0.14,0,0,34,1.19,29.41,8.824,0.21,1.71,42.86,0.98,35.71,0.7,50,0.24,5.72,52.44,15.63,39.06,1.05,1.4,24.88,0.87,2.97,36.85,78.03,14.34,70.56,5.3,93.42,11.34,80.92,29.7,83.08,5.55,62.26,19.86,37.29,0.23,1.99,0.07,0.03,0.98,39.29,0.42,7.5,68.84,3.35,46.88,2.02,34.48,0.94,0.8,8.17,82.48,0,,0,,0,0,0,0,,,0.07,,,2.93,0.28,25,4.47,2,100
P. Ouaneh,Laval,Châteauroux,"RCB, LCB, CB",25,500000,2024-06-30,21,1786,0,1.34,0,0,13.53,67.45,Congo DR,"Congo DR, France",right,184,78,no,9.6,5.2,74.49,4.03,65.79,0.21,0.27,0.42,5.52,7.09,0.64,6,0.3,0,0,0.69,0,0,0,0.07,0,0,8,0.42,12.5,0,0,0.27,60,0,0,0.27,60,0,0.69,69.23,2.71,60.78,0.64,1.22,41.98,0.32,1.06,58.9,90.09,21.92,78.45,2.6,95.92,30.94,97.43,52.96,94.09,5.68,54.21,20.52,38.79,0,0,0,0.05,0,0,0,5.78,67.89,0.48,22.22,0.16,0,0,0.11,9.5,70.95,0,,0,,0,0,0,0,,,1.86,,,0,0,0,0,0,0
F. El Khoumisti,Concarneau,Concarneau,"CF, AMF",29,450000,2024-06-30,27,2344,16,11.65,4,4.03,15.23,40.49,France,"France, Morocco",right,180,75,no,3.39,3.06,58.11,3.39,34.15,0.08,0.12,0,1.53,2.27,0.75,3,0.12,0,0,3.93,0.61,13,0.54,0.48,0,0,87,3.6,43.68,17.241,0.17,1.37,39.39,0.37,11.11,0.95,47.83,0.12,2.77,43.28,6.21,34.67,4.06,0.87,22.31,2.11,0.79,28.28,73.35,8.07,61.54,5.67,88.32,8.86,76.17,24.92,77.08,2.19,52.83,16.92,30.34,0.17,1.28,0.08,0,1.28,48.39,0.83,3.48,60.71,2.94,57.75,1.28,38.71,1.53,0.33,3.44,77.11,0,,0,,0,0,0,0,,,0.04,,,0.83,0.46,45.45,0.66,3,66.667
