Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Reis,Hamburger SV,Hamburger SV,"RCMF, RDMF",22,6000000,2026-06-30,33,3056,9,4.65,4,2.68,24.33,46.73,Netherlands,"Netherlands, Slovakia",right,178,78,no,7.45,6.57,60.99,2.12,38.89,0.5,0.83,0.09,2.95,4.88,1.24,5,0.15,0,0,4.8,0.27,9,0.27,0.14,1,0.03,45,1.33,35.56,20,0.12,2.3,33.33,0.59,40,1.59,33.33,0.35,5.12,61.49,11.96,42.86,1.88,3.59,30.66,0.88,0.68,44.53,82.41,12.63,72.49,8.63,94.88,14.87,84.55,40.17,87.32,2.09,40.85,17.08,35,0.08,0.82,0.06,0.09,1.18,35,0.35,6.1,68.6,3.12,51.89,1.09,24.32,0.91,0.8,5.39,75.41,0,,0,,0,0,0,0,,,0.97,,,0,0,0,0.94,0,0
T. Breithaupt,Karlsruher SC,Karlsruher SC,"DMF, LCMF",21,3500000,2024-06-30,22,1877,1,0.69,0,0.34,20.04,56.7,Germany,Germany,right,192,79,no,11.8,8.39,64.57,5.13,52.34,0.19,0.25,0.48,6.19,8.06,0.86,2,0.1,0,0,0.58,0.05,1,0.05,0.03,0,0,9,0.43,11.11,11.111,0,0.38,12.5,0.14,0,0.24,20,0.05,0.86,55.56,2.69,50,0.62,0.43,24.69,0,0.91,43.01,86.62,13.67,73.33,6.52,96.32,16.97,93.22,38.84,89.75,3.88,61.73,18.37,28.61,0.02,0.43,0,0,0.19,0,0,5.85,73.77,0.91,21.05,0.29,33.33,0.34,0,6.09,75.59,0,,0,,0,0,0,0,,,1.77,,,0,0,0,0,0,0
L. Gechter,Eintracht Braunschweig,Eintracht Braunschweig,"LCB, RCB",19,3000000,2025-06-30,5,383,0,0.2,1,0.11,17.39,59.46,Germany,Germany,right,190,80,yes,7.99,4.7,75,5.4,43.48,1.17,1.23,0.47,3.29,3.44,1.17,1,0.23,0,0,2.11,0,0,0,0.05,0,0,1,0.23,100,0,0.23,1.17,40,0.23,0,0.94,50,0,1.64,85.71,3.05,69.23,0.7,2.35,27.26,0.23,1.41,44.41,82.01,19.03,67.9,3.99,100,17.86,90.79,35.48,89.4,7.99,55.88,22.66,37.87,0.02,0.23,0,0,0,0,0.23,8.22,74.29,2.11,44.44,1.17,60,0.94,0.23,10.81,71.74,0,,0,,0,0,0,0,,,1.64,,,0,0,0,0,0,0
M. Karbownik,Fortuna Düsseldorf,Fortuna Düsseldorf,LB,22,3000000,2024-06-30,26,1989,1,0.87,4,2.27,17.74,48.47,Poland,Poland,right,181,71,yes,7.24,5.93,54.96,1,27.27,0.05,0.06,0,3.94,5.21,0.9,5,0.23,0,0,3.98,0.05,1,0.05,0.04,0,0,13,0.59,30.77,7.692,0.18,2.26,44,1.9,47.62,0.32,28.57,0.14,4.52,58,8.6,50.53,1.54,4.12,23.21,1.31,1.49,36.65,75.56,15.02,65.36,4.98,90.91,10.95,83.06,30.95,80.56,3.44,51.32,17.13,22.59,0.1,0.95,0.14,0,0.41,44.44,0.41,3.57,62.03,2.67,52.54,0.36,37.5,0.86,0.95,8.05,64.61,0,,0,,0,0,0,0,,,0.5,,,0,0,0,0.05,0,0
T. Kleindienst,Heidenheim,Heidenheim,CF,27,3000000,2027-06-30,32,3038,25,15.22,6,2.76,34.72,41.55,Germany,Germany,left,194,85,no,4.74,5.15,45.98,12.92,53.67,0.03,0.04,0.06,2.34,2.99,2.55,9,0.27,0,0,3.17,0.74,25,0.74,0.45,9,0.27,102,3.02,46.08,24.51,0.18,1.45,24.49,0.62,23.81,0.8,25.93,0.15,2.76,49.46,9.04,31.48,4.35,1.1,14.52,3.29,0.56,21.92,66.35,6.01,59.11,3.85,82.31,6.37,65.58,19.52,70.71,1.04,45.71,16.14,26.45,0.08,0.71,0.12,0,0.21,28.57,0.41,2.64,57.3,1.75,38.98,0.24,50,0.74,0.27,2.43,75.61,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0,1,0
D. Kownacki,Werder Bremen,Fortuna Düsseldorf,CF,26,3000000,,32,2737,14,12.03,9,3.14,23.35,39.01,Poland,Poland,right,186,75,no,3.65,2.17,45.45,8.06,40.41,0.16,0.23,0.16,2.5,3.44,1.25,9,0.3,0,0,2.93,0.46,11,0.36,0.4,3,0.1,74,2.43,45.95,18.919,0.3,0.89,40.74,0.26,75,0.53,25,0.03,2.3,55.71,8.58,35.25,3.45,0.99,15.95,2.1,1.78,20.06,73.93,5.03,57.52,3.16,87.5,7.27,80.54,17.99,77.15,1.25,50,17.53,25.44,0.1,0.72,0.03,0.03,0.43,38.46,0.59,2.4,68.49,1.68,64.71,0.53,31.25,1.12,0.33,2.43,63.51,0,,0,,0,0,0,0,,,0.26,,,0.16,0.16,0,0.07,4,75
P. Pfeiffer,Augsburg,Darmstadt 98,"RCB, LCB",24,3000000,,24,1853,4,1.63,1,1.39,17.44,66.3,Germany,"Germany, Ghana",right,196,91,no,10.01,4.71,59.79,7.72,72.96,0.05,0.06,0.97,7.14,9.36,0.92,6,0.29,2,0.1,1.07,0.19,4,0.19,0.08,4,0.19,21,1.02,33.33,19.048,0.05,0.78,25,0.19,25,0.58,25,0.1,0.58,75,2.23,65.22,1.51,1.21,22.1,0.53,0.97,37.3,78.91,17.97,70.54,3.5,95.83,12.97,87.64,27.98,87.5,8.6,55.37,24.87,39.87,0.07,0.39,0,0,0.1,100,0.19,7.48,66.23,1.41,41.38,0.53,54.55,0.49,0.15,11.27,73.28,0,,0,,0,0,0,0,,,2.87,,,0.1,0.05,0,0,0,0
M. Okugawa,Arminia Bielefeld,Arminia Bielefeld,"RCMF, RWF, LAMF",27,2500000,2024-06-30,30,2273,5,4.21,9,2.8,18.89,45.49,Japan,Japan,right,177,67,no,6.49,5.03,59.06,3.05,28.57,0.16,0.2,0.04,3.37,4.18,0.79,2,0.08,0,0,3.29,0.2,5,0.2,0.17,0,0,34,1.35,47.06,14.706,0.36,1.19,46.67,0.48,58.33,0.71,38.89,0.12,3.17,60,7.13,45.56,2.57,1.15,12.2,1.27,1.19,18.89,71.28,6.26,62.66,3.29,89.16,5.94,78.67,16.59,75.42,1.19,36.67,19.61,20.4,0.11,0.87,0.08,0,0.51,38.46,0.71,2.45,62.9,1.47,59.46,0.59,40,0.83,0.59,3.64,68.48,0,,0,,0,0,0,0,,,0.08,,,0.12,0,0,0.08,0,0
R. Schallenberg,Paderborn,Paderborn,"RCMF, LCMF, DMF",24,2500000,2024-06-30,33,3179,3,3.72,1,1.62,12.17,56.28,Germany,Germany,right,185,76,no,9.57,5.95,63.81,3.4,50.83,0.34,0.55,0.31,5.44,8.75,0.99,8,0.23,0,0,0.68,0.08,3,0.08,0.11,1,0.03,28,0.79,32.14,10.714,0.03,0.25,66.67,0.08,66.67,0.14,60,0.03,0.11,75,0.74,61.54,0.88,0.99,33.89,0.11,0.34,49.2,89.3,12.46,73.86,10.02,96.89,19.59,95.66,45.16,92.23,3.79,55.97,18.69,35.11,0.05,0.45,0.08,0.03,0.28,60,0.2,7.59,72.01,1.05,62.16,0.71,40,0.59,0.17,6.17,75.23,0,,0,,0,0,0,0,,,2.35,,,0,0,0,0,0,0
R. Königsdörffer,Hamburger SV,Hamburger SV,"RWF, AMF, RB",21,2500000,2026-06-30,31,1660,8,5.1,1,2.28,20.87,39.74,Germany,"Germany, Ghana",right,183,78,no,3.8,2.87,50.94,2.39,50,0.05,0.09,0.16,2.28,3.95,0.6,3,0.16,1,0.05,4.72,0.43,8,0.43,0.28,1,0.05,39,2.11,53.85,20.513,0.05,1.73,28.13,0.49,0,1.25,39.13,0.22,5.15,57.89,11.28,37.5,4.72,2.6,15.45,1.63,0.87,20.77,75.72,5.42,70,4.83,86.52,5.8,76.64,18.76,80.64,0.43,50,14.92,9.91,0.12,0.87,0.05,0.05,0.22,50,0.65,1.41,76.92,1.36,44,0.22,50,0.87,0.33,2.6,68.75,0,,0,,0,0,0,0,,,0.6,,,0,0,0,0,0,0
