Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Vidovi?,Bayern München,Bayern München II,"AMF, LAMF, CF",18,3000000,2025-06-30,3,295,0,0.88,0,0.05,21.97,40.28,Germany,"Germany, Croatia",right,180,73,no,1.83,3.36,36.36,1.22,50,0,0,0,0.61,1.02,0,0,0,0,0,5.49,0,0,0,0.27,0,0,10,3.05,20,0,0,0,0,0,0,0,0,0,5.8,63.16,14.95,42.86,2.44,1.83,21.36,0.92,2.44,32.03,83.81,7.93,57.69,8.24,96.3,9.15,86.67,29.9,87.76,2.14,28.57,18.13,28.85,0.01,0.31,0,0,1.22,100,0.61,4.58,60,0.61,50,1.53,80,0.61,0,3.66,66.67,0,,0,,0,0,0,0,,,0,,,0.31,0.31,0,0.31,0,0
P. Wanner,Bayern München U19,Bayern München II,"LCMF, RCMF",17,3000000,2027-06-30,5,404,0,1.58,1,1.05,21.39,43.75,Austria,"Austria, Germany",left,185,72,no,5.79,6.68,53.33,1.11,0,0.22,0.41,0.22,2,3.7,1.78,1,0.22,0,0,4.68,0,0,0,0.35,0,0,8,1.78,50,0,0.22,1.56,71.43,1.56,71.43,0,0,0,3.34,66.67,11.14,38,3.34,2,31.63,0.67,1.11,43.89,84.77,10.25,73.91,10.92,95.92,11.81,86.79,40.77,84.7,1.56,100,13.7,26.03,0.23,2,0,0.22,1.56,28.57,1.11,4.68,90.48,3.12,64.29,1.34,16.67,2,1.11,4.23,94.74,0,,0,,0,0,0,0,,,0,,,0.22,0,0,1.56,0,0
L. Gechter,Eintracht Braunschweig,Hertha BSC II,,19,3000000,2025-06-30,4,344,0,0,0,0,,,Germany,Germany,right,190,80,yes,,,,,,,0,,,0,,0,0,0,0,,0,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0
J. Che,Brøndby,Hoffenheim II,"RAMF, RB",19,2000000,,19,1112,1,1.76,0,0.48,25.56,47.92,United States,"United States, Germany",right,185,79,no,11.52,8.25,72.28,3.84,42.55,0.25,0.36,0,5.31,7.86,1.63,1,0.08,0,0,2.37,0.08,1,0.08,0.14,0,0,16,1.31,31.25,6.25,0,2.37,24.14,0.25,33.33,2.12,23.08,0.16,2.86,42.86,8.74,33.64,2.53,1.55,21.07,2.53,1.14,31.77,76.86,10.54,70.54,5.06,95.16,9.39,73.91,26.38,83.28,3.35,58.54,18.01,27.13,0.04,0.41,0.08,0,0.49,33.33,0,3.76,60.87,2.29,53.57,0.49,33.33,0.9,0.41,6.29,72.73,0,,0,,0,0,0,0,,,0.65,,,0,0,0,0,0,0
O. Fraulo,Borussia M'gladbach,Borussia M'gladbach II,"LDMF, RCMF, RDMF",19,2000000,2026-06-30,16,1419,1,0.84,1,0.56,15.24,49.33,Denmark,"Denmark, Italy",right,180,77,no,6.91,5.15,60.53,0.95,35.71,0.54,0.73,0.07,3.25,4.4,0.95,4,0.25,0,0,1.83,0.06,1,0.07,0.06,0,0,12,0.81,25,8.333,0.07,0.54,62.5,0.2,100,0.34,40,0.07,1.76,53.85,7.18,44.34,0.74,1.56,36.16,0.47,1.63,51.33,89.18,13.41,76.26,11.92,97.16,20.93,94.82,45.1,92.04,5.69,69.05,21.18,37.91,0.04,0.41,0,0.07,0.61,55.56,0.14,6.84,73.27,1.69,60,1.15,58.82,0.88,0.27,8.67,78.13,0,,0,,0,0,0,0,,,3.39,,,0.34,0.07,100,0.34,0,0
L. Zvonarek,Bayern München II,Bayern München II,"RAMF, RWF, CF",17,1500000,2025-06-30,17,1028,4,2.76,2,1.69,19.35,43.89,Croatia,Croatia,right,180,70,no,5.34,4.9,58.93,1.75,35,0.26,0.42,0.09,2.19,3.47,0.79,2,0.18,0,0,4.38,0.35,4,0.35,0.24,0,0,18,1.58,61.11,22.222,0.18,2.01,43.48,0.26,33.33,1.75,45,0.35,4.64,50.94,10.51,40.83,3.33,1.66,22.94,2.1,1.14,30.55,80.8,6.04,69.57,8.84,93.07,9.81,79.46,27.14,84.84,1.66,63.16,17.18,23.7,0.15,0.79,0.18,0,0.44,40,0.35,1.93,54.55,2.28,69.23,0.44,40,0.96,0.61,3.24,83.78,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0,0,0
L. Egloff,Stuttgart,Stuttgart II,"RCMF, LCMF, AMF",20,1500000,2024-06-30,5,411,0,0.98,0,0.55,17.96,47.56,Germany,Germany,right,182,81,no,5.26,5.69,57.69,1.31,66.67,0.44,0.76,0,1.53,2.66,1.53,0,0,0,0,2.63,0,0,0,0.21,0,0,10,2.19,30,0,0,0.22,0,0,0,0.22,0,0,3.72,52.94,8.98,46.34,1.53,2.41,28.47,0.88,1.97,39.42,78.89,11.82,59.26,10.73,97.96,11.61,81.13,37.01,81.07,2.19,50,17.18,25.71,0.12,1.97,0,0,0.22,0,0.22,5.91,66.67,1.97,33.33,0.22,0,1.09,0,5.47,76,0,,0,,0,0,0,0,,,0.88,,,0,0,0,0.22,0,0
Y. Borges Sanches,Borussia M'gladbach,Borussia M'gladbach II,"LW, LAMF",18,1500000,2025-06-30,13,998,2,1.53,2,1.31,25.61,40.49,Luxembourg,"Luxembourg, Cape Verde Islands",right,175,68,no,5.77,4.69,73.08,0.27,0,0.09,0.12,0,2.25,3.11,0.45,2,0.18,0,0,5.05,0.18,2,0.18,0.14,0,0,16,1.44,25,12.5,0.18,1.08,0,1.08,0,0,0,0.09,9.02,50,17.95,34.17,2.07,3.79,16.86,0.81,2.25,24.26,79.18,4.69,69.23,7.21,96.25,8.03,78.65,21.64,83.75,1.62,66.67,17.13,27.48,0.12,0.81,0,0.09,0.36,50,0.36,2.53,78.57,1.44,37.5,0.72,62.5,0.81,0.09,3.34,75.68,0,,0,,0,0,0,0,,,0.18,,,0,0,0,0,0,0
U. Tohumcu,Hoffenheim,Hoffenheim II,"RDMF, LDMF",18,1000000,2026-06-30,24,2077,5,3.36,3,2.69,21.33,54.14,Germany,"Germany, Turkey",both,175,71,no,7.7,7.02,60.65,0.86,26.32,0.18,0.27,0.05,3.26,4.88,1.27,5,0.22,0,0,3.49,0.22,5,0.23,0.15,0,0,53,2.4,28.3,9.434,0.14,1.13,12,0.36,12.5,0.77,11.76,0.27,4.17,56.52,10.6,52.56,1.13,2.04,30.48,0.09,3.17,42.4,84.62,14.22,74.2,5.3,95.73,16.76,89.19,36.55,91.2,4.71,50.96,20.01,37.84,0.12,1,0.05,0,0.54,58.33,0.18,7.43,70.12,2.26,50,0.91,55,1,0.18,7.02,82.58,0,,0,,0,0,0,0,,,0.91,,,1,0.18,50,1.4,0,0
A. Ibrahimovic,Bayern München U19,Bayern München II,"LCMF, AMF, LAMF",17,1000000,2025-06-30,9,700,3,3.22,2,0.57,20.96,47.85,Germany,"Germany, Kosovo",right,176,69,no,5.01,4.5,57.14,3.21,52,0.13,0.21,0.13,2.31,3.78,0.64,1,0.13,1,0.13,5.79,0.39,2,0.26,0.41,0,0,18,2.31,61.11,16.667,0.26,2.44,31.58,1.16,33.33,1.16,33.33,0.51,5.79,55.56,10.67,48.19,3.73,2.06,26.49,2.44,1.54,37.67,70.65,12.34,60.42,6.56,78.43,12.6,71.43,31.5,76.73,3.99,41.94,17.72,36.66,0.07,1.16,0.13,0.13,1.41,27.27,0.51,7.33,64.91,4.37,41.18,2.19,29.41,1.54,0.77,6.94,83.33,0,,0,,0,0,0,0,,,0.51,,,0.39,0,0,1.29,1,100
