Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Sergi Canós,Brentford,Olympiacos Piraeus,"LAMF, LW, RW",26,9000000,2024-06-30,8,466,4,3.4,2,0.28,24.14,45.6,Spain,Spain,right,177,75,no,8.11,7.73,55,1.35,28.57,0,0,0.19,3.86,5.94,1.74,1,0.19,0,0,4.83,0.77,4,0.77,0.66,0,0,18,3.48,44.44,22.222,0.39,1.16,33.33,0.77,25,0.39,50,0,4.64,58.33,11.97,46.77,4.83,1.55,18.73,1.93,1.35,26.46,74.45,7.92,70.73,5.99,100,5.99,67.74,23.76,78.05,1.74,44.44,15.12,30.72,0.05,0.77,0,0.19,0.77,25,0.39,1.35,85.71,2.32,75,0.58,33.33,1.35,0.39,4.64,58.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0.19,0,0
L. García,AEK Athens,AEK Athens,CF,25,7000000,2028-06-30,31,2522,14,15.28,4,3.2,26.19,36.78,Trinidad and Tobago,Trinidad and Tobago,left,182,86,no,3.03,3.14,56.82,6,42.86,0.14,0.26,0,1.11,2.05,1.61,1,0.04,0,0,4.21,0.5,10,0.36,0.55,4,0.14,91,3.25,38.46,15.385,0.14,1.39,41.03,0.61,35.29,0.71,45,0.25,4.6,50.39,12.45,32.09,5.53,1.64,9.89,2.36,1.39,14.6,74.82,2.96,56.63,3.96,89.19,4.28,75.83,12.74,79.27,0.5,50,15.95,11.69,0.11,1.03,0.07,0.11,0.39,18.18,0.68,0.89,60,1.82,56.86,0.43,25,1.14,0.57,1.32,86.49,0,,0,,0,0,0,0,,,0,,,0.21,0.21,33.33,0,5,80
D. Samassékou,Hoffenheim,Olympiacos Piraeus,"LCMF, RDMF, LDMF",27,7000000,2025-06-30,20,945,2,0.58,0,0.08,18.1,52.63,Mali,Mali,right,177,70,no,10.29,8.1,58.82,4,50,0.29,0.39,0.19,5.24,7.21,1.62,2,0.19,0,0,1.05,0.19,2,0.19,0.06,1,0.1,6,0.57,66.67,33.333,0,0,0,0,0,0,0,0,1.05,63.64,3.43,52.78,0.57,0.76,28.19,0.38,1.14,41.52,88.53,11.62,80.33,7.52,93.67,14.29,92,38.67,91.38,2.86,50,16.54,15.63,0.01,0.1,0.1,0.1,0.1,0,0.1,5.52,81.03,0.57,66.67,0.29,0,0.38,0,3.81,65,0,,0,,0,0,0,0,,,0.38,,,0,0,0,0,0,0
G. Konstantelias,PAOK,PAOK,"AMF, CF, LAMF",20,6000000,2027-06-30,30,2325,2,5.41,3,3.19,23.42,38.68,Greece,Greece,right,178,66,no,5.23,6.35,53.66,1.55,17.5,0.12,0.18,0.08,1.7,2.69,1.59,3,0.12,0,0,4.3,0.08,2,0.08,0.21,0,0,37,1.43,37.84,5.405,0.12,0.89,39.13,0.7,38.89,0.15,50,0.15,5.85,45.03,12.12,36.1,3.52,2.52,19.9,1.16,1.51,26.44,83.02,7.08,73.77,6.31,92.64,7.08,82.51,24.23,85.3,1.35,71.43,15.04,18.64,0.12,1.24,0,0,1.32,58.82,0.66,2.4,74.19,3.17,59.76,1.24,50,1.97,0.39,3.17,89.02,0,,0,,0,0,0,0,,,0.12,,,0.23,0,0,1.01,0,0
J. Rodríguez,São Paulo,Olympiacos Piraeus,"AMF, CF",32,6000000,,20,1497,5,4.29,6,5.79,15.09,45.82,Colombia,"Colombia, Spain",left,180,75,no,3.19,3.19,41.51,0.96,37.5,0.3,0.46,0,1.56,2.39,1.14,1,0.06,0,0,5.11,0.3,4,0.24,0.26,3,0.18,43,2.59,55.81,11.628,0.36,2.22,45.95,0.78,23.08,1.44,58.33,0.48,3.31,58.18,8.84,48.3,2.04,1.14,54.29,1.32,2.1,67.7,85.44,20.14,78.51,10.1,90.48,25.01,87.5,58.8,88.65,6.79,69.91,17.97,37.65,0.35,2.4,0.18,0.18,1.38,52.17,0.72,12.87,83.18,5.29,50,2.34,48.72,2.04,1.14,11.06,90.22,0,,0,,0,0,0,0,,,0,,,1.8,0.42,28.57,2.71,2,50
G. Masouras,Olympiacos Piraeus,Olympiacos Piraeus,"LAMF, LW, RW",29,6000000,2024-06-30,30,1398,3,5.66,2,1.91,16.42,49.02,Greece,Greece,right,184,76,no,5.92,5.34,57.83,3.15,51.02,0.32,0.51,0.13,2.51,3.95,1.42,4,0.26,0,0,3.22,0.19,3,0.19,0.36,3,0.19,34,2.19,35.29,8.824,0.13,2.83,38.64,2.45,34.21,0.39,66.67,0.39,1.8,60.71,5.34,48.19,4.31,0.9,21.95,1.55,0.71,28.71,78.03,5.28,64.63,8.69,94.07,8.11,71.43,24.4,84.7,1.61,48,16.7,18.97,0.12,0.64,0.06,0,0.52,50,0.71,1.93,50,2.77,46.51,0.64,60,0.97,0.97,3.28,72.55,0,,0,,0,0,0,0,,,0,,,0.06,0,0,0.06,0,0
Pep Biel,Olympiacos Piraeus,Olympiacos Piraeus,"RAMF, RW, LAMF",26,6000000,2027-06-30,30,2364,9,9.45,3,2.01,20.67,40.33,Spain,Spain,left,167,64,no,6.51,6.28,55.76,2.06,31.48,0.34,0.49,0.04,2.66,3.82,1.41,3,0.11,1,0.04,4.34,0.34,8,0.3,0.36,0,0,68,2.59,50,13.235,0.11,1.52,37.5,0.34,33.33,1.14,36.67,0.19,5.14,41.48,9.29,36.07,3.39,2.25,22.88,1.22,0.88,28.93,79.61,6.74,66.1,7.01,91.3,8.76,80.43,25.55,83.01,1.9,66,15.32,24.83,0.08,1.14,0.11,0.04,0.76,45,0.46,2.32,75.41,2.4,57.14,1.07,46.43,0.99,0.57,3.62,74.74,0,,0,,0,0,0,0,,,0.04,,,0.57,0.11,33.33,1.26,1,100
A. Živkovi?,PAOK,PAOK,"RAMF, LAMF, RW",27,5000000,2024-06-30,33,2845,7,3.19,4,8.05,18.35,54.14,Serbia,Serbia,left,169,62,no,7.85,6.64,64.76,1.64,50,0.22,0.36,0.03,3.32,5.4,1.52,6,0.19,1,0.03,5.09,0.22,7,0.22,0.1,0,0,36,1.14,58.33,19.444,0.13,4.52,31.47,2.69,32.94,1.8,29.82,0.89,4.02,64.57,7.59,53.33,3.04,2.02,26.29,2.66,1.11,36.63,75.91,8.6,67.28,8.83,89.96,11.86,73.07,29.93,84.25,2.25,54.93,18.51,34.01,0.25,2.15,0.13,0.06,1.04,39.39,1.23,2.88,69.23,5.73,53.04,1.27,45,2.37,1.49,6.45,78.43,0,,0,,0,0,0,0,,,0.32,,,0.44,0.06,0,1.42,0,0
O. Pineda,AEK Athens,AEK Athens,"AMF, LAMF, RCMF",27,5000000,2027-06-30,36,2684,9,5.81,1,3.55,20.42,46.8,Mexico,Mexico,right,169,63,no,6.61,6.47,61.14,2.25,43.28,0.07,0.13,0.13,2.58,4.84,1.34,5,0.17,0,0,3.92,0.3,9,0.3,0.19,2,0.07,58,1.94,43.1,15.517,0.03,1.51,31.11,0.44,23.08,1.01,36.67,0.17,4.26,48.82,8.82,41.06,2.51,2.18,36.42,0.84,1.48,46.68,83.05,15.02,72.54,6.81,94.58,16.26,91.96,41.65,86.23,3.55,67.92,18.6,33.11,0.12,1.24,0.03,0.1,1.54,34.78,0.5,8.18,80.33,3.82,53.51,1.58,40.43,1.64,0.44,7.48,89.24,0,,0,,0,0,0,0,,,0.37,,,0.13,0,0,0.17,0,0
C. Bakambu,Galatasaray,Olympiacos Piraeus,CF,32,5000000,,32,2230,18,12.89,2,3.77,18.73,33.84,France,"France, Congo DR",right,182,73,no,3.11,3.87,44.79,6.01,33.56,0.08,0.12,0,1.29,1.85,1.94,4,0.16,0,0,1.9,0.73,15,0.61,0.52,5,0.2,58,2.34,51.72,31.034,0.08,0.28,42.86,0.08,100,0.2,20,0.04,1.21,40,4.48,36.04,3.67,0.85,10.05,1.65,1.09,12.47,81.23,2.1,69.23,3.47,94.19,3.31,78.05,12.07,82.27,0.12,66.67,13.69,3.65,0.15,1.01,0.04,0,0.24,33.33,0.61,0.97,75,0.93,82.61,0.24,33.33,1.09,0.12,0.73,61.11,0,,0,,0,0,0,0,,,0.04,,,0,0,0,0,3,100
