Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Zachariassen,Ferencváros,Ferencváros,"RAMF, AMF",29,4500000,2024-06-30,27,1934,7,5.58,3,3.51,19.64,48.1,Norway,Norway,right,180,74,no,7.68,5.72,65.85,4.98,40.19,0.47,0.76,0.09,3.44,5.62,1.21,1,0.05,0,0,1.95,0.33,7,0.33,0.26,1,0.05,28,1.3,42.86,25,0.14,1.44,29.03,0.37,37.5,1.02,27.27,0.09,1.54,51.52,6,40.31,3.82,1.12,15.08,1.02,1.07,24.8,78.8,7.49,67.08,6.38,97.08,6.05,80,22.2,83.86,1.21,46.15,16.42,18.78,0.16,0.98,0.09,0.09,0.47,40,0.6,2.47,62.26,1.26,70.37,0.51,45.45,1.44,0.42,3.16,66.18,0,,0,,0,0,0,0,,,0.09,,,0,0,0,0.05,0,0
A. Traoré,Ferencváros,Ferencváros,"LAMF, RAMF, LB",28,4500000,2025-06-30,30,2534,11,7.83,7,4.46,19.75,42.09,Mali,Mali,left,177,74,no,4.72,3.48,61.22,3.98,46.43,0.14,0.23,0,2.45,3.97,0.71,3,0.11,0,0,4.33,0.39,11,0.39,0.28,4,0.14,57,2.02,38.6,19.298,0.25,3.13,29.55,2.56,26.39,0.57,43.75,0.53,4.44,55.2,9.94,35,4.19,2.81,25.43,2.13,0.85,34.74,79.14,8.67,70.49,7.39,94.23,11.05,81.35,30.54,85.23,1.21,50,17.53,20.83,0.16,1.03,0.07,0,0.6,29.41,0.75,2.84,73.75,3.41,44.79,0.53,13.33,1.46,0.96,5.68,77.5,0,,0,,0,0,0,0,,,0.28,,,0,0,0,0,0,0
A. Laïdouni,Union Berlin,Ferencváros,"LDMF, LCMF, RDMF",26,4000000,,10,650,0,1.01,3,0.8,24.23,58.29,France,"France, Tunisia",right,184,81,no,8.72,7.06,68.63,2.22,50,0.42,0.6,0,3.46,5.03,1.25,2,0.28,0,0,5.54,0,0,0,0.14,0,0,8,1.11,0,0,0.42,1.25,22.22,0.69,40,0.55,0,0.14,5.26,78.95,12.6,57.14,1.94,1.66,44.45,0.83,3.05,61.75,87.22,18.69,79.26,9.83,92.96,24.51,94.35,57.18,90.31,3.32,58.33,18.84,31.59,0.11,1.52,0.14,0.14,2.08,53.33,0.69,11.91,82.56,3.6,61.54,2.22,31.25,2.22,0.28,9.97,90.28,0,,0,,0,0,0,0,,,0.55,,,1.11,0.28,0,2.49,0,0
D. Dibusz,Ferencváros,Ferencváros,GK,32,2800000,2027-06-30,29,2842,0,0,0,0,0.48,86.67,Hungary,Hungary,right,188,81,no,1.36,0.03,100,0.35,100,0,0,0,1.33,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,10.86,0.13,0.06,17.45,91.83,9.06,86.71,0,0,7.76,97.14,13.02,98.05,4.43,73.57,27.63,41.23,0,0,0,0,0,0,0,0.32,10,0,0,0,0,0,0,4.18,74.24,29,0.92,113,3.58,12,74.34,35.55,1.13,6.55,0.207,0,0.73,0.35,,,,0,0,0
Marquinhos,Ferencváros,Ferencváros,"AMF, LAMF, CF",23,2500000,2024-06-30,29,1774,6,4.4,7,4.25,26.53,42.64,Brazil,Brazil,right,170,71,no,6.04,5.73,62.83,1.62,34.38,0.15,0.25,0,2.28,3.78,0.96,7,0.36,0,0,5.23,0.3,5,0.25,0.22,0,0,44,2.23,31.82,13.636,0.36,1.52,13.33,1.07,19.05,0.46,0,0.56,6.9,53.68,15.07,42.76,4.82,3.65,21.21,1.07,1.67,32.82,78.83,8.73,65.12,7.91,90.38,9.33,79.89,30.59,82.42,0.81,62.5,15.21,14.04,0.22,1.42,0.1,0.05,1.12,54.55,0.86,3.25,71.88,3.2,58.73,1.17,56.52,2.33,0.25,4.77,77.66,0,,0,,0,0,0,0,,,0,,,0,0,0,0.3,1,100
T. Nguen,Ferencváros,Ferencváros,"AMF, LAMF, CF",29,2000000,2025-06-30,20,1186,1,4.03,0,2.63,18.74,39.27,Kenya,"Kenya, Norway",right,174,60,no,3.95,4.86,40.63,1.14,13.33,0.15,0.25,0.15,1.82,3.04,1.59,3,0.23,0,0,4.7,0.08,1,0.08,0.31,0,0,35,2.66,31.43,2.857,0,1.06,28.57,0.61,25,0.3,50,0.08,4.25,64.29,10.62,42.86,4.1,2.5,29.37,0.61,1.29,35.67,83.19,8.65,71.93,5.84,88.31,13.58,90.5,32.55,86.48,2.05,59.26,15.94,21.8,0.2,1.67,0.15,0,1.52,55,0.68,4.55,76.67,3.11,65.85,1.67,54.55,2.05,0.3,3.72,89.8,0,,0,,0,0,0,0,,,0.23,,,0.23,0,0,0.46,0,0
A. Esiti,Ferencváros,Ferencváros,"RDMF, LDMF, RCMF",29,1700000,2024-06-30,21,1169,1,0.52,0,0.41,26.41,58.89,Nigeria,Nigeria,right,189,84,no,12.55,10.62,61.59,3.31,58.14,0.69,1.26,0.23,5.31,9.67,3.08,5,0.38,0,0,2.46,0.08,1,0.08,0.04,0,0,2,0.15,50,50,0,0.15,0,0.08,0,0.08,0,0.08,2.77,83.33,9.24,55.83,0.15,0.77,29.64,0.15,1.92,49.66,91.01,11.78,79.74,8.78,99.12,21.79,94.7,46.12,93.32,3.39,63.64,18.67,29.62,0.03,0.38,0.08,0,0.15,50,0.31,7.7,80,1.31,64.71,0.69,66.67,0.85,0.08,5.85,82.89,0,,0,,0,0,0,0,,,0.92,,,0.08,0,0,0,0,0
K. Kodro,Fehérvár,Fehérvár,CF,30,1700000,2024-06-30,33,2818,13,11.1,1,1.66,15.68,36.25,Spain,"Spain, Bosnia and Herzegovina",right,188,78,no,2.2,1.76,58.18,5.46,36.26,0.1,0.14,0.13,1.09,1.57,0.67,4,0.13,0,0,1.53,0.42,10,0.32,0.35,3,0.1,57,1.82,33.33,22.807,0.03,0.32,20,0.13,25,0.13,25,0.06,1.28,57.5,5.81,35.16,2.43,0.29,13.7,1.09,1.53,19.32,85.45,2.59,67.9,5.97,94.65,7.31,89.08,17.63,87.86,1.37,69.77,17.56,25.61,0.05,0.48,0.1,0,0.19,66.67,0.19,1.69,73.58,0.57,44.44,0.26,50,0.45,0.06,1.15,55.56,0,,0,,0,0,0,0,,,0.03,,,0.06,0.06,0,0.06,4,75
J. Levi,Puskás FC,Puskás FC,"AMF, RW, CF",27,1700000,2025-06-30,17,1171,1,1.64,0,3.21,20.52,43.07,Sweden,"Sweden, Italy",left,185,75,no,6.53,5,52.31,2.15,21.43,0.08,0.1,0.31,3.84,5.19,0.54,0,0,0,0,3.77,0.08,1,0.08,0.13,0,0,21,1.61,33.33,4.762,0,1.31,23.53,0.38,40,0.77,10,0.15,4.46,60.34,10.76,46.43,2.15,2.38,19.06,1,1.46,30.05,77.24,8.92,73.28,6.15,88.75,8.68,73.45,27.75,80.61,1.08,50,14.46,20.51,0.25,1.54,0.23,0,0.85,27.27,0.46,3.23,80.95,2.92,50,1.08,21.43,1.69,0.31,4.69,72.13,0,,0,,0,0,0,0,,,0.31,,,2.23,0,0,2.77,0,0
N. Baden Frederiksen,Ferencváros,Ferencváros,"CF, AMF",23,1500000,2024-06-30,6,351,0,1.04,1,0.96,16.15,26.98,Denmark,Denmark,left,179,70,yes,2.56,2.56,40,2.56,10,0.26,0.47,0.26,1.28,2.34,1.28,1,0.26,0,0,3.08,0,0,0,0.27,0,0,11,2.82,36.36,0,0.26,1.03,50,1.03,50,0,0,0.26,2.56,50,7.69,26.67,2.82,0.51,11.54,1.54,1.28,12.82,72,2.82,54.55,2.31,100,3.85,66.67,11.54,73.33,0.26,100,11.12,5.52,0.25,0.51,0,0,0.26,100,0.26,1.28,60,0.77,33.33,0.26,100,0.26,0.26,1.28,60,0,,0,,0,0,0,0,,,0.26,,,0.77,0.26,0,0,0,0
