Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Kata,MTK,MTK,"DMF, RCMF, RDMF",21,400000,2026-06-30,35,3257,2,2.83,2,0.79,26.42,54.71,Hungary,Hungary,right,176,75,no,11.52,8.04,60.48,5.42,51.53,1.3,1.82,0.41,5.36,7.5,1.71,13,0.36,0,0,1.71,0.06,2,0.06,0.08,0,0,27,0.75,18.52,7.407,0.06,0.3,36.36,0.17,50,0.11,25,0.08,2.24,65.43,7.85,52.46,1.02,1.08,29.79,0.08,2.07,48.19,87.67,14.95,74.31,5.66,96.1,21.03,94.74,43.25,90.1,4.64,68.45,18.32,38.06,0.02,0.44,0.11,0.06,0.17,0,0.14,7.79,78.01,0.94,50,0.44,18.75,0.61,0.11,6.49,77.87,0,,0,,0,0,0,0,,,0.28,,,0,0,0,0,0,0
D. Lukács,Diósgy?r,Diósgy?r,"CF, LWF",27,400000,,37,3307,18,16.36,15,10.04,18.29,40.33,Hungary,Hungary,right,182,73,no,3.02,2.78,50.98,2.37,29.89,0.03,0.04,0.05,1.58,2.31,0.73,2,0.05,0,0,6.1,0.49,14,0.38,0.45,2,0.05,89,2.42,47.19,20.225,0.41,4.33,33.33,1.96,37.5,2.37,29.89,0.63,5.2,59.69,9.77,42.34,6.23,3.37,20.9,1.55,0.65,28.77,69.54,5.42,60.8,6.29,90.48,10.42,67.36,22.86,77.26,1.99,54.79,18.11,32.52,0.27,1.77,0.05,0,0.79,51.72,1.06,2.29,66.67,4.76,48,0.84,45.16,1.88,1.42,4.68,79.65,0,,0,,0,0,0,0,,,0.03,,,0.05,0.03,0,0.76,4,100
Á. Bényei,Diósgy?r,Diósgy?r,"LCMF, DMF",20,325000,2025-06-30,34,2773,5,4.23,2,4.66,22.39,50.29,Hungary,Hungary,right,177,71,no,10.39,7.08,64.22,4.15,46.09,0.68,0.98,0.26,5.16,7.42,1.62,2,0.06,0,0,3.15,0.16,5,0.16,0.14,0,0,46,1.49,39.13,10.87,0.06,2.66,35.37,1.4,32.56,1.2,37.84,0.36,2.3,59.15,6.36,44.39,2.4,1.72,28.98,0.52,1.82,45.5,76.96,15.68,65.22,6.69,92.72,14.99,82.9,39.04,82.54,3.86,49.58,17.64,31.84,0.15,1.43,0.16,0,0.71,36.36,0.45,7.5,69.7,3.57,48.18,1.04,31.25,1.53,0.88,7.17,73.76,0,,0,,0,0,0,0,,,0.36,,,0.32,0.03,0,0.81,0,0
A. Temesvári,Paksi SE,Szeged 2011,RCB,23,300000,2024-06-30,21,1864,4,1.59,0,0.33,18.21,69.08,Hungary,Hungary,right,200,73,no,10.86,5.99,70.34,8.47,74.85,0.76,0.95,0.91,5.89,7.34,1.22,4,0.19,0,0,0.91,0.19,4,0.2,0.08,4,0.2,14,0.71,64.29,28.571,0,0,0,0,0,0,0,0,0.56,81.82,1.72,52.94,1.01,0.1,31.3,0.51,0.61,47.23,84.1,21.61,71.36,2.08,97.56,20.45,96.28,39.32,92,7.91,44.87,25.29,44.4,0.02,0.1,0,0,0,0,0.1,6.39,44.44,0.76,6.67,0.51,30,0.25,0,8.02,70.89,0,,0,,0,0,0,0,,,1.72,,,0.05,0.05,100,0,0,0
S. Mezei,Paksi SE,MTK,"LCMF, RCMF",22,300000,2024-06-30,19,1056,0,1.28,1,1.39,19.01,52.47,Hungary,Hungary,left,172,74,no,8.35,7.16,58.33,1.79,42.86,0.43,0.65,0.17,3.75,5.74,1.28,1,0.09,0,0,2.39,0,0,0,0.11,0,0,18,1.53,11.11,0,0.09,1.28,60,0.68,75,0.43,20,0.09,1.28,73.33,5.71,53.73,1.79,1.11,37.84,0.6,2.05,53.78,82.73,22.07,73.75,5.88,92.75,16.96,90.45,47.13,85.9,5.37,60.32,17.63,32.36,0.12,1.36,0.09,0.17,1.45,35.29,0.6,10.65,74.4,4.6,64.81,2.05,29.17,2.64,0.85,11.93,85.71,0,,0,,0,0,0,0,,,0,,,0.77,0.09,0,0.51,0,0
K. Németh,MTK,MTK,CF,34,300000,,33,2690,22,20.88,8,7.28,21.08,36.19,Hungary,Hungary,right,180,72,no,2.38,2.04,52.46,3.91,36.75,0.17,0.24,0.1,1.14,1.64,0.9,6,0.2,1,0.03,3.31,0.74,20,0.67,0.7,3,0.1,97,3.25,45.36,22.68,0.27,0.74,40.91,0.33,40,0.4,41.67,0.2,2.11,61.9,11.07,35.05,6.59,0.87,16.13,1.84,1.74,24.09,76.81,5.59,68.26,6.42,88.54,5.82,77.01,22.45,79.14,0.9,48.15,13.91,16.84,0.24,1.74,0.17,0,0.57,41.18,0.9,2.01,68.33,2.31,66.67,0.5,40,2.41,0.3,2.64,77.22,0,,0,,0,0,0,0,,,0,,,0.03,0.03,0,0,4,50
B. Varju,MTK,MTK,"RB, LB, RCB",22,300000,2024-06-30,31,2476,1,1.45,1,2.33,21.37,59.86,Hungary,Hungary,right,181,77,no,12.1,9.12,65.34,3.56,62.24,0.4,0.54,0.29,5.74,7.77,0.8,3,0.11,0,0,1.82,0.04,1,0.04,0.05,0,0,15,0.55,46.67,6.667,0.04,0.73,30,0.04,100,0.69,26.32,0.15,2.07,61.4,5.31,50,0.8,1.67,29.26,0.98,1.27,46.74,82.74,19.26,70.94,4.58,92.06,17.48,92.52,41.44,86.75,4.58,54.76,18.65,29.74,0.08,0.76,0.11,0,0.4,18.18,0.44,6.76,77.96,1.6,59.09,0.51,21.43,0.84,0.22,10.21,70.46,0,,0,,0,0,0,0,,,0.58,,,0,0,0,0.04,0,0
M. Madarász,Gyirmót,Gyirmót,LCMF,27,300000,,18,1541,3,3.03,0,0.85,14.31,42.86,Hungary,Hungary,both,176,68,no,6.66,4.96,55.29,1.34,43.48,0,0,0.29,3.91,5.06,0.93,2,0.12,0,0,1.99,0.18,3,0.18,0.18,0,0,23,1.34,43.48,13.043,0,1.05,27.78,0.7,25,0.35,33.33,0.18,2.1,44.44,5.61,38.54,2.16,1.69,26.05,0.58,1.23,36.39,83.31,10.86,72.04,7.42,95.28,12.79,88.13,32.41,86.49,2.92,68,17.93,32.63,0.05,0.58,0,0,0.58,30,0.12,5.26,70,2.1,55.56,0.7,33.33,0.64,0.29,5.2,74.16,0,,0,,0,0,0,0,,,0.29,,,0.06,0,0,0.23,0,0
B. Rácz,Szombathelyi Haladás,Szombathelyi Haladás,"AMF, CF, LCMF",27,300000,,31,2743,8,7.61,8,7.45,24.18,46.13,Hungary,Hungary,right,172,65,no,6.92,7.68,58.12,1.41,25.58,0.33,0.42,0.07,2.13,2.71,2.13,6,0.2,0,0,3.87,0.26,3,0.1,0.25,0,0,48,1.57,37.5,16.667,0.26,1.61,42.86,0.82,36,0.75,52.17,0.16,4.07,54.84,11.06,44.51,1.8,1.61,23.56,0.72,2.4,34.42,78.17,13.71,70.33,5.05,94.16,9.97,80.92,30.28,82.77,2.59,45.57,16.92,27.21,0.24,1.84,0.1,0.03,1.28,28.21,0.52,6.04,67.93,3.61,54.55,1.44,31.82,1.67,0.66,5.91,82.22,0,,0,,0,0,0,0,,,0.07,,,1.31,0.16,40,3.31,7,71.429
Z. Nagy,Szeged 2011,MTK,LCB,25,300000,2025-06-30,17,1420,2,3.46,1,0.14,18.25,64.24,Hungary,Hungary,left,186,77,yes,11.73,6.72,76.42,6.85,54.63,0.51,0.75,0.13,6.08,9.03,0.95,1,0.06,0,0,1.08,0.13,2,0.13,0.22,1,0.06,17,1.08,41.18,11.765,0.06,0.57,33.33,0.51,37.5,0.06,0,0,0.38,100,1.77,60.71,1.46,1.77,24.08,0.76,1.33,43.1,81.91,20.73,73.09,1.84,89.66,16.73,89.77,34.48,90.07,8.05,50.39,23.01,35.63,0.01,0.19,0,0.06,0.19,33.33,0.25,8.81,69.78,1.14,16.67,0.63,20,0.38,0.19,10.46,76.97,0,,0,,0,0,0,0,,,0.38,,,0,0,0,0,0,0
