Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Mulraney,St. Patrick's Ath.,St. Patrick's Ath.,"RW, RAMF, LWF",27,600000,2024-11-30,26,1795,6,3.14,4,2.26,19.86,40.91,Republic of Ireland,Republic of Ireland,left,172,64,no,4.01,4.16,44.58,1.96,12.82,0.65,0.99,0,1.5,2.3,1.2,3,0.15,2,0.1,5.77,0.3,6,0.3,0.16,0,0,41,2.06,24.39,14.634,0.2,3.66,32.88,1.05,33.33,2.61,32.69,0.7,6.77,57.78,11.43,48.25,1.55,2.06,16.7,1.6,1.7,23.92,77.36,4.41,62.5,7.22,94.44,8.37,71.86,19.3,87.01,1.05,57.14,19.39,23.41,0.11,0.9,0.05,0.05,0.3,50,0.3,2.56,70.59,3.61,40.28,0.45,22.22,0.45,1.05,3.71,81.08,0,,0,,0,0,0,0,,,0.1,,,1.96,0.35,14.29,3.21,0,0
J. Byrne,Shamrock Rovers,Shamrock Rovers,"AMF, RWF, RCMF",27,500000,2023-11-30,23,1923,4,1.14,5,9.48,12.22,39.85,Republic of Ireland,Republic of Ireland,right,170,67,no,1.78,1.97,47.62,0.8,5.88,0.09,0.15,0,0.75,1.19,0.42,3,0.14,0,0,4.63,0.19,4,0.19,0.05,0,0,22,1.03,54.55,18.182,0.23,3.65,37.18,1.03,22.73,2.57,41.82,0.56,2.57,74.55,8.19,43.43,0.75,2.25,50.73,1.73,0.94,64.17,81.25,21.06,69.33,10.62,97.36,24.01,84.21,52,87.85,8.61,59.78,20.83,43.07,0.44,3.65,0.14,0,1.54,51.52,0.84,13.1,68.93,6.88,48.98,2.53,35.19,1.87,1.4,13.43,86.06,0,,0,,0,0,0,0,,,0.33,,,2.11,0.09,0,6.22,0,0
P. McMullan,Derry City,Derry City,"RAMF, RW",27,500000,,8,696,0,0.76,5,3.9,19.14,52.03,Scotland,Scotland,right,181,70,no,5.3,4.66,61.11,1.42,18.18,0.13,0.2,0,2.33,3.58,0.78,2,0.26,0,0,9.18,0,0,0,0.1,0,0,6,0.78,16.67,0,0.65,6.98,40.74,0.13,0,6.85,41.51,1.42,9.05,65.71,10.99,57.65,1.55,3.49,18.75,2.97,0.91,28.19,69.72,7.37,68.42,4.91,92.11,11.12,68.6,19.53,80.79,2.07,56.25,19.34,28.59,0.5,2.97,0.26,0,0.39,66.67,2.07,2.2,70.59,6.08,55.32,0.26,50,1.55,2.72,7.63,91.53,0,,0,,0,0,0,0,,,0.26,,,0.13,0,0,0.26,0,0
Euclides Cabral,Shelbourne,Shelbourne,RB,24,400000,2025-05-31,3,142,1,0.6,0,0,22.82,33.33,Portugal,"Portugal, Cape Verde Islands",right,178,68,no,10.77,4.44,28.57,1.27,50,0.63,0.91,0,8.87,12.73,2.54,0,0,0,0,5.07,0.63,1,0.63,0.38,0,0,2,1.27,100,50,0,1.9,33.33,0,0,1.9,33.33,0.63,6.34,50,12.68,25,2.54,3.8,29.15,6.97,1.27,40.56,75,13.31,52.38,12.04,94.74,7.61,83.33,37.39,79.66,1.27,0,16.9,14.12,0,0,0,0,0,0,0,2.54,75,3.17,60,0.63,0,1.27,0.63,6.97,63.64,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0,0,0
A. O'Reilly,Derry City,Derry City,"RDMF, RCMF",22,400000,2024-11-30,25,2115,1,1.83,1,1.23,20.43,51.46,Republic of Ireland,Republic of Ireland,right,168,60,no,9.66,6.77,62.89,2.77,47.69,1.02,1.57,0.17,4.38,6.75,1.28,5,0.21,1,0.04,2.04,0.04,1,0.04,0.08,0,0,18,0.77,11.11,5.556,0.04,0.85,25,0.04,0,0.77,27.78,0.13,2.89,58.82,7.66,46.11,0.64,1.62,20.55,0.43,1.49,33.49,82.21,9.02,66.04,6.94,95.09,12.17,87.41,29.66,87.66,2.98,44.29,18.48,32.92,0.05,0.3,0,0,0.17,25,0.13,5.06,68.07,1.11,38.46,0.38,22.22,0.21,0.17,3.96,66.67,0,,0,,0,0,0,0,,,0.89,,,0,0,0,0,0,0
M. Connolly,Derry City,Derry City,RCB,31,350000,2024-11-30,14,832,0,0.55,0,0,13.74,66.93,Republic of Ireland,Republic of Ireland,right,185,77,no,7.14,3.46,75,6.06,64.29,0,0,0.54,4.54,6.77,1.3,2,0.22,0,0,0.43,0,0,0,0.06,0,0,3,0.32,33.33,0,0,0.22,50,0,0,0.22,50,0,0.43,50,1.08,60,0.32,0.54,28.99,0.22,1.19,43.05,84.92,17.63,74.23,3.57,93.94,19.15,93.79,33.32,90.91,9.52,64.77,25.04,36.47,0,0,0.11,0,0,0,0,8,67.57,0.54,40,0.97,44.44,0,0,11.14,75.73,0,,0,,0,0,0,0,,,2.6,,,0,0,0,0,0,0
T. Grivosti,St. Patrick's Ath.,St. Patrick's Ath.,"RCB, LCB",24,300000,2023-11-30,8,511,0,0.22,0,0.43,17.26,52.04,England,England,right,185,81,no,8.98,7.4,61.9,5.46,48.39,0.53,0.78,0.53,3.87,5.69,1.76,2,0.35,0,0,0.7,0,0,0,0.04,0,0,4,0.7,25,0,0,0.88,20,0,0,0.88,20,0,0.53,66.67,2.11,25,0.7,1.23,34.52,0.35,0,52.49,86.91,20.96,75.63,2.82,100,24.48,95.68,44.21,93.23,7.4,57.14,24.68,44.63,0.08,0.18,0,0.18,0,0,0.18,8.28,68.09,1.06,16.67,0.35,0,0.35,0.35,8.81,78,0,,0,,0,0,0,0,,,1.59,,,0,0,0,0,0,0
A. Winbo,Cork City,Cork City,"LCMF, AMF",25,300000,2023-11-30,7,331,0,0.16,0,0.01,16.59,50.82,Sweden,Sweden,left,180,74,no,12.51,9.52,57.14,2.45,55.56,0,0,0.82,7.07,8.3,2.18,0,0,0,0,0.54,0,0,0,0.04,0,0,3,0.82,33.33,0,0,0,0,0,0,0,0,0,0.54,50,1.63,33.33,0.27,0,9.52,0.27,0.54,22.84,77.38,9.24,50,4.89,94.44,5.44,95,19.31,81.69,3.53,53.85,18.41,25.18,0,0.27,0,0,0.27,0,0,4.62,35.29,0.54,0,0,0,0,0,3.81,50,0,,0,,0,0,0,0,,,0.54,,,1.36,0.27,100,1.63,0,0
E. Doyle,St. Patrick's Ath.,St. Patrick's Ath.,CF,35,300000,2024-11-30,21,1105,4,4.1,1,0.93,25.09,33.12,Republic of Ireland,Republic of Ireland,left,182,73,no,4.72,3.67,51.11,7.17,28.41,0.49,0.69,0.08,2.36,3.33,1.63,2,0.16,1,0.08,2.61,0.33,3,0.24,0.33,0,0,21,1.71,42.86,19.048,0.08,1.79,31.82,0.73,22.22,1.06,38.46,0,2.77,47.06,7.82,28.13,3.26,0.33,7.9,2.28,0.57,13.85,59.41,3.67,55.56,3.1,71.05,4.56,60.71,11.4,64.29,0.73,55.56,16.72,9.16,0.08,0.49,0,0,0,0,0.41,1.71,38.1,1.14,28.57,0,0,0.33,0.49,2.28,64.29,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
A. Kravchuk,Cork City,Cork City,"LDMF, LCMF",24,300000,2023-12-31,3,291,0,0.22,0,0.52,13.61,34.09,Ukraine,Ukraine,left,187,77,no,5.26,5.57,38.89,2.16,28.57,0,0,0.31,3.09,3.7,1.86,0,0,0,0,1.86,0,0,0,0.07,0,0,4,1.24,50,0,0,0.31,100,0.31,100,0,0,0.31,1.55,40,4.33,28.57,0,0.93,20.72,0,1.24,33.4,88.89,10.52,82.35,6.19,100,11.13,86.11,30.62,90.91,2.47,62.5,17.49,26.56,0.16,0.93,0,0,0.31,100,0.62,3.4,81.82,0.62,100,0.31,100,0.31,0.31,4.33,64.29,0,,0,,0,0,0,0,,,0,,,0.31,0.31,0,0,0,0
