Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Tahirovic,Roma,Roma U19,LCMF,20,1000000,2026-06-30,9,672,0,0.93,1,0.65,17.01,47.24,Sweden,"Sweden, Bosnia and Herzegovina",right,0,0,no,5.49,4.82,55.56,0.8,83.33,0.54,0.85,0.27,2.28,3.62,1.74,2,0.27,0,0,2.41,0,0,0,0.12,0,0,20,2.68,45,0,0.13,1.21,0,0.67,0,0.54,0,0.27,2.81,33.33,8.84,42.42,1.88,1.34,43.26,0.54,1.88,55.85,87.53,15.13,75.22,9.78,94.52,23.57,92.61,48.75,91.21,5.89,75,20.44,42.12,0.09,1.07,0,0.13,0.8,33.33,0.27,9.24,76.81,2.14,62.5,0.54,25,1.34,0,8.44,79.37,0,,0,,0,0,0,0,,,0.4,,,0,0,0,0.54,0,0
F. Nzouango,Juventus Next Gen,Juventus U19,"LCB, RCB",20,800000,,4,383,0,0.08,0,0,14.8,71.43,France,"France, Cameroon",right,188,74,no,11.04,5.87,80,4.7,65,0.23,0.36,0.94,6.11,9.4,0,0,0,0,0,0.7,0,0,0,0.02,0,0,1,0.23,100,0,0,0.23,0,0.23,0,0,0,0.23,0.47,100,1.17,100,0.7,0.94,43.94,0.47,0.47,64.62,90.18,30.08,87.5,2.58,100,24.2,95.15,58.75,93.6,5.64,58.33,19.75,43.12,0,0,0,0,0,0,0,6.11,84.62,0,0,0.23,100,0,0,11.28,70.83,0,,0,,0,0,0,0,,,1.88,,,0,0,0,0,0,0
F. Paoletti,Sampdoria,Sampdoria U19,"CB, RCMF",20,800000,2024-06-30,13,1261,0,1.39,0,1.93,13.28,50,Italy,Italy,right,182,74,no,8.71,6.49,59.34,1.71,66.67,0.21,0.28,0.5,4.64,6.07,0.93,4,0.29,0,0,1.57,0,0,0,0.1,0,0,17,1.21,23.53,0,0,0.93,38.46,0.21,33.33,0.71,40,0.29,1.14,62.5,3,35.71,0.29,1.64,28.62,0.21,0.93,45.96,83.85,18.34,69.65,2.78,100,20.98,94.22,34.62,92.99,10.42,57.53,25.12,44.13,0.14,1.14,0,0,0.29,75,0.36,9.56,64.18,2.64,45.95,1.28,38.89,0.79,0.43,10.49,80.27,0,,0,,0,0,0,0,,,0.71,,,1.57,0.36,60,2,1,0
W. Amey,Bologna U19,Bologna U19,"RCB, LCB",17,700000,2025-06-30,16,1150,1,0.47,0,0,19.25,56.5,Italy,"Italy, Ghana",right,187,75,no,9.86,6.18,62.03,5.71,65.75,0.63,0.9,0.47,5.4,7.72,1.1,5,0.39,0,0,0.47,0.08,1,0.08,0.04,1,0.08,5,0.39,40,20,0,0.23,66.67,0,0,0.23,66.67,0,0.7,22.22,3.83,40.82,0.31,0.86,31.15,0.63,1.41,48.6,86.8,18.47,75,4.15,92.45,20.97,96.64,43.28,90.6,5.09,55.38,22.14,33.14,0,0,0,0,0,0,0,5.32,64.71,0.7,33.33,0.55,28.57,0,0.16,8.92,68.42,0,,0,,0,0,0,0,,,2.66,,,0,0,0,0,0,0
C. Kourfalidis,Cagliari,Cagliari U19,"RCMF, LCMF",20,700000,2026-06-30,5,375,2,0.4,0,0.26,25.2,54.29,Greece,Greece,right,178,66,no,10.56,9.36,69.23,2.4,90,0.24,0.31,0,3.84,4.95,1.68,0,0,0,0,2.64,0.48,2,0.48,0.1,0,0,3,0.72,66.67,66.667,0,1.2,60,0.24,100,0.96,50,0.24,2.4,50,8.4,37.14,0.96,1.68,17.52,0.96,1.2,33.12,75.36,12,68,4.8,90,12,72,26.4,81.82,5.76,50,20.04,33.28,0.06,0.96,0,0,0.48,50,0.24,5.28,59.09,2.64,27.27,0.48,50,0.24,0.48,5.52,56.52,0,,0,,0,0,0,0,,,0.24,,,0,0,0,0,0,0
T. Muharemovi?,Juventus Next Gen,Juventus U19,LCB,20,700000,2025-06-30,5,358,0,0.01,0,0,14.08,76.79,Slovenia,"Slovenia, Bosnia and Herzegovina",left,187,79,no,12.07,7.54,76.67,2.26,88.89,0.75,1.03,1.26,5.53,7.59,0.5,1,0.25,0,0,0.5,0,0,0,0,0,0,1,0.25,0,0,0,0.25,0,0.25,0,0,0,0.25,0.5,100,2.01,75,0.25,1.01,41.23,0.25,0.75,58.83,88.03,27.4,81.65,1.26,100,27.65,93.64,51.28,94.12,7.29,48.28,24.23,44.12,0,0.25,0,0,0,0,0,7.54,80,0.5,0,0,0,0,0,14.33,73.68,0,,0,,0,0,0,0,,,0.75,,,0,0,0,0,0,0
T. Segovia,Deportivo Lara,Sampdoria U19,"LCMF, RCMF, AMF",20,700000,2023-12-31,13,1019,1,0.51,2,1.2,25.97,41.5,Venezuela,Venezuela,right,179,65,no,8.13,9.72,50,2.03,34.78,0.62,0.72,0.18,2.65,3.1,2.56,1,0.09,0,0,3.18,0.09,1,0.09,0.05,0,0,11,0.97,27.27,9.091,0.18,1.06,58.33,0.09,100,0.97,54.55,0.09,3.53,47.5,11.04,33.6,1.15,2.47,26.41,1.85,0.53,39.3,83.6,12.19,71.01,5.39,90.16,13.95,89.24,34.71,86.26,3.53,65,18.65,35.86,0.11,1.32,0.09,0,0.88,70,0.26,6.54,74.32,2.38,55.56,1.15,46.15,0.88,0.79,6.71,77.63,0,,0,,0,0,0,0,,,0.44,,,0.18,0.09,0,0.44,0,0
A. Raimondo,Ternana,Bologna U19,CF,19,700000,2027-06-30,30,2485,14,18.76,3,1.46,20.39,31.97,Italy,Italy,left,185,75,yes,3.15,3.33,53.26,3.51,34.02,0.22,0.33,0.11,1.16,1.75,1.59,6,0.22,0,0,3.01,0.51,11,0.4,0.68,1,0.04,114,4.13,38.6,12.281,0.11,1.01,17.86,0.69,21.05,0.29,12.5,0.04,3.3,35.16,9.81,24.72,6.16,1.05,11.3,2.72,0.87,15.21,70.95,2.35,50.77,4.96,91.97,4.27,61.86,13.8,76.12,0.43,25,15.3,9.78,0.05,0.54,0.04,0,0.18,40,0.25,0.83,39.13,1.23,47.06,0.18,40,0.65,0.18,0.58,50,0,,0,,0,0,0,0,,,0,,,0.07,0.07,0,0,4,75
N. Pyyhtiä,Bologna U19,Bologna U19,"RCMF, LCMF, RW",19,500000,2024-06-30,18,1604,2,1.96,4,3.15,18.24,45.23,Finland,Finland,left,186,76,no,8.42,6.23,59.46,3.14,58.93,0.5,0.71,0.17,4.21,5.94,1.23,1,0.06,0,0,2.02,0.11,2,0.11,0.11,0,0,32,1.8,40.63,6.25,0.22,1.12,40,0.62,45.45,0.5,33.33,0,1.63,51.72,6.17,30.91,1.68,0.62,24.41,0.95,0.56,37.26,80.87,12.23,68.81,7.13,93.7,12.01,85.05,32.71,86.11,3.42,44.26,18.64,35.79,0.18,1.63,0,0,0.28,0,0.22,6.96,62.9,2.13,47.37,0.73,7.69,1.01,0.5,7.69,75.18,0,,0,,0,0,0,0,,,0.73,,,0.67,0.22,25,2.02,0,0
D. Degli Innocenti,Lecco,Empoli U19,"DMF, RCMF, LCMF",20,500000,,14,1060,3,2.88,0,0.37,12.91,54.61,Italy,Italy,right,180,71,yes,8.49,5.18,67.21,1.78,52.38,0.51,0.55,0.34,4.5,4.89,0.59,1,0.08,0,0,1.44,0.25,1,0.08,0.24,0,0,14,1.19,50,21.429,0,0.59,28.57,0.08,0,0.51,33.33,0.08,1.95,30.43,4.58,42.59,0,0.25,26.58,0.08,1.44,40.75,84.17,12.31,63.45,6.71,97.47,16.13,93.68,34.05,90.27,6.11,55.56,21.57,42.97,0.03,0.59,0,0.17,0.08,100,0.17,6.79,65,1.27,40,0.85,50,0.51,0.17,5.6,74.24,0,,0,,0,0,0,0,,,0.51,,,1.78,0.42,80,2.46,3,66.667
