Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
W. Cheddira,Frosinone,Bari,CF,25,8000000,2025-06-30,35,3056,17,19.6,4,3,24.97,35.97,Italy,"Italy, Morocco",right,186,79,no,3.45,3.74,55.12,4.89,36.14,0.09,0.12,0.09,1.3,1.82,1.3,3,0.09,1,0.03,3.53,0.5,12,0.35,0.58,4,0.12,92,2.71,48.91,18.478,0.12,0.68,30.43,0.24,12.5,0.41,42.86,0.09,4.01,47.06,11.87,33,4.33,1.8,12.99,2.18,1.77,16.43,74.73,2.86,59.79,4.33,87.07,5.39,75.41,15.26,77.03,0.59,55,15.33,14.13,0.09,0.97,0.15,0,0.32,36.36,0.44,1.03,77.14,0.74,52,0.24,50,0.74,0.18,1.21,60.98,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0,7,71.429
G. Fabbian,Reggina,Reggina,RCMF,20,6000000,2026-06-30,37,3174,8,6.67,1,0.99,20.95,41.68,Italy,Italy,right,186,68,yes,6.24,5.19,53.55,6.35,36.16,0.37,0.54,0.17,3.09,4.52,1.59,8,0.23,1,0.03,1.3,0.23,8,0.23,0.19,4,0.11,39,1.11,51.28,20.513,0.03,0.37,23.08,0.06,50,0.31,18.18,0.03,1.11,53.85,5.3,40.11,1.79,0.54,9.78,0.71,1.64,16.16,73.33,5.95,61.9,2.69,91.58,4.17,76.19,14.29,77.58,1.53,46.3,16.3,23.81,0.03,0.26,0.03,0,0.17,33.33,0.09,2.27,56.25,0.45,62.5,0.26,22.22,0.48,0.03,2.24,51.9,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Adrián Bernabé,Parma,Parma,"RDMF, RCMF, DMF",22,6000000,2026-06-30,31,2408,1,2.35,2,1.83,19.29,53.68,Spain,Spain,left,170,66,no,7.77,6.62,62.71,1.72,34.78,0.86,1.26,0.15,2.77,4.05,1.12,6,0.22,0,0,3.81,0.04,1,0.04,0.09,0,0,50,1.87,22,2,0.07,1.5,32.5,0.22,50,1.27,29.41,0.26,4.26,64.04,8.93,52.3,0.93,2.13,37.38,0.22,1.98,49.07,87.28,14.69,81.17,6.09,95.71,20.18,89.26,44.07,90.5,3.55,69.47,18.18,36.18,0.07,0.64,0,0.04,0.45,41.67,0.3,7.55,82.67,3.29,48.86,0.93,32,1.2,0.45,6.58,85.8,0,,0,,0,0,0,0,,,0.15,,,0.78,0.3,12.5,0.64,0,0
J. Oosterwolde,Fenerbahçe,Parma,LB,22,5500000,2027-06-30,18,1648,1,0.35,0,0.76,17.15,54.14,Netherlands,"Netherlands, Suriname",left,189,74,no,8.68,6.55,63.33,1.8,45.45,0.71,1.08,0.05,3.82,5.8,1.04,5,0.27,1,0.05,3.88,0.05,1,0.05,0.02,0,0,6,0.33,50,16.667,0,4.1,26.67,4.04,25.68,0.05,100,0.27,3.71,67.65,6.12,50,0.76,2.79,25.94,1.75,0.44,39.05,79.16,14.96,75.18,5.84,95.33,11.2,79.02,30.15,90.76,4.92,51.11,21.27,34.36,0.04,0.71,0,0,0.11,100,0.44,5.41,62.63,3.39,46.77,0.44,50,0.44,1.04,7.04,84.5,0,,0,,0,0,0,0,,,1.04,,,0.16,0,0,0.11,0,0
R. Dr?gu?in,Genoa,Genoa,LCB,21,5000000,2025-06-30,38,3683,4,2.59,0,0.83,14.91,62.3,Romania,Romania,right,191,82,yes,8.14,5.6,72.93,4.79,62.24,0.05,0.08,0.51,4.01,6.5,0.88,3,0.07,0,0,0.34,0.1,4,0.1,0.06,4,0.1,17,0.42,41.18,23.529,0,0.05,50,0.05,50,0,0,0,0.27,45.45,1.27,36.54,0.68,0.66,30.2,0.44,1.05,43.59,86.77,16.96,74.64,2.79,96.49,19.57,96.13,39.54,91.53,4.03,40,19.96,37.21,0.02,0.1,0.05,0,0.05,50,0.05,4.45,57.69,0.49,20,0.39,12.5,0.17,0.02,5.84,59.83,0,,0,,0,0,0,0,,,1.76,,,0,0,0,0,0,0
N. Nández,Cagliari,Cagliari,"RCMF, RAMF",27,5000000,2024-06-30,37,3096,0,2.6,6,7.12,21.69,48.12,Uruguay,"Uruguay, Italy",right,172,70,no,6.89,6.48,57.85,3.08,43.4,0.99,1.51,0.06,2.15,3.29,1.22,9,0.26,0,0,5.06,0,0,0,0.08,0,0,32,0.93,25,0,0.17,5.15,38.98,0.23,0,4.88,40.48,0.76,4.45,58.82,9.48,46.93,2.35,2.56,26.95,2.24,2.06,37.76,73.36,11.25,65.37,5.87,87.13,13.46,75.16,28.14,82.95,4.65,52.5,19.94,35.85,0.21,1.4,0.06,0,0.52,38.89,1.05,5.47,64.89,4.91,45.56,1.05,38.89,0.84,2.12,7.59,77.39,0,,0,,0,0,0,0,,,0.12,,,0.12,0,0,0.76,0,0
G. Busio,Venezia,Venezia,"DMF, LCMF",21,5000000,2025-06-30,28,1492,0,0.64,0,1.6,15.8,51.91,United States,"United States, Italy",right,172,65,no,10.98,7.6,60.32,2.77,47.83,0.24,0.34,0.48,6.15,8.77,1.15,2,0.12,0,0,0.78,0,0,0,0.04,0,0,14,0.84,14.29,0,0,0.78,30.77,0.42,14.29,0.36,50,0.12,0.78,53.85,2.96,46.94,0.72,1.21,35.23,0.72,1.15,48.5,89.18,10.62,76.7,9.77,96.91,20.93,93.37,43.67,92.82,4.04,61.19,18.72,25.5,0.1,0.54,0.06,0,0.24,0,0.18,5.73,82.11,1.09,61.11,0.36,16.67,0.54,0.24,4.89,71.6,0,,0,,0,0,0,0,,,0.9,,,0.54,0.12,0,0.6,0,0
O. Moru?an,Ankaragücü,Pisa,AMF,24,5000000,2026-06-30,35,2518,6,4.23,7,6.35,26.63,45.64,Romania,Romania,left,172,71,no,4.61,5.43,52.63,1.07,36.67,0.07,0.11,0.04,1.68,2.58,1,5,0.18,0,0,6.76,0.21,5,0.18,0.15,0,0,60,2.14,41.67,10,0.25,3.68,42.72,0.71,45,2.9,40.74,0.61,7.29,54.9,17.16,43.96,2.68,3.22,17.3,1.11,2.25,28.24,72.66,7.22,62.87,4.22,91.53,11.37,74.21,21.02,82.14,3.72,47.12,19.82,34.06,0.23,1.68,0.11,0.07,0.64,44.44,0.86,5,63.57,4.65,48.46,1.57,29.55,1.32,1.61,4.97,84.89,0,,0,,0,0,0,0,,,0,,,0.93,0.11,100,1.93,1,100
S. Mulattieri,Internazionale,Frosinone,CF,22,4500000,,29,1611,12,7.32,4,1.01,26.31,28.66,Italy,Italy,right,183,77,no,2.91,2.85,60.78,7.71,22.46,0,0,0.06,1.17,1.69,1.62,3,0.17,0,0,3.07,0.67,12,0.67,0.41,2,0.11,41,2.29,51.22,29.268,0.22,0.06,100,0.06,100,0,0,0,2.91,57.69,11.68,26.32,3.69,1.68,10.34,2.18,0.78,15.08,81.85,2.4,60.47,4.19,85.33,4.53,92.59,14.69,81.75,0.34,83.33,14.16,7.53,0.06,0.61,0.06,0,0.17,100,0.34,1.45,76.92,0.5,77.78,0.17,100,0.73,0.06,1.12,65,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Brunori,Palermo,Palermo,CF,28,4500000,2026-06-30,36,3218,17,18.82,4,3.02,18.96,35.99,Brazil,"Brazil, Italy",right,180,78,no,2.49,1.99,43.66,3.64,33.85,0.06,0.08,0.11,1.57,2.14,0.98,5,0.14,0,0,3.44,0.48,13,0.36,0.53,3,0.08,95,2.66,43.16,17.895,0.11,1.12,32.5,0.67,33.33,0.39,28.57,0.28,4.06,45.52,9.31,40.24,4.08,1.15,8.59,1.45,1.82,12.11,66.97,2.1,53.33,2.63,90.43,4.45,64.78,10.12,74.03,0.89,28.13,17.92,26.92,0.08,0.53,0.03,0,0.28,30,0.36,0.87,54.84,0.95,44.12,0.34,25,0.53,0.34,1.15,68.29,0,,0,,0,0,0,0,,,0,,,0.06,0.06,0,0,8,50
S. Hefti,Genoa,Genoa,"RB, RWB",25,4200000,2025-06-30,26,1778,1,0.6,0,0.7,17.36,52.77,Switzerland,Switzerland,right,182,80,no,10.43,9.42,61.29,1.57,32.26,0.46,0.75,0.25,4.2,6.9,1.37,6,0.3,0,0,1.62,0.05,1,0.05,0.03,0,0,4,0.2,50,25,0,2.02,22.5,0.1,50,1.87,21.62,0.1,1.92,55.26,4.05,42.5,1.06,1.11,28.09,1.11,0.15,40.09,80.68,14.83,72.01,7.69,96.71,9.21,80.77,34.37,87.33,3.85,48.68,17.68,24.59,0.04,0.46,0,0,0.2,0,0.4,4.71,67.74,2.13,38.1,0.35,0,0.51,0.4,7.24,72.03,0,,0,,0,0,0,0,,,0.71,,,0,0,0,0,0,0
