Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Palmiero,Pescara,Pescara,DMF,27,800000,2024-06-30,33,1796,0,0.47,2,2.05,21.35,48.36,Italy,Italy,right,177,69,no,10.17,8.97,51.4,1.75,42.86,0.2,0.32,0.2,5.36,8.58,2.26,7,0.35,0,0,2.41,0,0,0,0.02,0,0,9,0.45,0,0,0.1,1.3,46.15,0.45,66.67,0.8,37.5,0.2,2.15,53.49,7.62,48.68,0.35,1.35,40.84,0.15,2.05,63.14,83.57,23.7,70.82,5.56,93.69,25.61,92.37,53.52,88.67,8.37,56.29,20.84,32.46,0.1,1.2,0.05,0,1.1,59.09,0.5,13.83,73.55,4.06,46.91,2.91,41.38,1.55,0.6,12.68,82.21,0,,0,,0,0,0,0,,,0.4,,,1,0.15,0,1.25,0,0
J. Vandeputte,Catanzaro,Catanzaro,"LWB, RWB",27,700000,2025-06-30,36,3275,11,5.43,18,15.11,18.8,50.15,Belgium,Belgium,right,174,70,no,7.75,6.93,57.54,1.54,41.07,0.19,0.31,0.05,3.57,5.7,1.35,5,0.14,0,0,5.99,0.3,11,0.3,0.15,1,0.03,74,2.03,44.59,14.865,0.49,4.92,40.22,3.33,38.84,1.51,43.64,0.74,4.73,62.21,7.75,52.13,3.27,2.39,31.08,2.5,0.91,42.6,71.94,11.29,57.18,7.2,88.17,16.71,75.99,32.04,81.65,5.85,46.01,20.54,38.18,0.42,2.83,0.27,0.08,0.47,35.29,0.96,4.97,51.93,5,43.96,1.02,27.03,1.18,1.81,8.52,75.48,0,,0,,0,0,0,0,,,0.58,,,2.12,0.25,11.11,4.62,0,0
N. Dalmonte,Vicenza,Vicenza,"RWB, RAMF, RWF",25,700000,2024-06-30,37,3176,9,5.05,6,4.3,22.27,46.69,Italy,Italy,right,169,74,no,6.97,5.7,64.18,1.67,28.81,0.17,0.27,0.06,3.15,5.02,0.94,4,0.11,0,0,6.12,0.26,9,0.26,0.14,2,0.06,70,1.98,38.57,12.857,0.17,4.62,31.29,1.3,26.09,3.32,33.33,0.88,6.4,57.52,12.75,42.22,2.92,2.72,24.6,2.64,1.25,35.76,72.03,10.91,63.12,6.55,93.07,11.68,70.63,27.88,80.69,3.54,53.6,19.12,33.65,0.12,0.91,0.03,0.09,0.79,28.57,0.51,4.22,61.07,4.59,40.74,0.74,34.62,1.08,1.53,7.42,79.01,0,,0,,0,0,0,0,,,0.31,,,0.17,0,0,0.31,0,0
E. Brignola,Benevento,Catanzaro,"RWB, RCMF, RW",23,700000,,15,718,2,1.58,2,1.36,23.57,39.36,Italy,Italy,left,168,72,no,5.89,6.64,56.6,0.88,28.57,0.13,0.21,0,2.01,3.4,1.25,2,0.25,0,0,4.89,0.25,2,0.25,0.2,0,0,14,1.75,21.43,14.286,0.25,2.38,36.84,0.13,100,2.13,29.41,0.25,6.02,52.08,13.54,36.11,2.88,3.26,27.33,1,0.75,35.1,80.36,8.77,71.43,8.02,90.63,11.03,81.82,30.21,87.14,2.51,40,16.79,25.25,0.17,0.75,0,0,0.75,66.67,0.63,2.88,78.26,2.51,50,1.13,55.56,1.13,0.88,5.01,72.5,0,,0,,0,0,0,0,,,0.63,,,0.25,0.13,0,0.63,0,0
M. Carraro,Atalanta,Crotone,"DMF, LCMF, LDMF",25,650000,,26,1391,1,0.63,1,0.38,17.15,48.3,Italy,Italy,left,187,74,no,9.19,6.41,50.51,3.43,62.26,0.65,0.97,0.19,5.31,7.96,2.01,4,0.26,0,0,0.58,0.06,1,0.06,0.04,0,0,12,0.78,16.67,8.333,0.06,0.26,25,0.13,50,0.13,0,0,0.91,35.71,3.75,32.76,0.39,0.78,29.37,0.19,1.36,44.06,85.9,14.17,69.41,4.34,97.01,19.67,94.74,38.89,90.02,4.92,56.58,18.35,24.02,0.02,0.32,0,0.06,0.06,100,0.06,7.96,75.61,1.04,25,0.45,42.86,0.13,0.06,6.08,70.21,0,,0,,0,0,0,0,,,0.39,,,0,0,0,0,0,0
M. Devetak,Viterbese,Viterbese,"LB, LWB",24,600000,2025-06-30,17,1608,1,0.8,1,1.29,16.96,56.77,Serbia,"Serbia, Croatia",left,184,78,yes,10.63,8.79,64.97,2.52,51.11,0,0,0.62,4.93,6.1,1.12,2,0.11,0,0,1.46,0.06,1,0.06,0.05,0,0,7,0.39,28.57,14.286,0.06,2.24,27.5,2.18,28.21,0,0,0.39,1.18,61.9,3.47,48.39,0.5,1.01,19.87,1.23,0.95,31.23,69.89,14.89,58.27,3.97,94.37,8,78.32,21.72,80.41,7.44,50.38,21.27,32.58,0.07,0.5,0,0,0.06,0,0.39,5.43,56.7,2.29,36.59,0.34,16.67,0.39,0.73,8.68,65.16,0,,0,,0,0,0,0,,,0.34,,,0,0,0,0,0,0
A. Plizzari,Pescara,Pescara,GK,23,600000,2025-06-30,35,3233,0,0,0,0,0.72,80.77,Italy,Italy,right,187,73,no,1.64,0.06,0,0.5,88.89,0.06,0.09,0,1.59,2.43,0.03,2,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,66.67,0,0,8.69,0.03,0.19,15.28,85.25,7.21,70.66,0,0,7.24,98.08,10.55,98.68,4.73,55.29,31.28,47.7,0,0,0,0,0,0,0,1.42,43.14,0.11,0,0.11,25,0.03,0,3.45,70.97,36,1,121,3.37,10,70.25,31.74,0.88,-4.26,-0.119,0,1.5,0.5,,,,0,0,0
F. Ferrari,Vicenza,Vicenza,CF,27,600000,2025-06-30,39,3494,19,12.25,3,4.63,30.68,34.17,Argentina,"Argentina, Italy",right,193,85,no,4.2,4.02,49.36,4.3,30.54,0.36,0.58,0.15,1.85,2.99,2.88,14,0.36,0,0,3.61,0.49,19,0.49,0.32,7,0.18,99,2.55,41.41,19.192,0.08,0.49,26.32,0.23,33.33,0.21,25,0.13,4.12,48.75,14.73,31.99,3.66,0.62,9.81,1.24,2.27,16.87,68.24,5.38,52.15,3.01,81.2,4.66,78.45,15.09,71.67,1.29,44,15.78,25.66,0.12,0.98,0.08,0.03,0.77,53.33,0.49,2.58,56,1.73,61.19,0.85,48.48,1.44,0.13,2.11,73.17,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0,0,0
A. Kargbo,Crotone,Crotone,"LWF, LW",23,600000,,31,1639,3,3.81,4,1.88,24.33,39.73,Sierra Leone,Sierra Leone,right,172,68,no,5.27,5.66,56.31,1.26,21.74,0.05,0.08,0,2.03,3.1,1.98,4,0.22,0,0,5.16,0.16,3,0.16,0.21,1,0.05,36,1.98,27.78,8.333,0.22,3.13,33.33,2.8,33.33,0.33,33.33,0.33,7.52,45.99,14.06,39.84,3.95,3.9,16.25,1.32,2.14,22.18,67.57,5.93,60.19,3.4,83.87,7.8,68.31,18.07,74.47,1.15,42.86,18.54,21.1,0.1,1.15,0.05,0,0.44,25,0.49,2.09,65.79,3.46,52.38,0.38,0,1.21,0.99,4.34,88.61,0,,0,,0,0,0,0,,,0,,,0,0,0,0.11,0,0
M. Bortolussi,Padova,Padova,CF,27,500000,2025-06-30,40,3519,9,14.61,3,2.86,25.73,37.28,Italy,Italy,right,188,80,no,2.79,1.46,66.67,11.23,38.72,0.2,0.29,0.18,1.61,2.31,0.95,1,0.03,0,0,2.56,0.23,8,0.2,0.37,2,0.05,108,2.76,48.15,8.333,0.08,1,25.64,0.36,21.43,0.59,26.09,0.1,1.79,52.86,7.6,36.36,5.6,0.77,12.79,3.4,2.17,17.31,69.28,3.94,55.84,4.37,81.87,4.83,63.49,15.93,72.71,0.41,37.5,14.54,12.8,0.07,0.61,0.03,0.03,0.15,16.67,0.33,1.53,60,1.02,47.5,0.13,20,1,0.26,1.38,72.22,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0.03,1,100
H. Rafia,Pescara,Pescara,"RCMF, AMF, LW",24,500000,2025-06-30,32,2276,3,3.21,9,6.1,35.63,46.61,Tunisia,"Tunisia, France",right,181,75,no,9.33,8.86,62.5,2.06,40.38,0.51,0.79,0.08,3.28,5.07,2.33,9,0.36,0,0,7.08,0.12,1,0.04,0.13,0,0,28,1.11,53.57,10.714,0.36,4.23,36.45,1.46,37.84,2.69,36.76,0.79,8.7,50.91,20.4,42.25,1.9,2.33,30.21,1.11,2.53,46.82,75.42,15.3,63.57,7.2,92.86,16.17,79.95,38.4,82.9,4.35,45.45,18.5,34.07,0.24,1.78,0.08,0.04,1.23,41.94,1.03,7.83,61.11,6.17,49.36,1.86,40.43,1.82,1.7,8.78,79.73,0,,0,,0,0,0,0,,,0,,,0,0,0,0.63,2,100
R. Zammarini,Pordenone,Pordenone,"AMF, RB, LCMF",26,500000,2024-06-30,39,3484,1,3.44,4,4.69,16.22,49.68,Italy,Italy,right,180,73,no,7.93,6.35,60.16,2.63,41.18,0.65,0.9,0.15,3.46,4.85,0.98,4,0.1,0,0,3.02,0.03,1,0.03,0.09,0,0,47,1.21,27.66,2.128,0.1,2.84,38.18,0.65,40,2.12,37.8,0.41,2.38,56.52,4.47,49.13,1.86,1.89,24.08,1.27,1.14,37.15,77.68,13.46,66.41,4.78,93.51,13.17,85.49,29.66,84.93,4.8,54.3,18.51,31.52,0.12,1.21,0.03,0.03,0.36,71.43,0.62,6.82,70.45,3.75,56.55,0.54,42.86,1.21,1.08,8.71,85.46,0,,0,,0,0,0,0,,,0.36,,,0,0,0,0.13,0,0
S. Breza,Yverdon Sport,Carrarese,GK,25,500000,2024-06-30,15,1465,0,0,0,0,0.86,78.57,Canada,"Canada, Norway",right,196,87,yes,1.35,0,0,0.68,81.82,0,0,0,1.35,1.98,0,2,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,7.92,0.06,0.18,14.62,88.66,9.52,84.52,0,0,4.05,96.97,9.34,96.71,5.28,74.42,30.43,43.63,0,0,0,0,0,0,0,1.54,76,0.06,0,0.06,0,0,0,4.55,81.08,11,0.68,40,2.46,6,72.5,13.91,0.85,2.91,0.179,0,1.66,0.68,,,,0,0,0
G. Cuomo,Crotone,Crotone,"LCB, RCB",25,500000,2024-06-30,28,2606,1,1.66,0,0.21,16.23,60.43,Italy,Italy,right,190,79,no,8.67,5.87,62.35,5.42,58.6,0.45,0.67,0.83,4.56,6.78,1.69,7,0.24,1,0.03,0.35,0.03,1,0.03,0.06,1,0.03,10,0.35,40,10,0,0.14,25,0.07,50,0.07,0,0,0.35,50,1.69,53.06,0.59,1.11,28.63,0.45,0.83,45.69,87.6,17.92,76.11,2.24,95.38,21.14,96.08,40.41,92.22,5.15,53.02,20.8,37.27,0.01,0.1,0,0,0,0,0.03,5.7,66.67,0.45,23.08,0.24,0,0.07,0.03,6.25,67.96,0,,0,,0,0,0,0,,,1,,,0,0,0,0,0,0
T. Awua,Pro Vercelli,Crotone,RCMF,25,500000,,29,1737,2,0.97,2,0.89,16.58,47.19,Nigeria,"Nigeria, Italy",right,171,69,no,6.94,6.89,53.38,1.61,54.84,0.16,0.22,0.05,3.11,4.5,2.18,4,0.21,0,0,1.71,0.1,2,0.1,0.05,1,0.05,11,0.57,18.18,18.182,0.1,0.88,29.41,0.1,50,0.78,26.67,0,2.18,61.9,5.7,40,0.88,1.19,21.3,0.16,0.57,35.91,83.12,9.95,72.92,5.34,92.23,13.99,88.15,32.75,87.34,2.33,42.22,16.93,23.43,0.05,0.88,0,0.05,0,0,0.21,3.89,70.67,1.14,50,0.05,0,0.41,0.26,3.73,66.67,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,0,0
F. Lescano,Pescara,Pescara,CF,26,450000,2024-06-30,38,2582,20,18.83,5,2.52,18.54,31.77,Argentina,"Argentina, Italy",right,187,82,no,2.86,2.16,59.68,6.73,35.75,0.21,0.31,0.14,1.36,2.04,0.98,3,0.1,1,0.03,2.16,0.7,15,0.52,0.66,4,0.14,102,3.56,33.33,19.608,0.17,0.56,50,0.21,50,0.35,50,0.07,1.12,40.63,6.07,22.41,4.53,0.14,13.32,2.09,0.77,17.92,68.68,5.19,57.05,3.28,85.11,5.61,67.7,15.96,71.83,1.46,40.48,16.07,23.48,0.09,0.66,0.03,0,0.52,46.67,0.24,2.3,63.64,1.36,46.15,0.73,38.1,0.87,0.21,1.99,63.16,0,,0,,0,0,0,0,,,0,,,0.1,0.1,0,0,7,71.429
L. Cuppone,Pescara,Pescara,"AMF, RWF, CF",25,450000,2024-06-30,40,2539,8,9.62,2,2.02,22.37,39.46,Italy,Italy,right,178,75,yes,4.86,4.71,54.89,2.41,27.94,0.04,0.05,0.04,2.23,3.38,1.56,4,0.14,0,0,3.93,0.28,8,0.28,0.34,2,0.07,95,3.37,28.42,8.421,0.07,2.23,20.63,0.53,13.33,1.7,22.92,0.28,5,47.52,11.02,40.51,4.36,2.52,18.61,2.62,2.45,21.34,66.45,5.71,57.14,4.64,86.26,6.31,64.61,18.11,73.39,1.06,43.33,15.98,19.23,0.07,0.5,0,0.04,0.39,36.36,0.14,1.7,58.33,2.02,35.09,0.46,23.08,0.57,0.57,2.8,65.82,0,,0,,0,0,0,0,,,0,,,0,0,0,0.04,0,0
C. Capone,Atalanta,Reggiana,"CF, LWF",24,450000,2024-06-30,11,414,0,0.39,0,0.85,15.22,31.43,Italy,Italy,right,180,80,no,3.26,3.04,50,3.48,12.5,0,0,0,1.74,2.45,1.09,3,0.65,0,0,1.3,0,0,0,0.08,0,0,6,1.3,16.67,0,0,0,0,0,0,0,0,0,1.96,44.44,6.3,31.03,2.17,2.61,20.22,1.74,0.65,25.87,78.99,5.65,76.92,5.43,84,9.78,82.22,24.13,81.98,1.74,37.5,16.15,17.17,0.18,1.74,0,0,0.87,25,1.09,2.17,60,2.39,54.55,0.87,25,1.96,0,3.7,70.59,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
?. Tupta,Slovan Liberec,Pescara,"AMF, CF",25,400000,2023-06-30,15,856,0,2.12,2,0.65,21.03,34,Slovakia,Slovakia,right,182,75,yes,2.84,3.79,38.89,3.15,30,0,0,0,1.37,2.19,1.47,0,0,0,0,2.73,0,0,0,0.22,0,0,19,2,26.32,0,0.21,0.53,40,0.21,50,0.32,33.33,0,3.36,56.25,10.2,37.11,3.79,1.47,19.35,2.42,1.58,24.08,82.53,4.1,74.36,7.36,87.14,7.04,88.06,22.71,83.33,0.84,87.5,15.23,12.95,0.07,1.05,0,0.11,0.11,100,0.63,1.37,92.31,1.26,91.67,0.21,100,1.05,0.21,2.42,60.87,0,,0,,0,0,0,0,,,0.11,,,0.32,0.32,33.33,0,0,0
