Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Bakayoko,PSV,PSV II,"RW, RWF, RAMF",19,9000000,2026-06-30,6,498,2,1.6,1,0.76,27.29,41.06,Belgium,"Belgium, Côte d'Ivoire",left,179,70,no,5.6,4.16,73.91,1.27,42.86,0,0,0,2.53,3.18,1.27,0,0,0,0,5.24,0.36,1,0.18,0.29,0,0,9,1.63,44.44,22.222,0.18,2.71,40,0,0,2.71,40,0.54,8.13,40,17.89,35.35,3.25,5.42,30.18,2.89,1.45,39.22,84.33,6.69,64.86,13.19,95.89,10.66,84.75,35.6,89.34,0.9,20,14.22,14.36,0.14,1.08,0,0.18,0.9,20,0.9,3.07,88.24,4.52,56,0.54,0,2.35,1.08,5.06,78.57,0,,0,,0,0,0,0,,,0,,,0.18,0,0,0.54,1,100
Francisco Conceicão,Ajax,Ajax II,"RWF, RAMF, RW",20,8000000,2027-06-30,7,500,5,2.03,0,2.13,30.42,51.48,Portugal,Portugal,left,168,61,no,4.68,4.86,66.67,0.18,0,0.18,0.26,0,1.26,1.79,0.36,1,0.18,0,0,15.3,0.9,5,0.9,0.37,0,0,26,4.68,57.69,19.231,0,5.4,50,0,0,5.4,50,1.08,15.66,60.92,22.14,50.41,8.28,9.9,40.32,3.42,1.62,46.44,81.78,7.56,78.57,13.5,92,15.12,75,38.52,87.85,2.88,56.25,17.53,45.19,0.38,2.34,0,0,0.72,50,2.34,2.88,75,4.86,70.37,0.72,25,3.06,2.7,6.3,88.57,0,,0,,0,0,0,0,,,0.18,,,0,0,0,2.7,0,0
Sávio,PSV,PSV II,"RW, LWF, RWF",19,6000000,2027-06-30,9,582,2,1.48,2,1.27,23.35,46.36,Brazil,Brazil,left,176,71,yes,5.57,4.18,62.96,0.62,25,0,0,0,2.94,3.37,0,2,0.31,0,0,7.73,0.31,2,0.31,0.23,0,0,19,2.94,42.11,10.526,0.31,1.55,30,0.77,0,0.77,60,0.31,9.59,61.29,15.93,45.63,3.87,6.03,20.72,2.94,2.16,26.91,76.44,7.11,67.39,5.1,87.88,8.35,75.93,24.12,80.77,1.24,50,16.08,24.39,0.2,1.24,0,0,1.08,14.29,1.08,2.47,50,2.47,50,0.93,16.67,1.86,0.46,4.18,81.48,0,,0,,0,0,0,0,,,0,,,0.46,0.15,0,1.08,0,0
L. Lucca,Udinese,Ajax II,CF,22,6000000,2026-06-30,14,1141,6,5.11,3,1.4,22.8,31.49,Italy,Italy,right,201,83,yes,2.29,2.05,50,3.63,58.7,0.08,0.11,0.24,1.18,1.58,1.74,3,0.24,0,0,2.37,0.47,6,0.47,0.4,0,0,31,2.45,51.61,19.355,0.24,0.63,12.5,0.16,0,0.39,20,0.16,1.58,60,11.52,23.97,4.65,1.1,11.12,1.74,1.03,15.22,78.76,2.76,71.43,4.42,83.93,3.79,77.08,14.12,82.12,0.47,66.67,12.9,14.62,0.11,0.79,0.16,0,0.16,50,0.39,1.26,75,0.95,50,0.32,50,1.26,0.16,1.03,69.23,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
I. Saibari,PSV,PSV II,"RCMF, LCMF",22,3000000,2025-06-30,5,450,1,2.62,1,0.68,31,48.39,Morocco,"Morocco, Spain",right,185,81,no,10,10,68,1.6,50,0,0,0,3.2,3.38,0.8,1,0.2,0,0,5.8,0.2,1,0.2,0.52,0,0,16,3.2,50,6.25,0.2,0.4,50,0,0,0.4,50,0,6.4,53.13,16.2,40.74,3.6,4.4,23.2,1.8,2.4,33.6,87.5,9.4,80.85,9.2,95.65,8.8,88.64,32.6,88.96,0.6,33.33,15.44,14.18,0.14,1.2,0,0,0.8,75,0.8,3,93.33,2.2,72.73,0.8,75,2,0.2,4.8,62.5,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
T. van den Belt,Feyenoord,PEC Zwolle,"RCMF, LCMF, DMF",22,2000000,2025-06-30,35,3313,16,7.29,8,5.8,18.45,54.34,Netherlands,Netherlands,right,181,72,no,9.59,6.49,68.62,3.21,49.15,0.16,0.24,0.19,4.97,7.4,0.57,7,0.19,0,0,2.66,0.43,16,0.43,0.2,4,0.11,82,2.23,39.02,19.512,0.22,1.39,43.14,0.65,41.67,0.68,44,0.05,1.77,49.23,5.32,40.31,2.5,2.01,35.21,0.35,0.84,55.15,78.92,20.92,67.53,7.77,95.8,19.04,86.16,47.97,83.52,5.79,49.3,18.32,31.77,0.16,1.33,0.22,0.11,0.81,40,0.71,10.51,71.32,3.78,57.55,1.63,40,1.85,0.62,11.25,82.13,0,,0,,0,0,0,0,,,1.14,,,0.81,0.27,20,0.16,0,0
M. van Brederode,AZ,AZ II,"LAMF, CF, LWF",20,2000000,2027-06-30,6,546,0,0.55,1,0.76,31.48,38.22,Netherlands,Netherlands,right,174,60,no,5.77,7.09,60.47,1.15,0,0,0,0,1.48,1.8,0.66,0,0,0,0,6.1,0,0,0,0.09,0,0,9,1.48,44.44,0,0.16,2.47,33.33,2.47,33.33,0,0,0.33,8.57,50,21.1,35.94,2.64,3.46,35.77,2.31,2.14,48.63,83.05,11.87,72.22,14.18,95.35,11.54,81.43,45.49,85.87,0.66,75,15.43,18.82,0.13,1.65,0,0,1.32,25,0.49,3.46,76.19,4.78,51.72,1.15,28.57,2.14,0.82,5.6,91.18,0,,0,,0,0,0,0,,,0.16,,,0.49,0,0,1.15,0,0
M. Dekker,AZ,AZ II,LCB,19,1500000,2026-06-30,10,775,2,1.1,0,0,11.5,64.65,Netherlands,Netherlands,left,190,80,no,7.32,4.41,76.32,3.25,50,0.35,0.44,0.46,3.6,4.54,0,1,0.12,0,0,0.58,0.23,2,0.23,0.13,1,0.12,4,0.46,50,50,0,0.12,100,0.12,100,0,0,0,0.23,100,1.63,64.29,0.81,3.6,53.88,0.35,0.46,72,92.42,24.27,82.78,4.18,100,38.09,98.17,67.01,94.45,4.88,64.29,21.94,41.18,0,0,0,0.12,0.12,0,0,8.83,80.26,0.35,33.33,0.35,33.33,0.23,0.12,11.61,83,0,,0,,0,0,0,0,,,2.67,,,0,0,0,0,0,0
Y. Regeer,Twente,Ajax II,"RB, RDMF, RCMF",20,1500000,2025-06-30,26,2171,1,1.66,2,2.28,15.42,48.12,Netherlands,Netherlands,right,177,68,no,8.25,7.21,54.6,1.82,43.18,0.29,0.42,0.04,4.02,5.86,0.54,5,0.21,0,0,1.78,0.04,1,0.04,0.07,0,0,18,0.75,61.11,5.556,0.08,2.11,33.33,0.17,75,1.87,31.11,0.33,1.2,48.28,4.02,41.24,2.4,1.95,47.09,1.24,0.7,61.27,87.96,17.91,82.41,10.24,93.52,25.16,90.94,54.31,91.98,4.93,66.39,19.73,37.19,0.09,0.62,0,0,0.21,20,0.54,7.63,80.98,2.03,44.9,0.58,28.57,0.87,0.66,9.04,79.82,0,,0,,0,0,0,0,,,1.49,,,0,0,0,0.41,0,0
E. Hansson,Heracles,Heracles,"LAMF, LW, LWF",24,1300000,2024-06-30,36,3232,16,7.07,17,10.62,14.29,49.32,Norway,"Norway, Sweden",right,172,65,no,3.34,4.04,57.93,0.33,8.33,0,0,0,1,1.25,0.45,2,0.06,0,0,7.41,0.45,15,0.42,0.2,0,0,82,2.28,42.68,19.512,0.47,4.85,44.25,4.43,42.77,0.31,63.64,0.89,6.49,62.66,8.47,51.97,3.45,4.98,21.11,2.39,0.17,28.71,74.78,6.32,60.35,7.32,93.54,9.25,72.29,22.33,83.42,1.64,45.76,17.93,30.18,0.3,1.87,0.14,0.06,0.47,47.06,0.92,2.51,67.78,4.51,46.3,0.86,29.03,1.23,2.26,4.87,82.29,0,,0,,0,0,0,0,,,0.06,,,0.75,0.06,0,1.56,1,100
K. Fitz-Jim,Ajax,Ajax II,"LCMF, LDMF, DMF",20,1300000,2024-06-30,30,2564,3,3.11,4,1.48,20.32,47.32,Netherlands,"Netherlands, Suriname",right,173,67,no,8.39,7.27,63.77,0.88,40,0.21,0.3,0.14,3.55,5.1,0.74,4,0.14,0,0,2.14,0.11,3,0.11,0.11,1,0.04,40,1.4,27.5,7.5,0.14,0.91,23.08,0.63,16.67,0.25,42.86,0.21,2.7,49.35,9.23,37.26,1.09,2.14,45.84,0.7,1.26,60.02,87.37,15.94,74.67,10.85,95.79,22.54,92.06,55.81,90,3.3,60.64,17.19,38.56,0.05,0.53,0.11,0.07,0.74,28.57,0.35,8.6,82.04,3.05,40.23,1.26,33.33,1.23,0.25,8.21,79.06,0,,0,,0,0,0,0,,,0.74,,,0.35,0,0,0.18,0,0
R. Thomas,PEC Zwolle,PEC Zwolle,"LCMF, DMF",28,1300000,2024-06-30,18,1153,0,1.27,1,1.14,21.54,51.81,New Zealand,"New Zealand, England",right,175,64,no,10.62,6.24,65,2.89,45.95,0.55,0.89,0.23,6.01,9.79,0.7,1,0.08,0,0,2.5,0,0,0,0.1,0,0,18,1.41,16.67,0,0.08,1.41,33.33,1.09,28.57,0.31,50,0.16,2.58,69.7,8.27,45.28,2.26,1.64,35.98,0.39,1.8,52.69,85.48,15.22,73.33,7.49,93.75,21.62,90.97,47.85,89.56,3.43,50,18.3,34.66,0.09,1.09,0,0.08,0.31,0,0.16,7.88,81.19,3.04,51.28,0.78,0,1.01,0.47,6.56,80.95,0,,0,,0,0,0,0,,,0.86,,,0,0,0,0.39,0,0
M. Lahdo,AZ,AZ II,"RAMF, RWF, LCMF",20,1300000,2027-06-30,6,368,1,0.33,0,0,24.95,36.27,Sweden,Sweden,right,180,76,no,7.83,8.8,63.89,0.98,0,0,0,0,2.2,2.6,0.73,0,0,0,0,2.69,0.24,1,0.24,0.08,0,0,4,0.98,75,25,0,0.24,0,0,0,0.24,0,0,5.14,28.57,11.49,21.28,2.2,2.45,20.54,0.49,0.49,27.88,88.6,4.89,85,9.05,94.59,9.29,86.84,27.39,90.18,0.24,0,17.12,5.21,0,0,0,0,0.73,66.67,0,1.96,87.5,0.98,75,0.49,50,0.98,0,4.16,70.59,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
