Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Babec,Riga FC,Riga FC,DMF,24,2000000,2023-12-31,26,2143,2,2.7,1,2.15,15.58,53.1,Croatia,Croatia,right,187,71,no,8.99,5.96,61.27,4.75,56.64,0.21,0.36,0.21,5.12,8.67,1.01,6,0.25,0,0,0.88,0.08,2,0.08,0.11,0,0,33,1.39,30.3,6.061,0.04,0.34,50,0.08,100,0.25,33.33,0.08,0.34,62.5,2.18,46.15,0.92,1.01,46.41,0.38,0.34,65.14,89.56,18.35,78.72,7.18,94.74,32.13,95.29,57.87,91.44,6.93,75.76,20.58,34.18,0.09,1.05,0,0,0.21,40,0.29,13.69,87.12,1.85,68.18,0.71,47.06,1.34,0.13,11.51,87.23,0,,0,,0,0,0,0,,,0.8,,,0.04,0.04,0,0,0,0
C. Mena,Valmiera FC,Valmiera FC,"LWF, RWF, LW",20,1200000,2025-06-30,4,352,0,1.97,0,0.58,31.19,54.92,Colombia,Colombia,right,175,0,no,5.63,6.65,65.38,1.02,50,0,0,0,1.28,2.24,1.28,1,0.26,0,0,7.67,0,0,0,0.5,0,0,10,2.56,40,0,0,3.58,14.29,0.51,0,3.07,16.67,0.77,12.02,48.94,20.97,51.22,3.32,4.35,30.68,0.77,4.35,37.07,75.17,14.32,75,5.37,85.71,9.97,69.23,31.96,84.8,2.3,11.11,17.39,28.74,0.15,1.79,0,0,1.02,25,0,5.11,80,4.35,52.94,1.02,0,2.05,0.51,6.9,85.19,0,,0,,0,0,0,0,,,0,,,0,0,0,1.28,2,0
M. Joji?,Riga FC,Riga FC,RCMF,31,1200000,2024-12-31,24,2021,5,4.14,4,8.43,22.31,42.32,Serbia,Serbia,right,177,73,no,8.15,6.9,64.52,2.76,41.94,0.09,0.15,0.13,3.61,5.96,1.29,4,0.18,0,0,2.94,0.22,5,0.22,0.18,0,0,43,1.91,34.88,11.628,0.18,1.29,51.72,0.58,61.54,0.67,40,0.18,3.03,41.18,9.13,27.32,3.34,1.11,29.44,0.94,0.67,44.18,84.48,11.53,76.06,10.51,92.8,13.27,85.57,40.7,87.42,2.18,48.98,15.85,27.42,0.38,2.94,0.04,0,0.71,50,0.53,5.08,78.07,3.56,56.25,0.67,40,2.23,0.67,5.74,83.72,0,,0,,0,0,0,0,,,0.22,,,1.25,0.04,100,4.41,0,0
A. Ili?,Vålerenga,RFS,CF,23,1000000,2023-12-31,25,2046,14,16.02,5,2.62,21.91,39.56,Serbia,Serbia,right,189,84,no,3.26,2.77,47.62,7.52,52.05,0.04,0.06,0.18,1.89,2.79,0.97,2,0.09,0,0,3.26,0.62,12,0.53,0.7,5,0.22,77,3.39,45.45,18.182,0.22,0.66,26.67,0.35,25,0.31,28.57,0,2.11,60.42,7.87,30.73,6.29,0.66,10.6,1.98,0.66,15.7,69.75,3.74,56.47,3.83,83.91,4.75,65.74,14.52,72.42,0.53,50,15.58,15.76,0.12,0.79,0.13,0.09,0.48,54.55,0.57,1.36,61.29,1.54,40,0.62,57.14,1.45,0.18,1.67,84.21,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,100
Emerson Deocleciano,RFS,RFS,"LAMF, LW",24,1000000,,25,1968,6,8.57,8,6.48,26.48,46.8,Brazil,Brazil,left,174,69,no,4.71,4.8,57.14,2.06,42.22,0.05,0.07,0.09,1.92,2.88,0.73,3,0.14,0,0,9.01,0.27,6,0.27,0.39,0,0,83,3.8,44.58,7.229,0.37,2.84,38.71,2.65,39.66,0.18,25,0.41,8.96,59.18,16.46,47.5,5.85,4.3,32.29,2.42,1.69,43.72,82.95,13.99,77.45,8.23,93.89,12.62,83.7,38.14,88.13,2.84,54.84,16.73,34.3,0.3,2.1,0.14,0.14,1.78,51.28,1.33,5.35,72.65,6.45,72.34,2.15,42.55,4.48,1.23,9.56,90.43,0,,0,,0,0,0,0,,,0.05,,,0.09,0.05,0,0.27,0,0
L. Iberico,Riga FC,Riga FC,"CF, LCMF",25,800000,2023-12-31,4,103,1,1.91,0,0,26.21,50,Peru,Peru,right,181,79,no,4.37,1.75,50,6.99,25,0.87,2,0,2.62,6,2.62,1,0.87,0,0,5.24,0.87,1,0.87,1.67,0,0,10,8.74,30,10,0,0,0,0,0,0,0,0,2.62,100,10.49,75,10.49,0,20.1,2.62,3.5,25.34,72.41,6.12,71.43,6.99,75,5.24,66.67,25.34,72.41,0,0,12.77,0,0,0,0,0,0,0,0.87,2.62,100,0.87,0,0,0,0,0,3.5,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Dabro,Beijing Guoan,Riga FC,CF,26,700000,2025-12-31,11,418,2,4.22,0,0.14,19.81,35.87,Croatia,Croatia,left,178,71,no,4.09,4.09,52.63,3.88,22.22,1.29,2.5,0.22,0.65,1.25,2.15,1,0.22,0,0,2.8,0.43,2,0.43,0.91,0,0,22,4.74,40.91,9.091,0,0.22,0,0.22,0,0,0,0,1.51,57.14,8.61,30,5.81,0.22,19.59,1.29,1.29,25.84,80.83,4.52,66.67,6.46,90,7.97,78.38,25.19,82.05,0.43,50,14.51,9.59,0.03,0.65,0.43,0,0,0,0,2.15,60,1.08,60,0,0,0.86,0,2.8,69.23,0,,0,,0,0,0,0,,,0,,,0.22,0.22,100,0.22,0,0
Douglas Aurélio,Riga FC,Riga FC,"LCMF, RW, LW",24,700000,2025-06-30,27,2265,8,12.36,7,9.29,32.5,46.94,Brazil,"Brazil, Portugal",left,183,78,no,5.96,5.56,64.29,3.22,49.38,0.28,0.47,0.04,2.11,3.55,1.15,2,0.08,0,0,8.58,0.32,4,0.16,0.49,0,0,94,3.74,36.17,8.511,0.28,3.18,35,1.95,30.61,1.11,42.86,0.72,10.41,56.11,20.54,43.33,5.84,4.29,22.17,1.39,1.27,33.34,78.78,8.9,69.64,7.51,96.3,10.97,78.26,28.33,84.85,1.87,59.57,17.24,28.78,0.37,1.95,0.12,0,1.07,25.93,1.07,3.58,74.44,4.65,59.83,1.47,27.03,2.9,1.19,5.17,86.92,0,,0,,0,0,0,0,,,0.2,,,0.36,0.04,100,2.66,6,66.667
A. Jaunzems,Valmiera FC,Valmiera FC,"RB, RCMF",24,600000,2023-12-31,25,2369,3,3.83,4,6.97,16.53,50.57,Latvia,Latvia,right,179,76,no,7.75,6.46,58.24,1.67,38.64,0.38,0.6,0.15,3.61,5.73,0.34,1,0.04,0,0,4.22,0.11,2,0.08,0.15,0,0,44,1.67,20.45,6.818,0.15,5.17,33.09,0.49,38.46,4.6,33.06,0.84,3.27,61.63,6.12,50.93,1.98,2.13,26.56,1.37,0.91,39.55,73.01,13.98,67.39,6.19,91.41,12.31,73.46,30.16,83.12,4.41,49.14,20.04,36.21,0.26,1.75,0.04,0.08,0.38,40,0.91,6.04,67.92,5.17,49.26,0.68,44.44,1.37,1.75,8.97,78.39,0,,0,,0,0,0,0,,,0.42,,,1.1,0.15,25,1.48,1,100
I. Zhelizko,Lechia Gda?sk,Valmiera FC,"DMF, LCMF",22,600000,,16,1499,1,3.55,1,3.84,23.18,58.81,Ukraine,Ukraine,right,185,79,no,12.49,8.71,71.72,4.08,52.94,1.74,2.74,0.36,4.5,7.1,1.08,7,0.42,0,0,2.52,0.06,0,0,0.21,0,0,36,2.16,27.78,2.778,0.06,1.44,16.67,1.2,20,0.24,0,0.36,2.28,68.42,6.54,48.62,1.02,1.2,34.58,0.42,0.78,53.5,81.59,19.87,70.09,6.84,95.61,20.95,89.68,44.31,88.48,7.87,53.44,21.58,41.07,0.23,1.92,0,0,0.18,66.67,0.06,10.57,65.91,2.1,28.57,1.14,21.05,0.54,0.42,9.91,76.36,0,,0,,0,0,0,0,,,1.32,,,2.76,0.72,50,5.76,2,50
