Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Hnid,Žalgiris,Žalgiris,"LCB, RCB",26,550000,2023-12-31,18,1533,1,1.61,0,0.31,14.09,67.92,Tunisia,Tunisia,right,191,92,no,7.22,4.87,68.67,6.05,71.84,0.29,0.47,0.41,3.58,5.75,1,3,0.18,0,0,0.76,0.06,1,0.06,0.09,0,0,12,0.7,16.67,8.333,0,0.18,33.33,0.12,50,0.06,0,0.06,0.7,83.33,1.7,58.62,1,1.41,46.09,0.7,0.47,62,91.29,22.66,84.2,1.94,87.88,32.29,96.36,55.71,94.94,6.11,59.62,21.69,36.11,0.02,0.12,0,0,0.06,0,0,6.81,71.55,0.7,8.33,0.41,0,0.18,0.06,10.04,80.7,0,,0,,0,0,0,0,,,1.17,,,0,0,0,0,0,0
T. Švedkauskas,Hegelmann Litauen,Hegelmann Litauen,GK,29,550000,2023-12-31,17,1571,0,0,0,0,0.4,57.14,Lithuania,Lithuania,right,186,82,no,1.2,0.06,0,0.29,60,0.06,0.08,0,1.15,1.62,0.11,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.34,0.23,0,29.1,90.16,12.78,79.82,0,0,15.47,98.52,22.17,99.48,6.87,60.83,26.87,43.7,0,0,0,0,0,0,0,1.26,50,0.06,0,0,0,0,0,4.81,65.48,18,1.03,52,2.98,5,65.38,17.12,0.98,-0.88,-0.05,0,1.26,0.29,,,,0,0,0
Y. Kendysh,Žalgiris,Žalgiris,"LCMF, AMF, RCMF",33,500000,2023-12-31,21,1763,4,2.65,4,1.88,24.1,50.42,Belarus,Belarus,right,187,77,no,7.4,6.02,53.39,7.66,62,0.36,0.56,0,3.83,6,1.74,5,0.26,0,0,1.63,0.2,4,0.2,0.14,0,0,25,1.28,56,16,0.2,0.31,16.67,0.2,25,0.1,0,0.1,1.58,48.39,7.3,41.26,2.14,1.12,35.79,1.33,2.09,48.19,84.64,14.65,73.52,9.09,94.38,16.28,89.34,42.93,87.99,4.95,59.79,17.92,38.04,0.1,0.92,0.05,0,0.56,18.18,0.31,7.96,68.59,2.91,43.86,1.33,15.38,1.43,0.1,6.99,79.56,0,,0,,0,0,0,0,,,0.66,,,0.05,0.05,0,0,0,0
J. Bopesu,Žalgiris,Žalgiris,"LB, RB",28,500000,2023-12-31,19,1559,0,0.13,2,2.26,17.49,55.12,Congo DR,"Congo DR, France",left,184,78,no,8.08,6.29,69.72,2.37,68.29,0.23,0.37,0.17,3.46,5.59,1.21,5,0.29,1,0.06,4.45,0,0,0,0.01,0,0,7,0.4,14.29,0,0.12,5.83,38.61,4.04,44.29,1.79,25.81,0.4,3.12,57.41,6.64,46.09,0.87,2.08,40.01,3.46,0.46,53.8,81.22,16.4,73.94,10.68,96.22,18.53,77.57,42.08,89.85,6.81,57.63,21.02,39.18,0.13,1.15,0.06,0,0.4,85.71,0.17,6.41,69.37,5.83,53.47,0.87,60,1.04,2.02,12.24,83.02,0,,0,,0,0,0,0,,,0.92,,,0.52,0.12,50,2.08,0,0
M. Paveli?,Žalgiris,Žalgiris,RB,29,475000,2023-12-31,21,1859,2,0.23,2,3.26,13.51,53.05,Austria,Austria,right,180,72,no,8.91,7.89,61.96,0.77,43.75,0.29,0.47,0.05,3.73,5.97,1.11,4,0.19,0,0,1.89,0.1,2,0.1,0.01,0,0,8,0.39,50,25,0.1,2.76,31.58,0,0,2.76,31.58,0.29,1.45,46.67,2.81,43.1,0.39,1.65,44.59,2.47,0.48,56.98,82.92,16.85,76.72,7.36,94.74,25.95,85.26,44.64,89.15,9.78,67.33,22.53,38.55,0.16,1.31,0.05,0,0.34,42.86,0.58,9.34,77.72,4.74,51.02,1.4,55.17,1.5,0.87,14.52,84.67,0,,0,,0,0,0,0,,,0.58,,,0,0,0,0,0,0
P. Mami?,Žalgiris,Žalgiris,LB,27,475000,2023-11-30,20,1772,1,1.66,4,4.12,14.32,48.58,Croatia,Croatia,left,183,74,no,8.58,7.21,56.34,2.08,36.59,0.25,0.4,0.15,4.27,6.65,1.12,4,0.2,0,0,3.5,0.05,1,0.05,0.08,0,0,22,1.12,36.36,4.545,0.2,5.13,34.65,4.98,32.65,0.15,100,0.71,1.47,58.62,3,47.46,1.07,2.18,45.51,3,0.36,59.42,80.68,19.71,73.45,7.82,96.1,23.67,82.62,45.46,89.83,9.04,60.11,21.47,40.33,0.21,2.03,0,0.05,0.66,69.23,0.97,10.87,67.76,6.5,51.56,0.91,55.56,1.88,1.98,16.56,86.81,0,,0,,0,0,0,0,,,1.12,,,0.61,0.25,20,2.79,0,0
E. Gertmonas,Žalgiris,Žalgiris,GK,27,475000,2023-12-31,22,2070,0,0,0,0,0.74,82.35,Lithuania,Lithuania,right,192,96,no,1.09,0,0,0.48,90.91,0,0,0,1.09,1.7,0.04,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,75,0,0,15,0.22,0.17,22.91,92.22,11.04,85.43,0,0,11.3,99.23,18.17,98.56,4.74,67.89,27.85,46.75,0,0,0,0,0,0,0.04,1.04,41.67,0.13,0,0.3,28.57,0.04,0,3.48,71.25,13,0.57,52,2.26,12,75,13.18,0.57,0.18,0.008,0,1.83,0.48,,,,0,0,0
L. Saj?i?,,Hegelmann Litauen,"CF, AMF",26,450000,,13,751,1,1.06,2,1.82,23.37,41.03,Serbia,Serbia,left,188,86,no,3.83,3.24,51.85,7.79,49.23,0.24,0.32,0.36,1.92,2.57,1.2,0,0,0,0,3,0.12,1,0.12,0.13,1,0.12,16,1.92,25,6.25,0.24,2.16,33.33,0.6,40,1.56,30.77,0.48,3,56,9.11,35.53,3.48,0.6,24.81,1.56,1.56,34.75,73.1,11.03,60.87,3.72,87.1,13.18,80.91,29.12,79.42,3.48,44.83,18.31,23.53,0.22,0.84,0,0,0.36,33.33,0.48,5.87,65.31,3.48,55.17,0.6,0,1.56,0.6,5.15,81.4,0,,0,,0,0,0,0,,,0.12,,,0.12,0,0,0.24,0,0
A. Smith,Panev?žys,Panev?žys,CF,24,450000,2024-12-31,27,2171,12,13.45,7,2.98,26.82,36.48,Nicaragua,Nicaragua,right,186,79,no,4.48,3.27,58.23,6.14,39.19,0.04,0.06,0.17,2.53,3.43,1.41,5,0.21,0,0,3.77,0.5,12,0.5,0.56,1,0.04,74,3.07,39.19,16.216,0.29,1.49,27.78,0.79,26.32,0.7,29.41,0.17,4.1,50.51,12.02,30.34,4.97,1.7,12.93,3.57,0.91,20.27,72.8,4.35,53.33,4.97,91.67,6.67,70.19,16.96,78.73,1.99,50,17.7,31.32,0.12,0.91,0.08,0,0.5,16.67,0.75,2.28,60,2.24,46.3,0.54,23.08,1.08,0.5,2.11,76.47,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Xabi Auzmendi,Kauno Žalgiris,Kauno Žalgiris,"CF, RWF, RAMF",26,450000,2023-12-31,27,2112,5,6.79,3,3.61,22.29,35.18,Spain,Spain,left,180,72,no,3.88,2.86,67.16,4.56,28.97,0.13,0.2,0,1.83,2.93,1.15,2,0.09,0,0,2.94,0.21,5,0.21,0.29,1,0.04,50,2.13,26,10,0.13,2.05,45.83,0.68,50,1.32,41.94,0.26,2.22,55.77,10.57,30.65,3.24,1.66,22.33,2.09,1.32,30.09,79.32,8.01,68.09,5.88,92.75,10.53,79.35,25.82,83.33,2.22,63.46,18.28,32.68,0.15,1.49,0,0.04,0.68,31.25,0.64,3.58,71.43,3.54,63.86,0.98,47.83,1.62,0.89,4.6,87.96,0,,0,,0,0,0,0,,,0.17,,,0.64,0.04,0,0.89,0,0
