Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Vetlesen,Club Brugge,Bodø / Glimt,RCMF,23,4500000,2025-07-31,11,985,3,2.73,2,2.31,17.73,38.66,Norway,Norway,right,174,72,no,3.47,4.2,36.96,1.37,6.67,0.27,0.4,0.09,1.64,2.39,1.19,3,0.27,0,0,4.66,0.27,3,0.27,0.25,1,0.09,28,2.56,39.29,10.714,0.18,2.56,25,0.09,100,2.28,24,0.37,4.75,50,9.05,45.45,5.39,2.38,29.33,0.46,1.28,33.35,78.08,9.78,67.29,6.76,90.54,9.59,79.05,28.96,84.54,2.1,47.83,16.95,25.85,0.21,1.46,0.18,0,1.55,41.18,1.19,3.84,78.57,4.2,56.52,1.46,31.25,2.47,0.64,4.29,82.98,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0.37,0,0
S. Mannsverk,Molde,Molde,DMF,21,4500000,2025-12-31,16,1536,3,3.56,0,0.73,16.93,52.25,Norway,Norway,right,185,77,no,7.5,5.04,53.49,3.11,50.94,0.94,1.23,0.41,3.87,5.06,1.41,4,0.23,0,0,2.7,0.18,1,0.06,0.21,0,0,30,1.76,23.33,10,0,0.88,40,0.29,40,0.53,33.33,0.18,2.05,68.57,5.39,53.26,0.82,2.23,41.31,0.23,1.29,57.42,88.98,17.58,79,8.67,97.3,21.74,93.53,52.38,93.18,4.22,45.83,17.61,33.8,0.04,0.64,0.12,0,0.88,60,0.18,8.44,81.94,2.99,54.9,1.11,36.84,0.94,0.35,7.03,77.5,0,,0,,0,0,0,0,,,0.59,,,0,0,0,0,3,66.667
P. Berg,Bodø / Glimt,Bodø / Glimt,DMF,25,4000000,2027-07-31,20,1950,3,1.73,1,2.95,11.68,53.36,Norway,Norway,right,178,76,no,7.02,6.55,61.97,0.65,50,0,0,0.23,2.95,4.41,1.02,2,0.09,0,0,2.4,0.14,3,0.14,0.08,0,0,44,2.03,31.82,6.818,0.05,1.66,58.33,0.78,64.71,0.78,58.82,0.28,0.83,50,2.68,48.28,0.83,1.15,40.02,0.05,0.28,53.63,90.71,10.25,73.87,8.35,98.34,26.17,94.71,48.23,94.45,3.78,57.32,18.86,34.67,0.14,1.38,0.18,0.05,0.51,72.73,0.37,6.92,84,3.23,57.14,1.06,39.13,1.11,0.92,6.05,72.52,0,,0,,0,0,0,0,,,1.2,,,0.28,0.18,25,4.94,0,0
J. Nelson,Rosenborg,Rosenborg,"LWF, LW",20,4000000,2026-12-31,16,905,2,2.35,2,1.07,21.38,34.42,Canada,"Canada, Jamaica",right,170,66,no,4.67,4.97,50,1.99,10,0.7,0.91,0,1.49,1.94,1.49,2,0.2,0,0,3.98,0.2,2,0.2,0.23,0,0,17,1.69,41.18,11.765,0.2,0.9,44.44,0.9,44.44,0,0,0,5.47,47.27,11.24,31.86,2.49,2.69,19.69,1.19,0.6,25.16,78.26,4.97,56,6.27,88.89,7.66,84.42,22.67,81.14,1.59,56.25,13.86,18.82,0.11,1.29,0.1,0,0.8,37.5,0.5,2.19,68.18,2.88,51.72,0.8,12.5,1.29,0.3,3.78,71.05,0,,0,,0,0,0,0,,,0,,,0.3,0.2,0,1.39,0,0
O. Brynhildsen,Molde,Molde,CF,24,3000000,2024-12-31,15,1202,7,6.07,2,0.91,14.08,34.57,Norway,Norway,right,175,70,no,2.25,1.8,62.5,1.35,22.22,0.22,0.29,0.07,0.9,1.15,0.67,4,0.3,0,0,2.7,0.52,7,0.52,0.45,0,0,37,2.77,35.14,18.919,0.15,0.52,42.86,0.22,33.33,0.3,50,0.07,3.44,41.3,8.09,32.41,4.87,1.8,10.11,1.5,1.35,11.83,72.15,2.02,37.04,3.67,91.84,3.14,71.43,11.01,73.47,0.3,75,14.33,8.42,0.07,0.45,0,0,0.22,33.33,0.22,0.22,100,1.42,47.37,0.07,0,0.82,0.22,0.97,46.15,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
C. Holse,Rosenborg,Rosenborg,"RWF, RW, RCMF",24,2500000,2024-12-31,16,1562,3,4.09,2,3.36,16.13,47.86,Denmark,Denmark,left,177,68,no,5.53,4.96,63.95,1.33,56.52,0.35,0.44,0.12,2.02,2.58,0.4,0,0,0,0,4.67,0.17,3,0.17,0.24,1,0.06,46,2.65,26.09,6.522,0.12,2.94,45.1,0.69,58.33,2.19,42.11,0.29,3.92,58.82,7.55,42.75,4.21,1.73,31.98,2.25,0.81,39.3,80.65,9.16,74.84,8.12,94.33,12.68,79.55,33.53,84.19,2.94,72.55,17.89,36.42,0.19,0.92,0.12,0,1.09,31.58,0.86,4.72,76.83,4.15,56.94,1.09,36.84,1.79,1.21,7.09,81.3,0,,0,,0,0,0,0,,,0.23,,,0.52,0.23,0,0.35,0,0
A. Grønbæk,Bodø / Glimt,Bodø / Glimt,LCMF,22,2300000,2027-12-31,19,1700,8,5.32,2,4.89,17.63,54.35,Denmark,Denmark,right,176,73,no,5.14,5.29,56,1.01,31.58,0.16,0.23,0.11,2.01,2.97,0.58,4,0.21,0,0,5.35,0.42,8,0.42,0.28,0,0,49,2.59,44.9,16.327,0.11,1.96,29.73,1.16,22.73,0.79,40,0.42,5.08,62.5,9,54.71,5.4,2.22,20.17,0.53,1.64,25.78,77.41,6.19,68.38,4.98,94.68,9.11,81.98,22.34,81.52,1.48,78.57,17.84,30.56,0.26,1.59,0.05,0.11,0.79,53.33,0.95,2.17,80.49,2.59,61.22,0.69,46.15,1.96,0.53,3.65,76.81,0,,0,,0,0,0,0,,,0.05,,,0.11,0.11,50,0.16,0,0
I. Atanga,Aalesund,Aalesund,"LWF, RWF, RW",23,2000000,2026-06-30,19,1111,5,4.64,0,0.41,19.36,36.4,Ghana,Ghana,right,173,66,no,3.89,4.54,48.21,2.35,31.03,0,0,0,1.7,1.87,1.62,2,0.16,0,0,3.81,0.41,5,0.41,0.38,0,0,33,2.67,39.39,15.152,0,1.38,35.29,0.49,16.67,0.81,40,0.32,4.94,44.26,9.23,35.96,3.56,1.78,11.83,1.86,1.05,13.77,73.53,3.24,60,3.81,87.23,3.65,68.89,11.75,80.69,0.65,25,14.97,8.83,0.03,0.24,0,0,0.32,25,0.16,0.73,55.56,1.62,50,0.41,0,0.49,0.41,1.94,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0.16,0,0
E. Breivik,Molde,Molde,LCMF,23,2000000,2025-12-31,19,1529,6,3.88,5,4.71,18.19,37.86,Norway,Norway,right,180,82,no,5.77,6,44.12,1.94,24.24,0.24,0.29,0.18,2.88,3.59,1.18,3,0.18,0,0,3.59,0.35,5,0.29,0.23,0,0,36,2.12,50,16.667,0.29,2.18,29.73,1.41,25,0.65,45.45,0.24,3,47.06,7.89,33.58,2.83,2.06,33.08,0.88,0.82,42.5,81.72,11.24,71.2,8.18,94.24,12.6,82.24,38.02,86.22,2.41,56.1,15.59,29.15,0.28,1.88,0,0.12,0.82,57.14,0.47,4.65,69.62,3.24,50.91,1,58.82,1.35,0.53,5.59,80,0,,0,,0,0,0,0,,,0.35,,,0.65,0.24,25,4.53,1,100
V. Berisha,Molde,Molde,"CF, RCMF",29,1800000,2026-12-31,15,935,3,4,2,1.46,17.52,35.71,Norway,Norway,right,175,75,no,5.2,4.43,60.87,4.62,33.33,0.39,0.52,0,2.12,2.86,1.54,1,0.1,0,0,1.44,0.29,2,0.19,0.38,0,0,15,1.44,40,20,0.19,1.73,33.33,0.39,50,1.35,28.57,0.19,1.44,13.33,4.91,23.53,5.1,0.29,15.79,2.41,0.67,21.56,70.54,4.81,50,4.43,84.78,6.45,74.63,18.67,74.23,1.35,71.43,14.34,15.79,0.14,0.96,0.1,0,0.67,14.29,0.77,2.02,61.9,2.12,59.09,0.67,14.29,2.02,0.58,2.7,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
