Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Kartum,Brann,Kristiansund,LCMF,27,450000,2023-12-31,14,1334,3,4.44,6,6.4,21.86,49.69,Norway,Norway,left,0,0,no,7.49,6.27,61.29,1.21,50,0.67,0.86,0.07,2.97,3.78,1.35,6,0.4,0,0,5.73,0.2,3,0.2,0.3,1,0.07,44,2.97,38.64,6.818,0.4,3.98,27.12,3.51,23.08,0.34,40,0.47,6.54,50.52,11.54,45.61,4.12,2.83,21.45,1.15,2.16,30.83,71.55,9.58,61.27,6.21,94.57,8.3,65.85,25.3,80,1.62,50,17.72,26.55,0.43,2.9,0,0.13,0.81,25,0.81,3.91,70.69,4.52,44.78,1.15,29.41,1.55,1.01,6.14,70.33,0,,0,,0,0,0,0,,,0.07,,,1.75,0.4,16.67,5.33,0,0
S. Aas,Skeid,Skeid,"LCMF, LWF, RW",19,450000,2024-07-31,10,484,0,0.16,0,0.2,20.83,50.89,Norway,Norway,right,181,74,yes,7.44,8,62.79,2.23,41.67,0.37,0.44,0.74,2.05,2.44,1.67,0,0,0,0,3.53,0,0,0,0.03,0,0,4,0.74,0,0,0,3.16,35.29,1.12,16.67,2.05,45.45,0.56,3.53,68.42,8.37,44.44,0.37,2.23,26.22,0.74,2.23,37.38,84.08,11.9,78.13,8.55,97.83,12.27,81.82,32.91,90.4,1.67,55.56,18.91,20.58,0.04,0.56,0.19,0,0,0,0.19,5.76,87.1,3.35,44.44,0,0,0.74,1.3,6.88,83.78,0,,0,,0,0,0,0,,,0.74,,,0.37,0,0,0.56,0,0
J. Jónsson,Sogndal,Sogndal,"RWF, RW",24,400000,2024-12-31,21,1781,4,5.36,5,4.74,22.23,49.32,Iceland,Iceland,both,0,0,no,6.87,6.27,58.06,1.36,40.74,0.56,0.66,0.1,2.68,3.2,0.71,1,0.05,0,0,6.32,0.2,4,0.2,0.27,0,0,45,2.27,35.56,8.889,0.25,2.78,32.73,0.25,20,2.48,34.69,0.45,6.82,60,12.43,47.97,4.35,3.69,28.1,1.41,0.86,38.35,77.73,10.46,64.73,8.64,91.23,13.19,79.69,32.24,83.86,3.39,56.72,17.93,33.04,0.24,2.07,0.1,0,1.06,47.62,0.86,3.74,74.32,5.41,51.4,1.62,34.38,2.78,1.01,6.27,82.26,0,,0,,0,0,0,0,,,0.2,,,0.96,0.3,33.33,3.39,1,0
M. Williamsen,Kristiansund,Kristiansund,"RCB, LCB",20,400000,2023-12-31,19,1465,0,0.69,0,0.1,13.82,63.56,Norway,Norway,right,191,80,no,9.77,5.65,69.57,3.26,64.15,0.18,0.23,0.49,5.65,6.92,0.37,2,0.12,0,0,0.74,0,0,0,0.04,0,0,5,0.31,0,0,0,0.18,33.33,0.12,0,0.06,100,0.06,0.98,68.75,2.7,56.82,0.55,2.21,35.69,0.37,1.17,51.05,85.08,22.67,75.61,3.56,94.83,20.09,94.8,43.25,91.76,7.62,48.39,21.23,37.24,0.01,0.18,0.06,0.06,0.06,0,0,11.06,80,0.68,45.45,0.49,25,0.18,0.06,10.01,70.55,0,,0,,0,0,0,0,,,1.29,,,0,0,0,0,0,0
B. Willumsson,Kristiansund,Kristiansund,"CF, LCMF",23,400000,,9,669,4,3.69,2,0.57,25.96,38.34,Iceland,Iceland,right,185,78,no,2.96,4.3,50,3.23,29.17,0.13,0.17,0,0.67,0.86,1.35,3,0.4,0,0,3.77,0.54,3,0.4,0.5,1,0.13,27,3.63,40.74,14.815,0.27,1.08,25,0.54,25,0.54,25,0.4,5.38,35,13.72,36.27,5.11,2.02,25.29,1.35,2.29,33.77,81.67,7.67,68.42,7.26,94.44,9.15,80.88,30.67,84.65,2.02,66.67,14.29,28.26,0.08,0.67,0.4,0,0.54,25,0.4,2.02,73.33,1.75,30.77,0.4,0,1.35,0.27,2.83,71.43,0,,0,,0,0,0,0,,,0.13,,,0.54,0.4,33.33,0.94,1,100
S. Nilsen,Kristiansund,Kristiansund,"RB, RWB",26,400000,2023-12-31,18,1513,1,1.71,4,4.64,14.99,51.98,Norway,Norway,right,187,80,no,6.6,5.29,61.8,2.8,48.94,0.48,0.57,0.18,2.86,3.44,0.89,3,0.18,0,0,3.57,0.06,1,0.06,0.1,0,0,11,0.65,36.36,9.091,0.24,6.13,34.95,0,0,6.07,34.31,0.77,2.2,54.05,4.34,47.95,2.38,1.9,32.72,2.32,0.83,41.82,77.52,10.41,65.71,8.09,96.32,14.4,76.03,33.07,87.23,2.97,48,18.84,34.68,0.28,1.67,0.06,0,0.06,0,1.07,4.04,66.18,4.94,48.19,0.48,25,0.89,2.26,8.8,78.38,0,,0,,0,0,0,0,,,0.42,,,0.06,0,0,0.06,0,0
M. Ugland,Jerv,Jerv,"CF, RCMF, LCMF",23,400000,2024-12-31,21,1266,2,3.28,3,2.53,23.25,44.04,Norway,Norway,right,178,67,no,9.31,7.11,60,3.55,30,1,1.31,0.14,4.05,5.34,1.64,4,0.28,0,0,2.42,0.14,2,0.14,0.23,1,0.07,32,2.27,25,6.25,0.21,1.49,23.81,0.36,20,1.14,25,0.28,2.77,53.85,9.67,39.71,2.35,0.85,16.07,0.85,1.78,25.24,73.52,7.46,60,6.11,95.35,5.55,73.08,22.82,78.82,1,21.43,16.24,19.08,0.18,1,0.07,0.07,0.43,0,0.28,3.2,62.22,1.28,33.33,0.64,0,0.21,0.36,2.42,70.59,0,,0,,0,0,0,0,,,0,,,0.57,0.28,25,1.64,0,0
J. Torkildsen,Start,Start,GK,19,400000,2026-12-31,17,1657,0,0,0,0,1.25,78.26,Norway,Norway,,0,0,no,1.79,0.16,33.33,0.65,91.67,0.11,0.14,0,1.63,2.08,0.05,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38,0.11,0.16,20.75,86.65,8.64,75.47,0,0,9.67,95.51,15.37,95.76,5.38,60.61,26.81,48.17,0,0,0,0.05,0,0,0,1.25,39.13,0.11,0,0.11,0,0,0,4.07,65.33,20,1.09,69,3.75,7,71.01,21.41,1.16,1.41,0.077,0,2.12,0.65,,,,0,0,0
M. Woledzi,Fredrikstad,Fredrikstad,"RCB, LCB",22,400000,2025-06-30,7,680,0,0.21,0,0.01,19.72,58.39,Ghana,Ghana,right,189,79,no,9.66,6.35,70.83,5.43,53.66,0,0,0.4,5.16,6.92,1.06,1,0.13,0,0,1.06,0,0,0,0.03,0,0,3,0.4,0,0,0,0.26,0,0,0,0.26,0,0,1.32,70,4.63,45.71,0.79,1.59,41.16,1.19,0.66,55.06,92.55,20.78,87.26,3.84,96.55,22.63,97.66,52.81,94.24,1.99,60,17.81,33.06,0,0.13,0.26,0,0.4,33.33,0,11.25,88.24,1.19,33.33,0.79,33.33,0.26,0,7.94,86.67,0,,0,,0,0,0,0,,,1.06,,,0,0,0,0,0,0
B. Hendriksson,Fredrikstad,Fredrikstad,"LCMF, RCMF",27,400000,2024-12-31,12,555,0,0.27,1,0.36,16.7,55.34,Faroe Islands,Faroe Islands,right,178,75,no,7.14,6.65,70.73,1.78,27.27,0,0,0,2.43,3.28,0.81,0,0,0,0,3.41,0,0,0,0.04,0,0,9,1.46,22.22,0,0.16,3.08,47.37,1.62,60,1.46,33.33,0.81,1.3,75,5.35,48.48,0.97,1.46,48.65,0.32,1.62,60.81,86.4,16.22,78,11.68,93.06,23.68,89.04,50.43,90.68,7.3,73.33,18.8,29.17,0.06,0.49,0.32,0.32,0.97,66.67,0.32,8.59,81.13,5.19,56.25,1.46,55.56,1.46,1.14,9.41,86.21,0,,0,,0,0,0,0,,,0.32,,,0.97,0.49,33.33,2.43,0,0
