Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Kova?evi?,Raków Cz?stochowa,Raków Cz?stochowa,GK,25,8000000,2026-06-30,28,2732,0,0,0,0,0.63,73.68,Bosnia and Herzegovina,"Bosnia and Herzegovina, Serbia",right,192,81,no,2.04,0.07,0,0.3,88.89,0,0,0,2.04,3.04,0.07,2,0.07,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.13,100,0,0,11.63,0.23,0.1,17.69,87.71,9.92,80.73,0,0,7.02,97.18,12.45,97.09,5.24,65.41,27.49,44.25,0,0,0.03,0,0,0,0,1.55,57.45,0.1,0,0.1,0,0,0,4.38,72.18,17,0.56,72,2.37,16,76.39,19.36,0.64,2.36,0.078,0,1.25,0.3,,,,0,0,0
M. Skóra?,Club Brugge,Lech Pozna?,"LAMF, RW, LW",23,6000000,2026-06-30,32,2457,9,6.56,4,3.66,20.92,44.13,Poland,Poland,right,172,64,no,5.46,5.57,49.34,1.32,16.67,0.26,0.43,0,2.45,4.12,1.72,6,0.22,0,0,5.05,0.33,9,0.33,0.24,0,0,75,2.75,40,12,0.15,2.42,28.79,1.21,21.21,1.21,36.36,0.37,4.69,64.06,11.98,47.4,3.55,3.48,24.58,2.16,2.16,31.21,80.52,6.67,74.18,7.07,91.71,10.81,79.32,27.47,85.33,1.5,73.17,18.11,23.16,0.13,1.21,0.04,0.04,0.81,31.82,0.7,2.31,68.25,3.81,54.81,0.88,37.5,1.65,0.7,4.07,85.59,0,,0,,0,0,0,0,,,0.04,,,0.04,0.04,0,0.22,0,0
K. Tobiasz,Legia Warszawa,Legia Warszawa,GK,20,4000000,2026-06-30,27,2697,0,0,0,0,0.53,81.25,Poland,Poland,left,191,80,no,1.87,0.1,100,0.23,85.71,0,0,0,1.77,3.04,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,50,0,0,15.92,0.3,0.13,23.46,83.5,12.88,74.35,0,0,9.91,95.29,14.52,97.47,8.88,61.28,31.03,45.39,0,0,0,0,0,0,0,1.6,31.25,0.13,0,0.13,0,0,0,5.67,61.76,30,1,96,3.2,9,68.75,27.75,0.93,-2.25,-0.075,0,0.97,0.23,,,,0,0,0
Ivi López,Raków Cz?stochowa,Raków Cz?stochowa,"RWF, LWF",29,3500000,2026-06-30,27,2029,9,10.16,5,8.02,17.96,44.44,Spain,Spain,right,174,70,no,4.92,3.77,69.41,1.29,27.59,0.18,0.27,0.09,2.13,3.19,0.58,3,0.13,0,0,5.5,0.4,5,0.22,0.45,0,0,87,3.86,33.33,10.345,0.22,3.42,45.45,1.51,55.88,1.86,35.71,0.49,4.35,52.04,10.78,39.51,4.08,2.35,28.39,1.55,1.2,36.9,77.52,10.91,69.11,6.03,94.85,12.86,79.66,30.96,83.09,2.66,53.33,18.63,35.6,0.36,2.08,0,0,1.2,33.33,0.53,4.75,64.49,5.19,58.12,1.46,42.42,2,1.6,6.12,84.06,0,,0,,0,0,0,0,,,0.13,,,1.95,1.06,33.33,4.39,4,100
F. Tudor,Raków Cz?stochowa,Raków Cz?stochowa,"RWB, RCB",27,3000000,2027-06-30,31,2695,2,2.47,5,4.91,17.8,51.22,Croatia,Croatia,right,173,68,no,8.95,6.28,59.57,2.81,50,0.27,0.38,0.27,4.94,7.07,1.1,7,0.23,1,0.03,3.14,0.07,2,0.07,0.08,0,0,13,0.43,53.85,15.385,0.17,3.11,34.41,0.03,100,3.04,32.97,0.37,3.01,51.11,5.84,48.57,1.67,2.17,32.79,1.64,1.47,46.12,76.39,17.9,65.86,6.28,94.68,15.73,80.04,37.84,84.82,5.41,38.89,19.55,37.93,0.16,1.04,0.03,0,0.83,36,0.67,6.88,60.68,4.51,42.22,1.6,22.92,1.24,1.17,9.38,71.53,0,,0,,0,0,0,0,,,0.6,,,0.27,0.07,100,0,0,0
M. Ishak,Lech Pozna?,Lech Pozna?,CF,30,3000000,2025-06-30,23,1887,11,13.93,4,1.93,12.93,39.11,Sweden,"Sweden, Syria",right,184,81,no,2.34,1.96,41.46,3.48,39.73,0.05,0.08,0.14,1.48,2.42,0.72,4,0.19,0,0,2.58,0.52,7,0.33,0.66,1,0.05,51,2.43,56.86,21.569,0.19,0.91,31.58,0.19,25,0.62,38.46,0.14,1,71.43,5.2,43.12,4.29,0.57,14.12,1.76,1.29,18.17,76.64,3.29,59.42,5.44,90.35,5.63,77.12,16.79,78.98,0.62,61.54,16.01,19.5,0.09,0.86,0,0,0.57,33.33,0.52,1.57,72.73,1.34,53.57,0.48,30,0.86,0.29,1.57,72.73,0,,0,,0,0,0,0,,,0.05,,,0,0,0,0,6,66.667
M. Nawrocki,Celtic,Legia Warszawa,"RCB, LCB",22,2500000,2025-06-30,25,2204,4,2.57,1,0.12,12.05,59.66,Germany,"Germany, Poland",both,192,74,no,7.6,4.94,61.16,3.55,64.37,0.08,0.14,0.57,4.49,7.57,0.82,4,0.16,0,0,0.86,0.16,4,0.16,0.11,3,0.12,22,0.9,31.82,18.182,0.04,0.33,0,0.04,0,0.29,0,0,0.78,68.42,1.67,58.54,0.98,1.76,37.08,0.86,0.2,49.33,86.84,20.78,77.8,3.96,93.81,18.62,93.86,44.59,91.58,4.45,44.95,19.71,38.31,0,0.2,0,0,0.33,12.5,0.04,6.45,65.82,0.94,30.43,0.57,7.14,0.25,0.04,7.92,72.68,0,,0,,0,0,0,0,,,1.43,,,0,0,0,0,0,0
S. W?odarczyk,Sturm Graz,Górnik Zabrze,CF,20,2500000,2025-06-30,30,1638,9,7.91,0,0.93,23.57,31.93,Poland,Poland,right,189,78,no,3.85,4.29,50,7.69,30,0.16,0.25,0.05,1.54,2.3,1.59,4,0.22,0,0,2.14,0.49,5,0.27,0.43,1,0.05,41,2.25,43.9,21.951,0,0.82,6.67,0.44,12.5,0.38,0,0,1.98,50,7.64,24.46,3.63,0.77,12.03,1.43,0.6,16.43,66.89,2.69,53.06,4.78,82.76,4.67,58.82,14.78,70.26,1.1,55,15.8,19.6,0.05,0.38,0,0,0.16,66.67,0.11,1.32,58.33,0.88,68.75,0.11,50,0.77,0,1.26,52.17,0,,0,,0,0,0,0,,,0.05,,,0,0,0,0,4,100
J. Karlström,Lech Pozna?,Lech Pozna?,"LDMF, LCMF, RDMF",28,2500000,2026-06-30,31,2464,1,1.9,0,1.4,19.54,50.65,Sweden,Sweden,right,182,81,no,9.02,5.59,61.44,2.52,52.17,0.26,0.42,0.26,5.33,8.83,1.42,6,0.22,0,0,2.16,0.04,1,0.04,0.07,0,0,28,1.02,35.71,3.571,0,1.1,36.67,0.51,21.43,0.55,46.67,0.15,1.94,62.26,8.77,43.33,1.53,0.95,40.62,0.4,1.35,56.8,85.92,15.67,72.49,9.31,96.47,23.01,90.16,50.37,90.43,5.37,53.06,18.44,37,0.05,0.69,0.11,0,0.47,38.46,0.26,8.66,75.11,1.68,50,0.88,33.33,0.84,0.44,7.38,78.71,0,,0,,0,0,0,0,,,0.51,,,0.07,0.07,50,0.07,0,0
F. Szymczak,Lech Pozna?,Lech Pozna?,"CF, RAMF, AMF",21,2000000,2027-06-30,21,1300,2,3.81,1,1.31,26.72,35.75,Poland,Poland,right,187,84,no,4.5,4.43,51.56,4.64,37.31,0.28,0.44,0.14,1.94,3.07,1.8,3,0.21,0,0,3.74,0.14,2,0.14,0.26,1,0.07,33,2.28,33.33,6.061,0.07,0.69,40,0.28,0,0.42,66.67,0.14,4.85,52.86,14.4,31.73,4.29,2.28,10.8,1.25,0.9,18.28,79.55,3.67,67.92,4.85,92.86,5.88,81.18,17.17,81.05,0.42,83.33,13.72,7.12,0.09,0.69,0.07,0,0.55,25,0.55,1.38,75,0.97,64.29,0.55,25,0.76,0.28,1.59,82.61,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
