Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
David Carmo,Porto,Porto II,"LCB, CB",23,16000000,2027-06-30,3,293,0,0.8,0,0,11.67,50,Portugal,Portugal,left,196,89,no,5.22,3.99,30.77,7.06,65.22,0,0,0,3.99,7.5,1.84,0,0,0,0,0.31,0,0,0,0.25,0,0,4,1.23,25,0,0,0,0,0,0,0,0,0,0.31,0,0.31,0,1.54,0.31,42.7,0.31,0,59.9,88.21,20.89,72.06,2.15,85.71,31.95,97.12,51.91,94.67,7.99,46.15,23.26,47.38,0,0,0,0,0.31,0,0,11.37,56.76,1.23,25,0.92,66.67,0.61,0,8.29,85.19,0,,0,,0,0,0,0,,,1.84,,,0,0,0,0,0,0
A. Schjelderup,Benfica,Benfica II,"LAMF, LW, LWF",19,9000000,2028-06-30,5,334,1,0.88,0,0.65,18.05,56.72,Norway,Norway,right,172,66,no,4.31,3.77,85.71,2.43,44.44,0,0,0,1.08,1.46,0.27,0,0,0,0,4.85,0.27,1,0.27,0.24,0,0,3,0.81,33.33,33.333,0,0.27,0,0.27,0,0,0,0,5.12,78.95,9.43,60,0.81,2.16,16.17,1.08,1.08,22.37,85.54,3.23,83.33,6.47,91.67,5.93,77.27,21.83,87.65,0.27,0,13.34,5.75,0.18,0.81,0,0,0.81,66.67,0.27,0.81,100,1.35,40,0.54,100,0.81,0.27,2.43,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
Henrique Araújo,Watford,Benfica II,"CF, LCMF",21,4500000,2027-06-30,6,587,4,3.89,2,0.35,19.63,28.91,Portugal,Portugal,right,182,75,yes,1.07,1.23,25,6.13,35,0,0,0.15,0.77,1.17,0.77,1,0.15,0,0,3.68,0.61,4,0.61,0.6,1,0.15,20,3.07,65,20,0.31,0,0,0,0,0,0,0,2.61,47.06,9.51,25.81,3.68,1.07,12.73,1.38,1.38,18.71,82.79,3.83,68,7.67,86,2.91,84.21,18.55,82.64,0.15,100,13.9,6.89,0.05,0.92,0,0.15,1.07,42.86,0.46,1.99,76.92,1.07,57.14,0.92,50,0.61,0,1.38,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,0
Paulo Bernardo,Paços de Ferreira,Benfica II,"RCMF, LCMF",21,3000000,2027-06-30,9,678,1,1.67,0,0.53,18.19,47.45,Portugal,Portugal,right,180,78,yes,6.11,7.04,47.17,1.33,30,0.27,0.39,0,2.52,3.68,2.39,4,0.53,0,0,1.59,0.13,1,0.13,0.22,0,0,10,1.33,30,10,0,0.66,40,0.13,0,0.53,50,0.27,1.06,75,6.77,52.94,1.33,1.06,29.34,0.53,2.79,37.83,88.07,9.82,79.73,7.04,96.23,15.4,91.38,34.12,92.61,3.19,50,19.17,35.32,0.07,0.8,0.13,0.13,0.53,25,0.27,6.77,78.43,1.33,30,0.66,40,0.4,0.27,5.84,79.55,0,,0,,0,0,0,0,,,0.27,,,0.27,0,0,0.66,0,0
Wilson Manafá,Porto,Porto II,RB,28,3000000,,8,706,0,0.04,1,1.15,18.48,51.03,Portugal,"Portugal, Guinea-Bissau",right,175,72,no,10.07,7.65,61.67,1.27,80,0,0,0.38,5.35,7.78,1.27,2,0.25,0,0,3.19,0,0,0,0,0,0,1,0.13,100,0,0.13,2.42,42.11,0.13,0,2.29,44.44,0.51,3.57,46.43,7.78,39.34,1.27,2.04,26.52,0.64,1.15,38.12,80.94,14.28,77.68,6.12,95.83,10.96,83.72,32.25,86.17,3.57,57.14,18.05,34.76,0.15,0.89,0,0,0.76,50,0.51,7.52,77.97,2.17,41.18,0.89,57.14,0.51,1.02,9.94,80.77,0,,0,,0,0,0,0,,,0.38,,,0,0,0,0,0,0
Gonçalo Borges,Porto II,Porto II,"LAMF, LW, LWF",22,2000000,2027-06-30,17,1427,5,4.62,2,3.72,24.98,43.94,Portugal,Portugal,right,184,77,no,2.27,2.71,44.19,0.88,21.43,0.13,0.18,0.06,0.95,1.35,1.07,2,0.13,0,0,8.77,0.32,5,0.32,0.29,0,0,60,3.78,21.67,8.333,0.13,4.6,35.62,2.46,33.33,2.14,38.24,0.63,10.78,57.31,19.3,46.73,5.11,4.48,15.26,2.08,1.7,22.96,75,3.53,73.21,7.38,94.02,7.63,61.98,17.91,85.92,0.63,40,17.57,15.1,0.23,1.26,0,0,0.38,33.33,0.69,0.5,87.5,2.84,55.56,0.32,20,0.76,1.51,2.96,85.11,0,,0,,0,0,0,0,,,0,,,0.06,0,0,0,0,0
Bruno Costa,Porto,Porto II,"LCMF, LDMF",26,2000000,2024-06-30,15,1367,3,3.06,2,3.1,16.06,50,Portugal,Portugal,right,174,68,no,5.53,5.27,57.5,1.05,37.5,0.13,0.19,0.13,2.37,3.41,1.19,5,0.33,0,0,2.5,0.2,0,0,0.2,0,0,23,1.51,47.83,13.043,0.13,0.86,46.15,0.33,20,0.53,62.5,0.07,2.77,42.86,7.57,46.96,0.4,1.45,36.01,0.53,2.37,46.02,90.41,14.29,80.18,5.6,97.65,18.24,94.22,40.89,93.56,4.28,69.23,17.69,38.66,0.2,1.45,0,0,0.4,50,0.13,7.18,77.98,2.17,54.55,0.92,35.71,0.86,0.4,7.04,89.72,0,,0,,0,0,0,0,,,0.26,,,2.83,0.59,33.33,4.67,3,100
Samuel Soares,Benfica,Benfica II,GK,21,2000000,2027-06-30,20,1957,0,0.02,1,0,1.43,77.42,Portugal,Portugal,right,190,94,no,2.07,0.14,33.33,0.78,82.35,0,0,0.05,2.02,2.93,0,4,0.18,0,0,0.14,0,0,0,0,0,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0.14,100,0.37,100,0,0,17.34,0.05,0.28,25.85,83.27,13.29,70.59,0.05,100,11.45,97.19,17.57,97.12,8.14,54.8,33.11,53.09,0,0,0,0,0,0,0,2.9,33.33,0.46,0,0.28,33.33,0,0,5.79,65.08,32,1.47,110,5.06,5,70.91,30.41,1.4,-1.59,-0.073,0,2.16,0.78,,,,0,0,0
Arthur Chaves,Academico Viseu,Academico Viseu,LCB,22,1750000,2027-06-30,26,2504,1,1.44,0,0,16.79,54.39,Brazil,Brazil,right,188,81,no,10.85,7.19,62.5,6.61,49.46,0.29,0.44,0.61,6.07,9.23,1.51,9,0.32,0,0,0.29,0.04,1,0.04,0.05,1,0.04,9,0.32,33.33,11.111,0,0,0,0,0,0,0,0,0.25,71.43,0.97,51.85,0.54,0.4,29.44,0.11,0.4,42.92,89.95,12.4,73.33,2.55,97.18,25.63,97.9,39.39,93.8,3.52,46.94,22.3,36.44,0,0,0.04,0.04,0.11,0,0,2.73,59.21,0.11,33.33,0.18,20,0.04,0,4.78,60.9,0,,0,,0,0,0,0,,,2.01,,,0,0,0,0,0,0
Vasco Sousa,Porto II,Porto II,"AMF, RDMF, CF",20,1500000,2025-06-30,30,2263,1,3.07,1,1.67,23.31,48.46,Portugal,Portugal,right,162,56,no,9.07,8.99,56.64,1.47,32.43,0.56,0.83,0.12,3.42,5.11,2.7,6,0.24,0,0,1.31,0.04,1,0.04,0.12,0,0,31,1.23,22.58,3.226,0.04,0.24,0,0.04,0,0.2,0,0,1.39,48.57,8.35,43.81,1.47,0.6,27.48,0.56,3.22,39.65,87.56,10.26,75.58,8.47,96.71,11.22,90.07,36.63,90.45,2.78,57.14,15.47,30.59,0.07,0.44,0.04,0.04,0.76,47.37,0.2,5.05,77.17,1.59,55,0.99,44,0.87,0,4.81,70.25,0,,0,,0,0,0,0,,,0.28,,,0,0,0,0.28,0,0
