Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Roger Fernandes,Sporting Braga II,Sporting Braga II,"RWF, RW, LWB",17,3500000,2024-06-30,26,1775,1,2.46,4,2.08,25.76,42.32,Guinea-Bissau,"Guinea-Bissau, Portugal",left,170,63,no,8.57,7.55,55.7,2.48,38.78,0.41,0.54,0.05,3.95,5.25,1.62,4,0.2,1,0.05,4.41,0.05,1,0.05,0.12,0,0,40,2.03,20,2.5,0.2,3.04,35,1.62,34.38,1.42,35.71,0.61,6.79,40.3,13.28,37.02,1.57,2.54,15.92,1.98,2.23,24.59,74.23,6.44,63.78,5.98,91.53,7.91,69.23,19.57,82.38,2.38,55.32,18.58,25.87,0.11,0.81,0,0,0.3,66.67,0.3,2.84,62.5,3.09,37.7,0.51,20,0.51,0.81,3.75,78.38,0,,0,,0,0,0,0,,,0.25,,,0.2,0,0,0.25,0,0
Gonçalo Esteves,Sporting CP,Sporting CP II,RB,19,2500000,2024-06-30,10,778,0,0.24,0,0.62,21.63,54.55,Portugal,Portugal,right,171,73,no,10.76,9.25,60,1.62,50,1.04,1.69,0,4.16,6.75,1.04,1,0.12,0,0,3.47,0,0,0,0.03,0,0,10,1.16,40,0,0,2.08,33.33,0.12,100,1.97,29.41,0.12,4.16,52.78,8.33,50,0.46,4.63,23.71,1.74,2.43,32.97,82.11,11.8,73.53,5.21,97.78,10.76,84.95,28.11,90.12,2.89,36,18.93,28.39,0.07,0.46,0,0,0.23,50,0.23,5.44,74.47,1.85,50,0.35,33.33,0.35,0.69,6.83,77.97,0,,0,,0,0,0,0,,,0.35,,,0,0,0,0,0,0
Dário Essugo,Sporting CP II,Sporting CP II,"DMF, RDMF",18,2000000,2025-06-30,12,944,0,0.15,1,0.32,20.66,60.2,Portugal,"Portugal, Angola",right,178,79,no,10.54,7.48,71.83,2.63,72,0.63,1.07,0,4.53,7.63,1.9,5,0.48,1,0.1,2,0,0,0,0.02,0,0,5,0.53,20,0,0.11,0,0,0,0,0,0,0,2.32,63.64,6.11,46.55,1.16,1.05,25.71,0.32,0.84,40.57,84.94,11.49,64.22,5.69,94.44,18.34,94.83,36.67,88.51,3.9,51.35,19.73,34.19,0.03,0.42,0.21,0,0.53,80,0.32,4.74,64.44,1.26,50,0.63,33.33,0.53,0,5.16,65.31,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0,0,0
José Marsà,Sporting Gijón,Sporting CP II,"RCB, LB, LCB",21,2000000,2024-06-30,5,487,0,0.22,1,0.05,14.41,53.85,Spain,Spain,left,185,68,yes,7.02,4.07,50,2.77,73.33,0.18,0.32,0.37,4.8,8.39,0.74,0,0,0,0,1.85,0,0,0,0.04,0,0,3,0.55,33.33,0,0.18,1.48,25,1.48,25,0,0,0.18,1.85,60,5.17,50,1.29,1.66,44.54,0.74,0.92,62.65,88.79,16.63,74.44,4.62,100,35.3,93.19,54.52,94.24,6.65,58.33,22.72,40.17,0.01,0.18,0,0,0.18,100,0.18,7.21,69.23,2.03,36.36,0.37,0,0.18,0.37,9.61,76.92,0,,0,,0,0,0,0,,,2.96,,,0,0,0,0,0,0
L. Horní?ek,Sporting Braga II,Sporting Braga II,GK,20,2000000,2028-06-30,11,1090,0,0,0,0,0.83,90,Czech Republic,Czech Republic,right,194,95,no,3.47,0.08,100,0.58,100,0,0,0,3.39,4.75,0.08,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0.41,0,17.83,89.81,8.5,79.61,0,0,8.75,100,13.87,97.62,3.96,62.5,27.97,49.18,0,0,0,0,0,0,0,0.58,28.57,0.08,0,0,0,0,0,3.3,70,7,0.58,44,3.63,4,84.09,10.07,0.83,3.07,0.253,0,2.56,0.58,,,,0,0,0
Joelson Fernandes,Hatayspor,Sporting CP II,"LWF, RW, RWF",20,2000000,,11,646,1,0.81,1,1.8,20.9,48.67,Guinea-Bissau,"Guinea-Bissau, Portugal",right,171,63,no,4.46,5.57,47.5,0.42,0,0.14,0.28,0,1.67,3.36,1.67,0,0,0,0,8.08,0.14,1,0.14,0.11,0,0,15,2.09,20,6.667,0.14,4.88,42.86,1.25,33.33,3.62,46.15,1.11,7.94,68.42,13.93,51,1.95,4.32,17.97,3.48,1.25,25.63,77.72,3.34,66.67,9.33,97.01,8.36,68.33,19.78,87.32,1.25,66.67,18.71,27.06,0.25,1.95,0,0,0.28,50,0.84,1.25,77.78,4.46,53.13,0.42,66.67,0.84,1.81,4.04,89.66,0,,0,,0,0,0,0,,,0,,,0.84,0.14,0,0.84,0,0
S. Saatç?,Sporting Braga,Sporting Braga II,"LCB, RCB",20,1500000,2027-06-30,5,327,0,0,0,0,17.61,65.63,Turkey,Turkey,right,190,90,no,11.56,6.88,76,3.3,66.67,0.28,0.42,0,6.06,9.3,2.48,2,0.55,1,0.28,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,40,5.5,55,0.28,3.03,43.49,1.38,2.75,59.45,89.81,26.42,84.38,3.03,90.91,24.77,95.56,55.05,93.5,4.4,43.75,19.48,33.65,0,0,0,0,0.28,100,0,8.81,59.38,0.55,0,1.1,0,0,0,8.53,83.87,0,,0,,0,0,0,0,,,1.1,,,0,0,0,0,0,0
Flávio Nazinho,Sporting CP,Sporting CP II,LB,19,1000000,2024-06-30,12,1033,2,0.74,0,1.01,16.03,59.24,Portugal,"Portugal, Guinea-Bissau",left,179,75,no,9.24,5.05,72.41,1.74,45,0.7,1.24,0,4.88,8.7,0.7,2,0.17,0,0,4.18,0.17,2,0.17,0.06,1,0.09,11,0.96,45.45,18.182,0,3.14,44.44,3.05,42.86,0.09,100,0.61,3.4,69.23,6.53,60,1.22,1.92,25.96,0.78,1.22,37.38,78.09,14.38,68.48,8.1,92.47,9.15,80.95,32.15,84.28,2.53,31.03,18.52,35.92,0.09,0.44,0.09,0,0,0,0.44,3.66,57.14,2.27,65.38,0.26,33.33,0.26,1.39,6.71,66.23,0,,0,,0,0,0,0,,,0.7,,,0.52,0.17,50,0.87,0,0
Hélder Sá,Vitória Guimarães,Vitória Guimarães II,LB,20,600000,2025-06-30,4,398,0,0.31,1,0.86,20.8,47.83,Portugal,Portugal,left,186,75,no,8.37,7.91,60,2.26,20,0,0,0.23,3.62,6.58,0.9,0,0,0,0,3.62,0,0,0,0.07,0,0,7,1.58,42.86,0,0.23,1.81,50,1.81,50,0,0,0.23,4.07,50,8.82,43.59,0.23,2.04,26.46,1.58,1.13,42.29,80.75,17.86,69.62,6.78,93.33,12.21,88.89,35.05,85.81,5.43,58.33,20.15,39.35,0.19,2.04,0.23,0,0.23,0,0.45,9.27,68.29,3.17,42.86,0.45,50,0.9,0.68,8.82,76.92,0,,0,,0,0,0,0,,,0.9,,,1.81,0.68,66.67,3.62,0,0
Chico Lamba,Sporting CP II,Sporting CP II,"RCB, LCB",20,500000,2024-06-30,7,492,0,0.26,1,0.23,13.56,54.05,Guinea-Bissau,"Guinea-Bissau, Portugal",right,189,81,no,5.5,2.38,61.54,4.77,57.69,0.18,0.38,0.92,3.85,7.97,1.1,3,0.55,1,0.18,0.37,0,0,0,0.05,0,0,3,0.55,0,0,0.18,0,0,0,0,0,0,0,0.55,33.33,3.3,55.56,0.73,2.02,49.86,0.37,1.28,67.82,87.57,25.11,73.72,3.85,100,36.11,96.95,59.02,93.48,8.8,47.92,25.67,37.95,0.04,0.18,0,0,0.18,100,0.18,11.73,60.94,1.65,11.11,1.65,22.22,0.18,0,10.45,85.96,0,,0,,0,0,0,0,,,2.75,,,0,0,0,0,0,0
