Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Olaru,FCS Bucure?ti,FCS Bucure?ti,"LCMF, AMF",25,5300000,2028-06-30,37,3190,1,3.12,6,7.99,22.15,47.9,Romania,Romania,right,177,71,no,6.24,5.95,54.98,2.65,44.68,0.23,0.36,0.11,2.74,4.32,1.61,5,0.14,0,0,4.06,0.03,1,0.03,0.09,0,0,53,1.5,16.98,1.887,0.17,2.6,40.22,1.97,41.43,0.59,33.33,0.54,3.67,65.38,9.28,50.46,1.97,2.12,33.07,1.3,2.85,47.71,75.99,16.36,66.55,4.97,90.91,18.11,80.84,38.96,80.23,6.38,62.83,20.15,36.39,0.23,1.78,0.11,0.03,0.99,37.14,1.04,9.08,68.01,3.92,54.68,1.78,31.75,1.75,1.1,9.06,79.44,0,,0,,0,0,0,0,,,0.06,,,0.68,0.03,0,0.39,0,0
A. Burc?,Al Akhdoud,CFR Cluj,LCB,30,4000000,2024-06-01,28,2649,0,1.87,1,0.4,13.69,67,Romania,Romania,right,188,78,no,8.32,5.13,76.82,4.52,63.16,0.48,0.64,0.61,3.91,5.25,0.95,7,0.24,1,0.03,0.34,0,0,0,0.06,0,0,17,0.58,35.29,0,0.03,0.24,14.29,0.2,16.67,0.03,0,0.1,0.14,75,1.43,50,0.61,0.37,16.85,0.27,0.68,29.63,78.33,13.83,69.04,2,98.31,11.82,86.49,21.06,85.97,8.32,60.82,25.46,40.71,0.01,0.31,0.07,0,0,0,0,6.59,57.73,0.65,21.05,0.51,20,0.14,0.03,8.26,73.25,0,,0,,0,0,0,0,,,1.73,,,0.14,0,0,0,0,0
Oc. Popescu,FCS Bucure?ti,FCS Bucure?ti,"LW, LWF, LCMF",20,4000000,2024-06-30,36,2359,4,3.09,6,7.5,26.52,42.3,Romania,Romania,right,180,66,no,6.22,6.6,57.23,1.37,33.33,0.27,0.45,0.04,2.17,3.67,1.49,5,0.19,1,0.04,5.11,0.15,4,0.15,0.12,0,0,57,2.17,33.33,7.018,0.23,1.45,36.84,0.99,38.46,0.42,36.36,0.11,6.07,52.2,15.15,38.04,2.25,3.09,25.6,1.26,2.48,36.59,78.83,12.32,71.83,7.44,92.31,9.5,77.91,33.19,83.1,2.02,35.85,15.19,21.21,0.29,2.06,0.11,0,1.56,43.9,0.95,5.23,72.99,4.01,60.95,1.79,36.17,2.1,0.53,5.19,82.35,0,,0,,0,0,0,0,,,0.11,,,0.69,0.27,28.57,1.45,0,0
C. Manea,CFR Cluj,CFR Cluj,RB,26,3000000,2024-06-30,31,2779,5,3.59,6,3.51,12.86,56.68,Romania,Romania,right,183,77,no,8.97,4.6,66.9,3.59,55.86,0.55,0.75,0.23,5.34,7.3,0.55,5,0.16,0,0,2.98,0.16,2,0.06,0.12,1,0.03,28,0.91,35.71,17.857,0.19,4.37,39.26,0.06,50,4.31,39.1,0.52,1.62,56,2.53,47.44,1,1.65,21.7,1.59,0.65,33.75,71.31,16.52,69.41,3.69,93.86,9.07,68.57,23.84,81.25,5.83,53.33,21.1,32.7,0.11,0.94,0.03,0.1,0.03,100,0.52,6.35,66.84,3.79,44.44,0.26,50,0.42,1.55,9.97,75,0,,0,,0,0,0,0,,,0.71,,,0.03,0,0,0,3,100
A. Ivan,Universitatea Craiova,Universitatea Craiova,"LAMF, LW, CF",26,2500000,,35,2894,14,11.34,2,3.26,22.3,40.45,Romania,Romania,right,189,81,no,4.2,4.14,51.13,2.36,39.47,0.34,0.58,0.06,1.74,2.96,1.31,4,0.12,0,0,5.47,0.44,9,0.28,0.35,1,0.03,79,2.46,41.77,17.722,0.06,2.52,39.51,1.83,42.37,0.68,31.82,0.16,6.34,50,12.16,39.64,3.55,2.55,16.51,1.9,1.77,23.51,72.62,5.54,57.87,5.85,90.43,7.15,70.87,19.56,77.74,1.49,60.42,16.9,24.77,0.1,1.12,0.03,0,0.62,45,0.31,1.8,53.45,3.05,48.98,0.65,28.57,1.18,0.9,3.33,78.5,0,,0,,0,0,0,0,,,0.06,,,0.22,0.09,66.67,0.25,6,83.333
A. Cordea,FCS Bucure?ti,FCS Bucure?ti,"RW, RWF, RAMF",24,2500000,2025-06-30,37,2699,7,6.14,4,5.14,21.71,43.93,Romania,Romania,left,180,75,no,4.54,4.64,54.68,1.03,29.03,0.13,0.23,0.03,1.87,3.19,1.23,6,0.2,0,0,5.3,0.23,7,0.23,0.2,1,0.03,63,2.1,38.1,11.111,0.13,2.43,30.14,0.27,62.5,2.17,26.15,0.5,5.64,62.72,12.57,43.5,3.5,3.4,19.57,1.77,1.77,27.08,75.37,6.44,64.25,8.5,91.76,6.1,71.04,23.98,81.08,0.8,37.5,15.07,18.57,0.17,1.67,0,0.03,0.57,41.18,0.57,1.87,60.71,2.23,50.75,0.53,31.25,1.07,0.6,2.83,77.65,0,,0,,0,0,0,0,,,0.03,,,0.77,0.1,0,2.83,0,0
F. Coman,FCS Bucure?ti,FCS Bucure?ti,"LW, LWF, LAMF",25,2500000,2028-06-30,35,2417,8,6.08,7,7.7,21.86,43.1,Romania,Romania,right,182,72,no,4.1,3.24,59.77,1.75,40.43,0.19,0.3,0.04,1.97,3.14,1.08,6,0.22,0,0,5.55,0.3,8,0.3,0.23,0,0,70,2.61,40,11.429,0.26,1.97,39.62,1.56,35.71,0.34,55.56,0.41,7,50,14.26,41.51,4.43,3.02,19.7,1.68,1.79,28.3,77.11,7.63,66.83,5.55,90.6,8.34,80.36,24.69,80.69,1.68,68.89,14.79,26.01,0.29,1.82,0.11,0,0.48,46.15,0.93,2.9,65.38,2.53,54.41,0.63,35.29,1.86,0.71,4.39,78.81,0,,0,,0,0,0,0,,,0,,,0.97,0.45,25,2.16,0,0
Nana Boateng,Jeonbuk Motors,CFR Cluj,RCMF,29,2200000,2024-06-30,33,2987,3,2.84,1,1.63,21.03,51.86,Ghana,Ghana,right,180,72,no,12.72,8.2,64.34,3.59,43.7,0.87,1.19,0.33,6.57,8.93,1.3,6,0.18,0,0,1.84,0.09,3,0.09,0.09,1,0.03,38,1.14,15.79,7.895,0.03,1.27,35.71,0.15,20,1.08,38.89,0.15,1.57,71.15,5.63,44.39,1.33,0.72,28.29,0.72,1.3,45.47,81.05,14.67,72.69,5.57,87.57,17.51,87.09,40.28,84.67,4.04,58.96,18.72,36.41,0.05,0.66,0.06,0.03,0.45,20,0.18,8.14,72.22,1.75,50,0.6,40,0.69,0.3,7.86,74.71,0,,0,,0,0,0,0,,,0.54,,,0,0,0,0,0,0
T. B?lu??,Farul Constan?a,Farul Constan?a,"DMF, RCMF",24,2000000,2024-06-30,32,2446,6,2.69,3,2.69,15.05,50.12,Romania,Romania,right,192,81,no,9.31,6,53.99,2.91,58.23,0.77,1.07,0.37,5.3,7.35,1.43,6,0.22,0,0,1.43,0.22,6,0.22,0.1,1,0.04,45,1.66,28.89,13.333,0.11,0.55,13.33,0.15,25,0.4,9.09,0.15,1.47,37.5,3.27,37.08,0.96,0.66,30.39,0.59,0.52,45.85,78.33,17.07,65.73,4.64,92.86,18.03,88.16,38.16,83.9,7.25,52.79,20.51,35.35,0.1,0.85,0,0.04,0.77,42.86,0.48,8.87,66.39,1.95,35.85,1.29,25.71,0.85,0.07,9.53,76.83,0,,0,,0,0,0,0,,,0.55,,,0.15,0,0,0.04,0,0
C. Petrila,Rapid Bucure?ti,CFR Cluj,"LW, CF, RWF",22,2000000,2025-06-30,39,2313,3,4.69,4,5.03,16.93,43.22,Romania,Romania,right,176,67,yes,4.4,3.5,60,1.63,40.48,0.23,0.32,0.04,2.06,2.78,0.54,5,0.19,0,0,3.66,0.12,3,0.12,0.18,0,0,48,1.87,35.42,6.25,0.16,1.87,35.42,1.28,33.33,0.58,40,0.31,5.25,38.52,9.96,37.89,2.45,2.14,22.65,1.32,1.71,30.27,75.96,8.21,67.3,7,92.22,8.95,73.04,26.42,81.59,2.06,37.74,15.03,20.38,0.2,1.75,0.12,0.08,0.58,53.33,0.54,2.8,61.11,3.07,50.63,0.86,40.91,1.28,0.74,4.79,75.61,0,,0,,0,0,0,0,,,0.08,,,1.09,0.19,40,1.79,0,0
