Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Barseghyan,Slovan Bratislava,Slovan Bratislava,"RAMF, RW, AMF",29,2200000,2024-06-30,26,1264,5,4.17,2,3.06,23,51.7,Armenia,Armenia,left,179,77,no,4.91,5.34,54.67,1.92,29.63,0.21,0.3,0,1.78,2.53,1.57,1,0.07,0,0,7.12,0.36,4,0.28,0.3,1,0.07,47,3.35,36.17,10.638,0.14,3.28,28.26,0.93,15.38,2.14,33.33,0.64,6.05,69.41,12.75,58.66,3.7,3.13,28.05,1.21,2.92,40.02,74.02,11.68,60.98,6.62,91.4,13.96,74.49,33.39,81.88,3.42,39.58,16.92,27.61,0.22,1.78,0,0,1.35,57.89,0.93,5.41,57.89,5.27,47.3,1.57,45.45,2.49,0.93,6.62,79.57,0,,0,,0,0,0,0,,,0.21,,,0.93,0.28,0,2.49,1,100
G. Chakvetadze,Gent,Slovan Bratislava,"AMF, LAMF, CF",23,2200000,2024-06-30,25,1751,1,1.84,5,5.88,21.74,49.65,Georgia,Georgia,right,183,78,no,2.83,3.29,48.44,0.77,26.67,0,0,0,1.23,1.86,0.62,0,0,0,0,7.81,0.05,1,0.05,0.09,0,0,28,1.44,35.71,3.571,0.26,3.65,46.48,2.72,47.17,0.87,47.06,0.57,7.61,66.89,16.19,52.38,3.85,6.22,24.98,1.03,1.75,37.42,84.75,8.07,78.98,7.5,95.89,14.29,82.01,30.63,91.28,3.19,66.13,18.4,31.29,0.3,2.31,0,0.05,1.08,47.62,0.98,4.57,82.02,3.91,60.53,1.08,28.57,1.85,1.54,5.71,90.99,0,,0,,0,0,0,0,,,0.05,,,0.36,0,0,2.67,0,0
J. Zmrhal,Slovan Bratislava,Slovan Bratislava,"LB, LW, RAMF",29,1700000,2024-06-30,25,1420,3,2.91,1,1.32,12.68,52.5,Czech Republic,Czech Republic,left,189,82,no,4.63,3.36,66.04,3.42,48.15,0.13,0.18,0,2.28,3.2,0.32,0,0,0,0,2.47,0.19,3,0.19,0.18,0,0,21,1.33,42.86,14.286,0.06,2.66,45.24,2.28,44.44,0.38,50,0.13,1.08,52.94,3.36,54.72,1.96,1.71,24.02,1.65,1.08,33.72,71.05,13.25,62.68,6.34,91,9.89,66.67,27.95,76.87,3.17,40,17.31,31.63,0.08,1.27,0.13,0,0.51,25,0.63,6.02,57.89,3.93,46.77,0.7,45.45,0.7,1.2,7.99,75.4,0,,0,,0,0,0,0,,,0.25,,,0,0,0,0.13,0,0
J. Kucka,Slovan Bratislava,Slovan Bratislava,"RDMF, RCMF, LCMF",36,1500000,2024-06-30,28,2219,6,4.61,0,1.39,20.16,63.58,Slovakia,Slovakia,right,186,83,no,11.23,7.06,72.41,3.93,69.07,0.41,0.57,0.37,5.72,8.03,1.34,4,0.16,0,0,2.72,0.24,6,0.24,0.19,2,0.08,51,2.07,43.14,11.765,0,0.73,11.11,0.12,33.33,0.61,6.67,0.12,2.15,67.92,6.08,54,2.35,1.14,25.11,0.69,2.43,39.22,81.18,12.53,69.58,7.06,93.68,13.22,84.97,35.16,86.16,3.33,43.9,18.53,32.3,0.06,0.49,0.04,0.04,0.45,63.64,0.08,5.35,72.73,1.78,50,0.89,36.36,0.85,0.12,7.06,70.11,0,,0,,0,0,0,0,,,0.61,,,0.2,0.2,20,0,0,0
Ž. Gavri?,DAC,DAC,"LAMF, LWF",22,1200000,2025-06-30,15,1200,2,2.56,1,1.57,22.31,47.55,Bosnia and Herzegovina,"Bosnia and Herzegovina, Serbia",right,181,74,yes,4.99,4.52,48.28,1.33,52.94,0.16,0.24,0.08,2.65,4.02,1.09,1,0.08,0,0,5.15,0.15,2,0.16,0.2,1,0.08,24,1.87,37.5,8.333,0.08,1.25,37.5,0.86,18.18,0.31,75,0.08,5.23,70.15,14.58,49.2,2.73,2.81,24.18,1.25,2.5,37.2,83.65,8.66,70.27,10.29,90.91,11.39,86.3,34.39,87.3,1.56,40,15.37,33.27,0.12,1.33,0.16,0,0.62,50,0.7,3.2,75.61,2.34,53.33,0.7,33.33,1.33,0.39,4.45,63.16,0,,0,,0,0,0,0,,,0.23,,,0.31,0.23,0,0.62,0,0
Z. Kalmár,DAC,DAC,"AMF, LCMF",27,1000000,2025-06-30,26,1338,8,4.74,3,2.35,20.52,40.68,Hungary,Hungary,right,185,81,no,5.29,6.05,49.43,1.46,42.86,0.07,0.11,0.07,2.23,3.5,2.16,9,0.61,0,0,3.27,0.54,6,0.42,0.33,0,0,32,2.23,50,21.875,0.21,1.11,25,0.56,25,0.56,25,0.28,3.27,48.94,10.71,37.01,2.09,1.32,35.47,1.32,1.81,44.3,87.28,13.7,82.23,8.14,95.73,15.37,89.59,40.97,90.32,2.3,60.61,17.62,25.99,0.16,1.67,0.07,0.07,0.56,50,0.28,7.16,83.5,2.09,56.67,0.56,37.5,1.04,0.28,7.44,88.79,0,,0,,0,0,0,0,,,0.56,,,1.88,0.7,30,3.76,2,50
I. Nicol?escu,Beitar Jerusalem,DAC,"CF, AMF",24,1000000,2024-06-30,9,297,1,1.96,1,0.08,21.21,40,Moldova,Moldova,both,184,83,no,4.85,3.94,76.92,3.64,25,0.3,0.52,0.3,1.52,2.59,1.21,0,0,0,0,4.55,0.3,1,0.3,0.6,0,0,13,3.94,53.85,7.692,0.3,0,0,0,0,0,0,0,3.64,66.67,9.7,34.38,4.85,2.42,10.3,0.61,0.91,15.15,82,3.33,81.82,3.33,81.82,6.36,80.95,14.24,82.98,0.91,66.67,15.46,15.46,0.03,0.3,0,0.3,0.61,0,0.3,1.82,83.33,0.91,33.33,0.3,0,0.61,0,1.82,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
N. Krstovi?,DAC,DAC,CF,23,1000000,2027-06-30,27,2166,18,15,2,1.78,27.75,36.41,Montenegro,"Montenegro, Serbia",right,185,87,no,3.34,2.47,57.89,3.51,39.51,0.13,0.19,0.13,1.78,2.65,1.21,7,0.29,0,0,6.2,0.75,17,0.74,0.65,4,0.17,118,5.12,46.61,14.407,0.09,0.82,36.84,0.3,42.86,0.48,27.27,0.13,5.55,54.69,16.95,35.04,6.37,2.64,15.91,1.99,1.26,23.15,72.66,5.94,62.77,4.9,86.73,6.59,75.66,21.24,74.08,1.08,72,15.65,25.77,0.08,1.04,0.09,0,1.13,42.31,0.48,2.77,59.38,1.73,60,1,39.13,1.34,0.3,2.25,86.54,0,,0,,0,0,0,0,,,0.04,,,0.13,0.09,50,0,0,0
D. Moses,Krasnodar,Podbrezová,"RWF, CF, AMF",19,1000000,2026-06-30,18,1397,9,4.86,0,1.06,29.25,38.33,Nigeria,Nigeria,right,178,74,no,3.93,5.41,51.19,3.16,32.65,0,0,0.06,1.16,1.82,2.19,4,0.26,0,0,4.45,0.58,9,0.58,0.31,2,0.13,37,2.38,48.65,24.324,0,1.03,25,0.39,33.33,0.64,20,0.06,5.54,51.16,14.5,38.22,4.32,2.38,13.08,1.22,1.48,18.23,76.33,3.61,73.21,3.48,90.74,6.96,74.07,16.75,80.38,0.45,42.86,14.74,9.3,0.07,0.58,0,0,0.19,100,0.32,1.93,83.33,1.35,57.14,0.19,100,1.16,0.45,2.64,82.93,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
E. Ramírez,Dynamo Kyiv,Slovan Bratislava,CF,24,900000,2026-06-30,16,1062,3,4.96,1,1.27,23.31,35.64,Venezuela,Venezuela,right,190,82,no,2.97,2.54,60,6.86,33.33,0,0,0.17,1.44,2.13,1.27,3,0.25,0,0,2.97,0.25,2,0.17,0.42,1,0.08,31,2.63,41.94,9.677,0.08,0.76,11.11,0.17,50,0.59,0,0.08,2.46,65.52,10,30.51,4.75,1.19,11.44,2.12,1.27,17.29,76.96,3.64,67.44,5.34,92.06,4.41,73.08,16.02,80.95,0.59,42.86,16.36,11.11,0.11,0.93,0,0,0.34,50,0.34,1.86,45.45,1.27,33.33,0.34,50,0.93,0.08,1.61,73.68,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0,1,100
A. Green,Slovan Bratislava,Slovan Bratislava,"LAMF, LW, CF",24,750000,,25,1463,6,5.62,1,2.86,17.96,45.21,England,England,right,180,71,no,4.55,3.57,65.52,2.95,25,0.31,0.44,0,1.91,2.7,0.68,0,0,0,0,4.55,0.37,6,0.37,0.35,1,0.06,29,1.78,55.17,20.69,0.06,3.51,33.33,1.91,32.26,1.54,36,0.43,3.2,71.15,8.67,46.81,3.63,2.28,22.39,1.97,1.66,31.5,76.95,6.4,77.88,8.92,91.72,10.21,69.28,26.82,84.4,1.29,42.86,16.53,18.21,0.18,0.86,0.06,0.06,0.31,40,0.68,2.52,78.05,2.65,46.51,0.37,33.33,0.8,1.05,4.24,75.36,0,,0,,0,0,0,0,,,0.12,,,0.06,0,0,0.37,0,0
A. ?avri?,Slovan Bratislava,Slovan Bratislava,"CF, RAMF, RW",29,750000,2025-06-30,30,1868,14,8.19,0,1.4,19.18,43.97,Croatia,"Croatia, Serbia",right,186,82,no,5.44,4,66.27,2.94,36.07,0.24,0.34,0.14,2.55,3.64,1.16,3,0.14,0,0,4.19,0.67,12,0.58,0.39,1,0.05,51,2.46,41.18,27.451,0,2.22,41.3,0.58,58.33,1.64,35.29,0.29,3.61,54.67,9.01,37.97,4.19,1.59,18.4,1.78,1.4,25.82,74.63,6.26,69.23,6.12,90.55,7.85,68.71,22.89,78.53,0.87,55.56,15.76,18.31,0.07,0.82,0,0,0.48,60,0.43,2.36,75.51,2.94,54.1,0.24,60,1.49,0.87,4.24,69.32,0,,0,,0,0,0,0,,,0.1,,,0.05,0.05,100,0.05,2,100
D. Hrn?ár,Slovan Bratislava,Slovan Bratislava,"RB, RWB, RW",25,750000,2024-06-30,16,1118,5,3.01,4,2.66,14.73,42.62,Slovakia,Slovakia,right,186,72,no,5.64,5.15,43.75,2.42,60,0.81,1.12,0.08,2.58,3.58,0.97,0,0,0,0,4.43,0.4,5,0.4,0.24,0,0,23,1.85,34.78,21.739,0.32,5.31,42.42,0.08,100,5.23,41.54,0.81,1.77,63.64,4.99,37.1,3.86,1.61,28.9,3.3,0.4,36.55,76.87,9.82,66.39,7.65,91.58,12.48,76.13,28.82,84.36,2.82,62.86,18.89,29.01,0.21,2.17,0.08,0,0.72,55.56,0.97,3.86,56.25,4.59,47.37,0.4,40,0.56,2.09,6.6,84.15,0,,0,,0,0,0,0,,,0.72,,,0.16,0,0,1.93,0,0
B. Yusuf,Estoril,Spartak Trnava,"LWF, LW, LAMF",21,700000,2027-06-30,8,657,2,2,2,1.84,29.04,34.91,Nigeria,Nigeria,right,180,75,no,4.38,4.11,53.33,6.16,31.11,0,0,0.27,2.19,3.06,1.64,1,0.14,0,0,5.07,0.27,2,0.27,0.27,1,0.14,17,2.33,35.29,11.765,0.27,4.66,23.53,4.38,21.88,0.27,50,0.27,5.75,54.76,14.79,33.33,4.79,3.84,17.53,2.05,0.55,29.73,74.19,5.21,68.42,8.49,93.55,10.14,66.22,22.74,88.55,2.47,33.33,18.61,29.57,0.25,2.05,0,0,0.27,0,1.51,1.64,91.67,4.52,54.55,0.41,0,1.37,1.23,4.25,87.1,0,,0,,0,0,0,0,,,0,,,0.14,0.14,0,0,0,0
M. Abubakari,Slovan Bratislava,Slovan Bratislava,CF,23,700000,2025-12-31,14,836,2,5.92,0,0.15,20.99,41.54,Ghana,Ghana,right,184,82,yes,2.8,2.8,46.15,7.75,44.44,0,0,0.43,1.51,2.1,1.61,0,0,0,0,2.8,0.22,2,0.22,0.64,2,0.22,24,2.58,45.83,8.333,0,0.86,12.5,0.43,0,0.43,25,0.11,2.26,61.9,6.03,46.43,3.77,0.75,11.09,2.58,1.4,15.61,77.24,3.01,75,4.84,93.33,4.95,71.74,14.53,80.74,0.22,100,14.7,6.36,0.02,0.32,0,0,0.11,100,0.11,1.18,90.91,1.08,50,0.11,100,0.54,0.22,2.15,65,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
I. Šaponji?,Slovan Bratislava,Slovan Bratislava,CF,25,700000,2025-06-30,14,506,2,2.84,1,0.55,19.03,45.79,Serbia,Serbia,right,190,84,no,2.31,2.31,46.15,7.11,57.5,0.18,0.27,0,1.07,1.62,1.6,1,0.18,0,0,1.25,0.36,1,0.18,0.51,0,0,17,3.02,23.53,11.765,0.18,0.36,50,0.18,100,0.18,0,0,0.36,50,6.76,31.58,5.51,0.18,15.47,1.42,1.42,22.06,69.35,4.62,57.69,7.83,77.27,5.51,70.97,21.34,69.17,0.36,100,12.04,5.68,0.1,1.07,0.18,0,0.36,50,0.53,2.31,53.85,1.25,57.14,0.18,0,1.07,0.18,1.6,55.56,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
