Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Elšnik,Olimpija,Olimpija,"RCMF, LCMF",25,1300000,2025-06-30,33,2874,7,6.77,3,4.28,18.79,50.83,Slovenia,Slovenia,left,182,68,no,7.92,6.04,66.32,2.44,51.28,0.19,0.33,0.31,3.73,6.46,1,1,0.03,0,0,3.38,0.22,6,0.19,0.21,1,0.03,66,2.07,30.3,10.606,0.09,1.91,24.59,1.25,17.5,0.59,42.11,0.5,3.16,60.4,8.11,43.24,2.13,2.25,34.1,0.75,0.66,47.51,83.26,14.72,75.74,7.17,94.32,18.73,88.13,42.71,87.32,2.94,61.7,18.3,31.32,0.13,1.19,0.06,0.03,0.69,54.55,0.5,7.67,82.45,2.94,41.49,0.91,41.38,1.06,0.44,7.99,82.75,0,,0,,0,0,0,0,,,0.19,,,0.47,0.13,25,1.94,1,100
M. Toli?,Slovan Bratislava,Maribor,"AMF, CF",27,1300000,2025-06-15,28,2258,7,7.62,12,4.13,20.49,40.08,Croatia,Croatia,right,189,80,yes,5.14,4.58,62.61,1.83,32.61,0.16,0.23,0.12,2.11,3.11,1.16,5,0.2,0,0,4.15,0.28,6,0.24,0.3,1,0.04,61,2.43,34.43,11.475,0.48,1.47,21.62,0.44,9.09,0.96,25,0.24,5.62,44.68,11.64,33.56,3.27,2.19,27.22,1.43,1.04,33.56,83.02,9.17,74.35,5.66,92.25,12.95,84.92,29.34,87.36,2.83,69.01,18.18,31.92,0.16,1.67,0.04,0.08,0.96,50,0.72,5.78,79.31,1.95,53.06,1.24,41.94,1.24,0.36,5.3,86.47,0,,0,,0,0,0,0,,,0.2,,,0.28,0.08,50,1.47,2,50
S. Sešlar,Olimpija,Olimpija,"AMF, CF, RW",21,1200000,2026-06-30,34,3081,9,8.77,1,5.16,18.67,44.29,Slovenia,Slovenia,left,185,76,no,5.05,5.78,54.55,2.1,48.61,0.12,0.2,0.03,1.78,3.02,1.11,7,0.2,0,0,3.3,0.26,9,0.26,0.26,1,0.03,73,2.13,42.47,12.329,0.03,1.26,34.88,0.26,22.22,0.96,36.36,0.32,3.07,53.33,8.24,37.94,3.45,1.46,22.61,1.67,1.26,30.96,79.62,9.14,68.05,6.6,92.04,9.46,85.19,27.55,84.41,2.22,43.42,16.94,29.45,0.15,1.08,0.03,0,0.73,44,0.53,4.26,68.49,2.54,45.98,1.08,32.43,1.61,0.41,4.24,80,0,,0,,0,0,0,0,,,0.18,,,0.18,0.15,40,0.2,0,0
M. Vidovšek,Olimpija,Olimpija,GK,23,1200000,2025-05-31,27,2640,0,0,0,0,0.82,83.33,Slovenia,Slovenia,right,199,90,no,1.43,0.2,66.67,0.38,90.91,0,0,0.03,1.3,2.18,0.07,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,100,0,0,12.95,0.03,0.17,19.57,84.32,9.92,75.6,0,0,9.17,95.54,15.34,93.78,4.16,50.82,28.26,44.56,0,0,0,0,0,0,0,0.65,10.53,0.07,0,0.07,50,0,0,3.44,49.5,18,0.61,112,3.82,18,83.93,30.65,1.04,12.65,0.431,0,1.3,0.38,,,,0,0,0
M. Ileni?,New York City,Domžale,RB,18,1000000,2026-12-31,15,1296,0,0.36,0,0.09,14.93,54.88,Slovenia,Slovenia,right,180,72,no,10.14,7.5,64.81,1.67,45.83,0.42,0.52,0.35,4.86,6.02,0.9,3,0.21,0,0,2.01,0,0,0,0.02,0,0,13,0.9,46.15,0,0,2.78,27.5,0,0,2.78,27.5,0.07,1.67,45.83,3.68,49.06,0.69,1.94,20.49,1.32,1.18,30.56,71.14,12.64,62.09,4.93,91.55,8.54,74.8,22.22,81.56,5.9,49.41,22.07,37.54,0.01,0.28,0,0,0.14,50,0,4.86,54.29,2.64,42.11,0.35,60,0.49,0.76,7.71,67.57,0,,0,,0,0,0,0,,,0.76,,,0,0,0,0,0,0
M. Daku,Mura,Mura,CF,25,800000,2024-06-30,33,2943,19,15.45,2,3.52,24.61,39.1,Kosovo,Kosovo,both,192,0,yes,4.32,4.16,48.48,5.17,44.51,0.41,0.53,0.16,1.89,2.47,2.33,8,0.24,0,0,3.28,0.58,18,0.57,0.49,5,0.16,77,2.43,55.84,24.675,0.06,0.6,5.26,0.09,0,0.5,6.25,0.03,3.44,48.62,11.01,35.82,4.1,1.17,8.96,2.08,1.74,13.75,65.6,3.91,45.97,2.62,90.36,4.07,74.42,12.3,68.72,0.88,64.29,15.97,21.56,0.11,0.82,0.09,0,0.6,36.84,0.44,1.7,59.26,1.29,41.46,0.47,46.67,1.14,0,1.39,79.55,0,,0,,0,0,0,0,,,0,,,0,0,0,0,2,50
I. Brni?,Maribor,Maribor,"LW, LAMF",21,800000,2025-05-31,34,2371,7,4.73,7,6.12,11.69,41.23,Croatia,Croatia,right,173,68,no,2.39,2.16,47.37,0.76,25,0,0,0.04,1.37,1.99,0.15,0,0,0,0,5.16,0.27,7,0.27,0.18,0,0,62,2.35,45.16,11.29,0.27,4.21,30.63,4.02,31.13,0.19,20,0.99,5.24,52.17,7.9,42.79,3.99,3.15,23.23,3,0.42,29.65,75.54,4.93,63.08,8.39,93.67,11.2,74.24,22.78,85,2.96,64.1,21.47,31.54,0.23,1.37,0.08,0.04,0.3,25,0.68,2.24,64.41,3.04,36.25,0.61,12.5,0.8,1.14,4.06,80.37,0,,0,,0,0,0,0,,,0.53,,,0.57,0,0,1.29,0,0
K. Parris,Dynamo Kyiv,Koper,"RAMF, RW",23,800000,2026-06-30,7,601,1,2.73,1,1.03,25.61,49.12,Jamaica,Jamaica,left,177,69,no,5.99,5.84,53.85,1.05,14.29,0,0,0.15,2.85,3.93,1.05,0,0,0,0,7.49,0.15,1,0.15,0.41,0,0,23,3.44,47.83,4.348,0.15,2.25,40,0.45,33.33,1.65,36.36,0.6,7.94,60.38,16.77,49.11,4.49,3.74,17.52,3,1.35,26.66,65.17,8.69,56.9,4.49,83.33,8.84,64.41,21.86,69.18,2.55,52.94,16.79,21.51,0.15,1.2,0,0,0.9,16.67,0.3,2.4,62.5,4.19,57.14,0.9,0,2.25,1.05,6.44,65.12,0,,0,,0,0,0,0,,,0,,,0.15,0,0,0.3,1,0
L. Stankovski,Gaziantep,Gorica,"LCMF, AMF",20,800000,2026-06-30,10,713,2,1.63,0,0.17,22.95,41.92,North Macedonia,North Macedonia,right,190,76,no,6.73,5.08,70.27,5.08,37.84,0.27,0.31,0.27,2.89,3.28,1.79,2,0.25,0,0,1.65,0.25,1,0.14,0.22,0,0,7,0.96,71.43,14.286,0,0.82,0,0,0,0.69,0,0.14,2.2,37.5,9.21,29.85,1.37,0.96,10.03,0.82,1.1,19.1,64.75,7.97,51.72,2.89,85.71,4.67,67.65,16.35,70.59,1.92,42.86,16.65,22.11,0.02,0.27,0,0,0.41,33.33,0.14,3.57,50,0.69,20,0,0,0.14,0.14,3.98,58.62,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
I. Šarani?,Dinamo Zagreb,AŠK Bravo,"RW, CF, RAMF",20,800000,2027-06-15,14,624,0,1.06,1,1.31,16.44,42.98,Croatia,Croatia,left,185,77,no,5.77,5.91,48.78,2.6,16.67,0,0,0,2.88,4.03,1.01,0,0,0,0,3.61,0,0,0,0.15,0,0,21,3.03,33.33,0,0.14,1.88,30.77,0.43,0,1.44,40,0,3.17,59.09,6.35,47.73,1.88,0.87,14.57,0.87,1.44,23.51,70.55,5.63,56.41,6.92,91.67,5.77,52.5,20.63,76.92,1.15,12.5,13.62,19.45,0.19,1.3,0,0,0.43,33.33,0.58,2.45,47.06,1.59,63.64,0.29,50,0.58,0.58,2.88,75,0,,0,,0,0,0,0,,,0,,,2.16,0.43,0,3.03,0,0
