Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Sergio Arribas,Almería,Real Madrid Castilla,CF,21,3500000,2025-06-30,37,3466,21,15.41,8,8.6,18.02,45.1,Spain,Spain,left,174,71,no,3.53,3.01,58.62,0.68,42.31,0.05,0.07,0.03,1.71,2.39,0.49,7,0.18,0,0,5.35,0.55,17,0.44,0.4,1,0.03,105,2.73,47.62,19.048,0.21,1.22,44.68,0.26,30,0.91,48.57,0.08,5.56,50.93,12.44,43.22,2.93,3.3,24.41,0.99,1.97,34.54,86.92,7.79,77.67,8.88,94.15,11.53,88.51,32.22,89.85,1.17,46.67,16.96,28.31,0.22,1.84,0.05,0.05,1.38,49.06,0.55,3.82,82.99,2.73,60,1.17,31.11,1.61,0.49,4.13,81.76,0,,0,,0,0,0,0,,,0.1,,,1.43,0.16,0,2.31,3,100
Ilias Akhomach,Villarreal,Barcelona B,"RWF, RW",19,3000000,,23,1294,1,0.91,0,1.16,31.58,43.17,Spain,"Spain, Morocco",left,174,68,no,4.73,5.63,37.04,1.04,40,0.49,0.76,0,2.16,3.35,1.95,2,0.14,0,0,6.68,0.07,1,0.07,0.06,0,0,30,2.09,30,3.333,0,0.56,37.5,0.28,25,0.28,50,0.14,10.22,53.74,21.28,47.06,0.77,3.89,24.34,0.77,3.89,31.72,86.4,8.55,76.42,10.15,95.89,7.58,88.99,30.39,88.56,0.77,36.36,14.89,15.19,0.08,0.9,0.07,0,1.25,27.78,0.56,3.83,72.73,1.53,63.64,1.32,26.32,1.18,0.14,3.62,78.85,0,,0,,0,0,0,0,,,0,,,0.14,0.14,0,0.14,0,0
Vinícius Tobías,Real Madrid Castilla,Real Madrid Castilla,"RWB, RB",19,3000000,2026-06-30,36,2799,0,0.69,2,1.59,19.45,51.4,Brazil,Brazil,right,177,66,yes,9.97,7.81,55.14,1.58,34.69,0.32,0.44,0.13,5.34,7.3,1.03,5,0.16,0,0,3.34,0,0,0,0.02,0,0,16,0.51,12.5,0,0.06,2.77,30.23,0,0,2.73,29.41,0.39,4.18,56.15,8.26,53.31,0.55,2.44,25.66,2.03,1.99,35.85,79.37,9.74,65.02,7.23,96,13.79,83.92,29.65,87.96,3.86,45,21,34.98,0.05,0.61,0,0.06,0.26,37.5,0.32,3.54,63.64,2.54,36.71,0.55,29.41,0.45,0.8,6.56,62.25,0,,0,,0,0,0,0,,,0.61,,,0,0,0,0.03,0,0
Arnau Tenas,PSG,Barcelona B,GK,22,2000000,2025-06-30,30,2899,0,0,0,0,0.81,84.62,Spain,Spain,right,185,85,no,1.43,0.03,0,0.71,86.96,0,0,0,1.43,2.28,0.06,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0.03,27.51,0.37,0.03,37.22,84.07,19.71,73.07,0.03,100,15.65,96.63,24.25,97.82,12.85,58.94,31.72,51.36,0,0,0,0,0,0,0,3.6,35.34,0.62,10,0.47,26.67,0.09,0,8.04,63.32,27,0.84,120,3.73,15,77.5,26.73,0.83,-0.27,-0.008,0.03,1.61,0.71,,,,0,0,0
Urko González,Real Sociedad B,Real Sociedad B,"DMF, CB, RCB",22,1000000,2028-06-30,25,1935,0,0.35,1,0.94,19.07,56.34,Spain,Spain,right,189,83,no,10.19,7.63,67.07,2.74,44.07,0.14,0.2,0.37,4.93,7.1,1.02,4,0.19,1,0.05,1.21,0,0,0,0.02,0,0,3,0.14,66.67,0,0.05,0.09,50,0.05,0,0.05,100,0.05,1.53,57.58,5.3,51.75,0.14,1.4,45.4,0.14,1.53,62.28,89.1,17.77,73.82,5.26,92.92,34.6,95.83,56.37,92,5.81,61.6,21.55,35.65,0.04,0.23,0,0,0.47,40,0.09,7.44,62.5,0.93,30,1.16,36,0.23,0,8.6,76.76,0,,0,,0,0,0,0,,,1.49,,,0,0,0,0,0,0
Jon Ander Olasagasti,Real Sociedad,Real Sociedad B,"LCMF, RCMF",23,1000000,2025-06-30,29,2530,3,4.93,1,0.8,16.75,47.98,Spain,Spain,left,176,74,no,6.94,6.83,55.73,2.67,44,0.11,0.15,0.18,3.02,4.22,1.25,6,0.21,0,0,1.78,0.11,2,0.07,0.18,0,0,36,1.28,33.33,8.333,0.04,0.75,19.05,0.6,11.76,0.14,50,0.04,1.21,73.53,3.74,47.62,0.92,0.68,33.69,0.89,1.14,44.89,81.38,12.7,66.11,9.78,92.73,16.65,87.61,38.42,86.76,5.76,53.09,19.82,35.57,0.03,0.25,0.04,0.04,0.6,52.94,0.21,7.93,65.02,1.89,41.51,0.89,28,0.57,0.14,6.33,76.97,0,,0,,0,0,0,0,,,0.64,,,0.57,0.04,0,0.68,1,100
Iker Bravo,Real Madrid Castilla,Real Madrid Castilla,CF,18,1000000,2024-06-30,25,990,3,1.72,0,0.32,21,29.44,Spain,Spain,right,184,78,yes,3.55,3.45,52.63,4,29.55,0.18,0.29,0,1.55,2.49,1.18,1,0.09,0,0,1.82,0.27,3,0.27,0.16,1,0.09,13,1.18,53.85,23.077,0,0.45,40,0.36,50,0.09,0,0,2.36,38.46,9.64,24.53,2,0.82,11.09,1.73,1.09,16.45,78.45,3,48.48,4.45,91.84,4.18,80.43,15.09,80.12,0.91,70,12.41,12.52,0.03,0.55,0,0,0.55,16.67,0,0.82,33.33,0.73,12.5,0.64,14.29,0.36,0.18,1.09,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Peter,Real Madrid Castilla,Real Madrid Castilla,"LWB, LCMF, RWB",21,1000000,2025-06-30,40,3003,6,5.04,3,4.24,15.55,46.44,Spain,"Spain, Dominican Republic",left,180,73,no,5.99,4.29,54.55,1.11,43.24,0,0,0.03,3.66,4.9,0.57,5,0.15,0,0,4.26,0.18,6,0.18,0.15,2,0.06,57,1.71,42.11,10.526,0.09,2.88,32.29,1.92,32.81,0.96,31.25,0.33,4.29,51.05,8.39,43.57,2.04,1.95,21.49,2.04,1.11,28.08,74.92,7.97,68.05,6.65,94.59,8.36,70.25,22.75,82.74,2.49,51.81,19.21,28.37,0.13,1.05,0,0.03,0.72,58.33,0.54,2.88,69.79,3.54,47.46,0.9,43.33,1.32,0.87,5.63,77.66,0,,0,,0,0,0,0,,,0.15,,,0.33,0.12,25,0.87,0,0
Miguel Rodríguez,Celta de Vigo,Celta de Vigo B,"CF, RWF, AMF",20,1000000,2028-06-30,28,2015,8,10.31,2,2.86,27.15,38.95,Spain,Spain,left,179,70,no,4.89,5.17,48.21,3.09,34.33,0.14,0.18,0.05,2.26,3.01,1.71,5,0.22,1,0.04,6.14,0.36,8,0.37,0.48,0,0,79,3.65,39.24,10.127,0.09,1.85,30,0.23,20,1.57,32.35,0.28,7.76,50.6,15.24,38.18,3.93,2.54,12.93,1.48,1.71,17.92,65.46,3.37,49.32,4.57,80.81,6.88,63.09,15.05,71.17,1.15,48,16.62,24.1,0.13,0.65,0,0,0.69,33.33,0.32,1.39,60,2.22,47.92,0.69,26.67,0.55,0.51,2.31,66,0,,0,,0,0,0,0,,,0,,,0.14,0.09,0,0.18,0,0
Álvaro Sanz,Mirandés,Barcelona B,"RCMF, DMF",22,700000,2025-06-30,12,713,1,0.78,0,0.88,12.5,46.46,Spain,Spain,right,170,65,no,6.44,5.18,63.41,0.76,33.33,0,0,0.38,3.16,4.44,0.88,2,0.25,1,0.13,1.26,0.13,1,0.13,0.1,0,0,5,0.63,60,20,0,0.25,50,0,0,0.25,50,0.13,1.51,41.67,4.54,30.56,1.14,1.51,41.4,0.76,0.88,49.48,91.84,8.71,84.06,11.36,92.22,20.45,94.44,47.46,92.02,1.77,92.86,16.53,30.06,0.11,0.38,0,0,0.25,50,0.25,4.67,86.49,0.5,25,0.13,0,0.25,0.13,3.53,60.71,0,,0,,0,0,0,0,,,0.38,,,0.13,0,0,0.13,0,0
