Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Uzuni,Granada,Granada,"CF, LW, LAMF",28,8000000,2026-06-30,38,3265,23,19.98,5,2.41,17.17,37.56,Albania,Albania,right,178,70,no,4.08,3.83,55.4,3.42,25.81,0.14,0.21,0.06,1.82,2.73,0.88,6,0.17,0,0,3.06,0.63,16,0.44,0.55,1,0.03,98,2.7,47.96,23.469,0.14,1.13,29.27,0.58,33.33,0.5,22.22,0.08,2.65,48.96,6.56,37.82,3.78,1.1,12.6,1.85,1.35,16.51,77.13,2.76,64,5.57,88.61,5.04,76.5,14.61,80.94,0.83,73.33,16.27,20.1,0.07,0.58,0.03,0,0.3,45.45,0.28,1.02,75.68,1.38,46,0.39,42.86,0.69,0.3,1.38,74,0,,0,,0,0,0,0,,,0.06,,,0.25,0.11,0,0.19,8,87.5
Jorge de Frutos,Rayo Vallecano,Levante,"RW, RAMF, LW",26,8000000,2025-06-30,43,3688,5,4.56,5,6.26,20.01,45.12,Spain,Spain,right,173,71,no,4.56,4.78,55.1,1.85,40.79,0.07,0.11,0.1,1.85,2.83,0.93,6,0.15,1,0.02,5.27,0.12,5,0.12,0.11,0,0,64,1.56,28.13,7.813,0.12,3.83,28.03,0.22,11.11,3.61,29.05,0.46,6.61,54.98,10.64,44.04,3.47,3.37,16.52,2.42,1.27,22.89,68.87,4.32,61.58,5.56,85.53,7.81,64.69,18.06,78.38,1.39,47.37,17.92,27.26,0.15,0.98,0,0.05,0.34,35.71,0.68,1.76,61.11,2.98,45.9,0.34,21.43,0.95,1,3.78,72.9,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0.02,0,0
S. Weissman,Granada,Granada,CF,27,5000000,2024-06-30,13,802,1,1.4,0,0.33,16.83,26.67,Israel,"Israel, Portugal",right,174,79,no,3.14,2.58,34.78,4.49,17.5,0,0,0.34,2.24,3.31,1.12,1,0.11,0,0,0.56,0.11,1,0.11,0.16,0,0,9,1.01,22.22,11.111,0,0.22,0,0,0,0.11,0,0,0.67,33.33,5.61,28,2.92,0.22,8.98,1.68,1.12,12.79,67.54,2.13,52.63,3.93,82.86,3.48,61.29,12.46,68.47,0.11,100,13.32,0.91,0.04,0.22,0,0,0.22,50,0.11,0.67,50,0.45,25,0.22,50,0.34,0,0.79,28.57,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Alejandro Francés,Real Zaragoza,Real Zaragoza,RCB,21,5000000,2025-06-30,23,2086,0,0.31,0,0.03,11.99,60.43,Spain,Spain,right,182,70,no,7.59,4.83,72.32,2.5,43.1,0.09,0.12,0.22,4.01,5.52,0.73,5,0.22,1,0.04,0.6,0,0,0,0.01,0,0,6,0.26,16.67,0,0,0.43,30,0.04,0,0.35,25,0,0.56,76.92,1.38,56.25,0.43,0.47,36.93,0.73,0.65,51,87.9,20.54,77.52,3.02,100,24.46,95.41,42.8,95.06,7.77,51.67,24.22,40.12,0,0.04,0,0.04,0.04,0,0,7.21,63.47,0.86,35,0.91,14.29,0.17,0.09,9.49,75.91,0,,0,,0,0,0,0,,,1.86,,,0,0,0,0,0,0
Jon Karrikaburu,Real Sociedad,Leganés,CF,20,5000000,2026-06-30,19,1176,3,3.6,0,0.63,29.54,33.68,Spain,Spain,right,183,82,no,3.83,3.75,46.94,6.05,37.97,0.23,0.31,0.08,1.84,2.52,1.53,3,0.23,0,0,2.6,0.23,3,0.23,0.28,0,0,27,2.07,29.63,11.111,0,0.54,14.29,0.31,25,0.15,0,0.08,2.91,60.53,11.71,33.33,3.67,0.99,8.95,1.99,1.84,12.78,69.46,2.68,45.71,3.75,75.51,2.91,68.42,11.79,74.03,0.54,14.29,14.53,16.87,0.05,0.61,0,0,0.23,66.67,0.15,1.38,55.56,0.38,80,0.15,50,0.31,0.15,0.92,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Antonio Puertas,Granada,Granada,"RW, RAMF, CF",31,4500000,2024-06-30,35,2374,4,6.88,5,2.5,23.92,36.77,Spain,Spain,right,183,77,no,4.63,5.04,51.88,5.35,31.91,0.15,0.23,0.08,1.86,2.83,1.55,4,0.15,0,0,3.41,0.15,4,0.15,0.26,2,0.08,43,1.63,30.23,9.302,0.19,2.16,24.56,0.83,18.18,1.33,28.57,0.34,3.83,59.41,9.44,37.75,3.22,1.74,18.92,1.33,1.25,27.33,74.9,5.65,62.42,7.09,87.7,7.96,73.33,23.09,80.79,2.24,62.71,17.46,31.36,0.09,0.57,0,0.04,0.42,27.27,0.57,2.62,65.22,1.71,26.67,0.27,57.14,0.49,0.45,3.11,65.85,0,,0,,0,0,0,0,,,0,,,0.08,0.04,0,0,0,0
Marcos Paulo,São Paulo,Mirandés,"LW, LWF, CF",22,4000000,2026-06-30,13,721,1,1.12,2,1.11,21.35,35.09,Brazil,"Brazil, Portugal",right,185,76,no,5.37,3.87,54.84,2.87,34.78,0,0,0.12,3.25,4.67,0.75,0,0,0,0,1.87,0.12,1,0.12,0.14,0,0,7,0.87,28.57,14.286,0.25,0.87,42.86,0.75,33.33,0.12,100,0.25,3.62,34.48,10.74,29.07,1.75,1.87,14.85,1.25,1.12,22.84,73.77,5.99,54.17,2.87,78.26,9.24,82.43,20.35,77.91,1.62,38.46,18.58,17.42,0.14,1.62,0,0,0.5,0,0.5,3.62,51.72,3.12,56,1,0,1.75,0.5,4.37,80,0,,0,,0,0,0,0,,,0,,,0.75,0.12,0,1.62,0,0
José Campaña,,Levante,"LW, LCMF, AMF",30,4000000,,21,1382,5,4.12,0,2.09,19.02,44.86,Spain,Spain,right,179,74,no,6.45,6.84,57.14,1.82,46.43,0.26,0.38,0.2,2.28,3.28,0.78,4,0.26,0,0,2.21,0.33,0,0,0.27,0,0,14,0.91,42.86,35.714,0,0.98,40,0.65,60,0.33,0,0.26,2.74,47.62,8.08,37.1,0.78,0.91,30.02,1.11,1.17,39.92,84.83,10.29,72.78,7.29,97.32,13.29,87.25,36.6,88.08,2.34,52.78,16.32,30.74,0.14,1.56,0,0.07,0.46,28.57,0.13,4.17,67.19,2.28,57.14,0.72,18.18,0.85,0.39,4.75,76.71,0,,0,,0,0,0,0,,,0.2,,,1.17,0.13,0,2.34,5,100
Borja Bastón,Real Oviedo,Real Oviedo,CF,31,4000000,2024-06-30,33,2710,8,12.54,0,1.37,28.06,35.15,Spain,Spain,right,191,82,no,3.45,2.66,57.5,9.07,39.93,0.07,0.08,0.1,1.86,2.31,1.63,7,0.23,0,0,1.23,0.27,4,0.13,0.42,0,0,53,1.76,41.51,15.094,0,0.37,36.36,0.03,0,0.33,40,0.07,0.76,39.13,8.97,31.11,2.99,0.37,9.37,1.49,1.33,17.4,74.05,4.95,55.7,5.71,91.28,2.92,68.18,16.44,75.15,0.6,66.67,12.75,15.04,0.05,0.4,0.03,0,0.2,33.33,0.2,1.49,55.56,0.9,33.33,0.17,20,0.3,0.17,1.53,60.87,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0.03,5,80
U. Djurdjevi?,Sporting Gijón,Sporting Gijón,CF,29,4000000,2027-06-30,32,2089,5,9.92,1,2.1,18.4,29.74,Serbia,"Serbia, Montenegro",right,182,80,no,3.06,2.84,42.42,2.07,25,0.43,0.58,0.09,1.42,1.91,1.98,9,0.39,0,0,2.11,0.22,3,0.13,0.43,1,0.04,55,2.37,36.36,9.091,0.04,0.86,30,0.22,40,0.65,26.67,0.09,1.94,48.89,8.66,30.35,3.1,0.78,7.5,1.68,1.68,11.76,68.86,2.58,56.67,3.19,78.38,3.06,69.01,10.51,72.95,0.43,50,15.32,9.02,0.09,0.52,0,0,0.3,14.29,0.3,1.03,50,1.03,50,0.3,14.29,0.56,0.22,1.34,70.97,0,,0,,0,0,0,0,,,0,,,0.04,0.04,0,0,2,100
