Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Jansson,Malmö FF,Malmö FF,RCB,32,5000000,,9,779,1,0.84,0,0.6,15.6,62.22,Sweden,Sweden,right,194,86,no,8.09,4.04,68.57,5.78,60,0.46,0.81,1.04,4.85,8.51,0.92,2,0.23,0,0,0.81,0.12,1,0.12,0.1,1,0.12,4,0.46,25,25,0,0.35,66.67,0,0,0.35,66.67,0.12,0.81,57.14,1.85,62.5,1.39,0.81,46.1,0,0.69,61.93,93.84,24.03,88.46,3.12,100,27.73,98.33,59.73,95.36,1.85,50,17.31,23.9,0.07,0.46,0,0,0,0,0.12,3.7,78.13,0.35,66.67,0.12,100,0.23,0.23,5.08,72.73,0,,0,,0,0,0,0,,,1.39,,,0,0,0,0,0,0
A. Sigurdsson,Blackburn Rovers,IFK Norrköping,"LAMF, LWF",24,3500000,2024-06-30,10,937,5,0.97,0,1.77,21.23,52.94,Iceland,Iceland,right,177,71,yes,4.8,4.42,65.22,0.67,71.43,0.19,0.23,0,1.73,2.04,1.25,3,0.29,0,0,5.76,0.48,5,0.48,0.09,0,0,17,1.63,47.06,29.412,0,2.11,40.91,1.82,47.37,0.29,0,0.29,6.92,58.33,13.83,49.31,1.73,3.17,18.06,0.86,3.36,23.63,82.52,6.15,73.44,6.82,97.18,7.88,84.15,20.07,89,1.44,53.33,18.56,24.71,0.17,1.63,0.1,0,0.29,33.33,0.19,2.5,76.92,2.98,54.84,0.67,42.86,1.15,0.96,4.9,84.31,0,,0,,0,0,0,0,,,0,,,2.69,0.58,33.33,4.32,0,0
I. Kiese Thelin,Malmö FF,Malmö FF,CF,31,2200000,2025-12-31,20,1863,13,11.14,1,1.09,17.92,30.46,Sweden,"Sweden, Congo DR",right,189,83,no,2.66,2.51,59.62,4.06,34.52,0.1,0.17,0.14,1.06,1.85,1.21,1,0.05,0,0,1.35,0.63,10,0.48,0.54,2,0.1,48,2.32,45.83,27.083,0.05,0.14,0,0,0,0.1,0,0,0.43,55.56,5.94,21.14,4.3,0.05,7.58,1.06,0.48,12.22,75.1,2.17,60,4.69,85.57,1.84,71.05,12.03,76.31,0.05,0,10.65,1.85,0.05,0.39,0.05,0,0.14,33.33,0.34,0.68,57.14,0.63,61.54,0.19,25,0.92,0,0.82,64.71,0,,0,,0,0,0,0,,,0,,,0,0,0,0,3,100
A. Tinnerholm,Malmö FF,Malmö FF,"RB, RCB",32,2000000,2026-12-31,4,313,0,0,0,0.69,12.36,51.16,Sweden,Sweden,right,178,68,no,6.04,3.74,76.92,2.59,33.33,0,0,0,3.16,5.32,0.86,1,0.29,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,4.03,57.14,0,0,4.03,57.14,0,1.15,50,4.03,42.86,1.44,2.01,41.98,1.73,0.29,59.23,83.5,20.7,76.39,7.76,92.59,23.58,84.15,52.91,87.5,2.88,50,16.85,28.25,0.2,1.15,0,0,0,0,0.86,6.33,81.82,3.74,69.23,0,0,1.44,1.44,11.21,79.49,0,,0,,0,0,0,0,,,0.86,,,0,0,0,0.29,0,0
J. Asoro,Djurgården,Djurgården,"CF, RAMF, RWF",24,2000000,2024-12-31,16,1069,3,3.31,1,1.36,21.72,44.96,Sweden,"Sweden, Nigeria",right,175,70,no,4.29,4.13,69.39,4.13,44.9,0.17,0.22,0.08,1.26,1.69,1.09,1,0.08,0,0,3.45,0.25,3,0.25,0.28,0,0,19,1.6,47.37,15.789,0.08,1.77,19.05,0.34,0,1.43,23.53,0.25,4.04,56.25,9.43,39.29,3.37,1.77,7.91,1.68,1.52,12.46,70.27,2.61,54.84,4.21,94,3.12,70.27,10.27,79.51,0.42,60,16.56,11.3,0.11,0.76,0,0,0.34,25,0.51,0.67,62.5,1.35,37.5,0.25,0,0.59,0.34,1.26,73.33,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0,0,0
B. Hussein,AIK,AIK,"RCMF, LCMF",23,2000000,2023-12-31,19,1708,1,2.36,3,2.37,10.8,56.59,Sweden,"Sweden, Somalia",right,172,65,no,6.85,6.17,65.81,1.37,30.77,0.11,0.14,0.11,2.69,3.53,0.74,7,0.37,0,0,1.69,0.05,1,0.05,0.12,0,0,28,1.48,28.57,3.571,0.16,2,36.84,0.69,46.15,1.32,32,0.26,0.74,57.14,1.69,56.25,1.37,0.9,39.1,0.58,0.53,48.48,84.24,13.59,73.26,8.8,95.21,17.7,87.8,43.26,89.04,3.27,48.39,17.69,32.34,0.12,1.32,0,0,0.21,50,0.37,6.74,78.13,3.11,50.85,0.95,44.44,1,0.74,7.11,79.26,0,,0,,0,0,0,0,,,0.26,,,0.74,0,0,2.37,0,0
Sim. Gustafson,Häcken,Häcken,"LCMF, RW",28,2000000,2025-12-31,6,470,0,0.87,2,0.84,16.85,45.45,Sweden,Sweden,left,185,80,no,5.74,4.02,66.67,1.53,75,0,0,0.38,3.06,4.21,0.38,1,0.19,0,0,2.3,0,0,0,0.17,0,0,5,0.96,80,0,0.38,0.77,0,0.57,0,0,0,0,1.91,50,9.38,36.73,2.87,1.34,50.94,1.15,2.11,61.85,87.62,21.64,78.76,12.06,98.41,16.47,89.53,56.87,90.91,4.4,56.52,17.26,32.48,0.16,2.11,0,0.38,0.96,60,0.57,9.96,82.69,5.94,70.97,1.91,30,4.02,0,9.19,89.58,0,,0,,0,0,0,0,,,0.77,,,0,0,0,0.19,0,0
A. Christiansen,Malmö FF,Malmö FF,AMF,33,2000000,2024-12-31,8,695,1,1.74,1,1.51,16.06,47.58,Denmark,Denmark,right,175,68,no,4.66,4.79,51.35,0.26,100,0.39,0.66,0,1.81,3.09,2.2,1,0.13,0,0,2.98,0.13,1,0.13,0.23,0,0,23,2.98,39.13,4.348,0.13,2.46,36.84,1.55,25,0.78,66.67,0.78,1.94,40,8.55,45.45,5.44,1.29,52.19,1.94,2.46,55.94,86.34,15.02,79.31,14.5,97.32,14.37,82.88,51.28,90.15,2.46,47.37,15.34,40.23,0.2,2.33,0,0,0.39,33.33,0.39,6.99,79.63,3.88,53.33,0.78,33.33,1.81,1.04,6.47,84,0,,0,,0,0,0,0,,,0,,,0.65,0.13,100,5.7,0,0
V. Fischer,,AIK,"CF, AMF",29,2000000,,8,357,0,1.97,0,1.04,12.86,41.18,Denmark,Denmark,right,181,71,no,4.03,2.27,66.67,1.76,28.57,0.25,0.38,0,2.27,3.42,0.5,0,0,0,0,1.76,0,0,0,0.5,0,0,8,2.02,37.5,0,0,0.76,33.33,0.25,0,0.5,50,0.5,1.51,50,7.31,37.93,4.03,1.51,19.66,1.01,2.02,23.7,87.23,4.79,78.95,6.81,85.19,8.07,90.63,21.93,90.8,1.01,50,14.29,7.66,0.26,2.52,0,0,0,0,0.25,2.27,88.89,1.76,85.71,0,0,1.26,0.25,2.77,90.91,0,,0,,0,0,0,0,,,0,,,1.51,0,0,3.53,0,0
S. Jørgensen,Malmö FF,Malmö FF,"RAMF, RWF, AMF",23,2000000,2025-06-30,9,524,1,2,2,1.75,11.85,44.93,Denmark,Denmark,left,178,68,no,5.5,4.81,64.29,0,0,0,0,0,2.4,4.2,0.34,0,0,0,0,3.61,0.17,1,0.17,0.34,0,0,16,2.75,37.5,6.25,0.34,2.23,30.77,1.03,16.67,1.2,42.86,0.17,3.09,44.44,5.67,33.33,6.53,2.23,31.77,0.52,0.69,39.33,86.03,9.27,83.33,9.62,94.64,9.96,84.48,36.41,90.57,0.69,25,15.52,17.08,0.3,2.4,0,0,1.2,42.86,0.69,2.75,87.5,2.92,64.71,1.37,37.5,2.92,0.69,4.98,89.66,0,,0,,0,0,0,0,,,0.17,,,0.34,0,0,2.4,0,0
