Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Widell,Excelsior,Helsingborg,RCB,20,900000,2023-12-31,12,1097,0,0.41,0,0.25,11.65,59.86,Sweden,Sweden,right,191,86,no,10.09,3.2,71.79,4.84,59.32,0.16,0.2,0.9,7.63,9.3,0.49,2,0.16,0,0,0.16,0,0,0,0.03,0,0,4,0.33,25,0,0,0,0,0,0,0,0,0,0.16,50,0.98,33.33,0.66,0.57,35.93,0.25,0.41,54.07,85.13,23.96,75.34,3.53,93.02,23.05,93.59,44.88,90.31,9.19,59.82,22.61,44.71,0.02,0.16,0,0,0,0,0.08,6.24,59.21,0.57,42.86,0.57,28.57,0.33,0,11.65,68.31,0,,0,,0,0,0,0,,,2.71,,,0.08,0.08,0,0,0,0
E. Ring,Helsingborg,Helsingborg,"RB, LW, RW",21,750000,2024-12-31,20,1968,3,1.92,1,2.6,19.44,46.82,Sweden,Sweden,right,185,74,yes,6.54,5.85,53.91,1.28,32.14,0.18,0.23,0.09,3.2,3.96,0.82,3,0.14,0,0,6.08,0.14,3,0.14,0.09,0,0,37,1.69,40.54,8.108,0.05,4.3,35.11,0.87,21.05,3.43,38.67,0.46,6.91,56.29,10.47,47.6,2.42,3.8,17.29,2.1,1.01,24.83,71.64,5.76,56.35,6.08,90.98,8.83,68.91,18.84,82.04,2.01,45.45,18.87,36.63,0.12,0.91,0.05,0,0.09,0,0.46,1.74,50,3.93,50,0.14,33.33,0.73,1.46,5.26,73.91,0,,0,,0,0,0,0,,,0.5,,,0.96,0.05,100,1.19,0,0
F. Holst,Helsingborg,Helsingborg,"RB, LCMF",28,650000,2023-12-31,15,1302,0,0.12,0,0.25,16.18,57.26,Denmark,Denmark,right,176,70,no,9.68,8.85,62.5,2.28,51.52,0.69,0.86,0.41,3.46,4.31,1.73,3,0.21,0,0,0.76,0,0,0,0.01,0,0,3,0.21,0,0,0,0.97,50,0,0,0.97,50,0,0.48,57.14,2.97,48.84,0.21,1.31,26.96,0.83,1.11,38.36,85.05,13.76,74.87,5.6,95.06,12.86,90.32,33.94,89.21,3.53,52.94,17.59,33.6,0.02,0.41,0,0,0.14,0,0.21,7.67,74.77,1.52,45.45,0.76,27.27,0.21,0.48,6.77,83.67,0,,0,,0,0,0,0,,,1.18,,,0,0,0,0,0,0
P. Vagi?,Helsingborg,Helsingborg,RCB,23,600000,2026-12-31,6,574,0,0.23,0,0,13.8,68.18,Sweden,"Sweden, Serbia",right,188,80,yes,9.88,6.11,66.67,3.29,47.62,0.16,0.19,0.63,5.64,6.92,0.78,3,0.47,1,0.16,0.63,0,0,0,0.04,0,0,2,0.31,0,0,0,0.31,50,0,0,0.31,50,0,0.47,100,2.51,93.75,0.31,0.47,27.6,0.31,2.04,42.49,90.77,18.34,84.62,3.29,100,15.84,96.04,37.79,92.53,4.39,78.57,19.47,41.69,0,0,0,0,0.16,0,0,5.17,81.82,0.31,50,0.47,33.33,0.16,0.16,8.31,77.36,0,,0,,0,0,0,0,,,2.67,,,0,0,0,0,0,0
B. Acquah,Helsingborg,Helsingborg,"RCMF, CF",22,600000,2025-12-31,19,1544,1,1.17,0,1.1,25.88,50.45,Ghana,Ghana,right,180,70,no,7.64,8.16,62.86,2.04,40,0.29,0.38,0.17,2.22,2.89,2.1,5,0.29,0,0,3.38,0.06,1,0.06,0.07,0,0,22,1.28,31.82,4.545,0,1.34,17.39,0.12,0,1.22,19.05,0.06,4.66,55,13.52,46.55,1.92,1.52,22.21,0.87,2.27,31.71,82.54,9.33,73.75,6.99,95,9.03,85.81,28.91,87.3,1.52,46.15,16.36,26.32,0.06,0.76,0,0.06,0.7,25,0.35,4.43,72.37,1.81,48.39,1.05,27.78,0.87,0.23,3.91,76.12,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0,0,0
P. Engblom,GIF Sundsvall,GIF Sundsvall,"CF, AMF",31,500000,2024-12-31,19,1795,3,5.42,3,2.07,21.91,48.28,Sweden,Sweden,right,183,75,no,3.51,2.46,67.35,10.83,50.93,0.1,0.12,0.15,1.75,2.16,0.15,0,0,0,0,1.5,0.15,3,0.15,0.27,2,0.1,28,1.4,39.29,10.714,0.15,0.5,50,0.15,33.33,0.35,57.14,0.15,0.8,75,4.56,40.66,3.46,0.3,11.08,3.01,1.45,15.14,69.87,3.31,50,3.96,83.54,4.11,71.95,13.79,72.36,0.9,44.44,14.62,19.84,0.1,0.95,0,0,0.2,50,0.65,1.2,54.17,0.65,46.15,0.2,50,1,0.2,1.6,50,0,,0,,0,0,0,0,,,0.05,,,0,0,0,0,0,0
P. Rejnhold,Helsingborg,Helsingborg,"RB, RCB",27,400000,2025-12-31,7,601,0,0.26,0,0.03,19.77,59.85,Denmark,Denmark,right,177,75,no,12.73,9.28,59.68,2.55,52.94,1.05,1.3,0.75,6.14,7.64,1.2,4,0.6,0,0,1.95,0,0,0,0.04,0,0,5,0.75,20,0,0,1.5,10,0,0,1.5,10,0.3,1.8,91.67,5.99,67.5,0.6,1.8,26.96,1.05,2.55,41.78,79.93,17.07,66.67,4.94,96.97,14.53,84.54,35.04,87.61,5.24,48.57,20.17,33.49,0,0.15,0,0,0.15,0,0.15,7.49,62,1.65,27.27,0.6,50,0.3,0.15,8.69,74.14,0,,0,,0,0,0,0,,,1.65,,,0,0,0,0,0,0
S. Johansson,Västerås SK,Västerås SK,"RWF, RW, AMF",30,400000,2023-11-30,21,1825,5,4.77,4,2.39,23.23,43.52,Sweden,Sweden,right,184,83,no,5.82,6.07,58.54,1.08,31.82,0.05,0.06,0.1,2.22,2.87,1.04,0,0,0,0,4.49,0.25,5,0.25,0.24,0,0,55,2.71,27.27,9.091,0.2,3.16,32.81,0,0,3.06,32.26,0.2,4.14,52.38,12.58,40,3.5,2.02,28.7,1.13,1.53,39.45,77.38,10.85,71.82,7.79,94.94,11.54,75.64,34.87,82.32,1.58,56.25,16.41,33.02,0.12,1.18,0,0.05,1.18,45.83,0.54,4.64,68.09,4.34,57.95,0.99,40,1.82,0.84,5.67,83.48,0,,0,,0,0,0,0,,,0,,,0.59,0.2,50,0,0,0
V. Rodi?,Öster,Öster,"RAMF, RW",29,400000,2023-12-31,20,1561,3,4.59,7,7.08,17.76,41.23,Serbia,"Serbia, Montenegro",right,177,71,no,5.36,5.53,56.25,0.4,14.29,0.06,0.09,0.17,2.19,3.28,1.1,2,0.12,0,0,4.67,0.17,3,0.17,0.26,0,0,33,1.9,39.39,9.091,0.4,3.81,33.33,0.63,27.27,3.17,34.55,0.4,4.21,53.42,8.76,38.16,4.32,2.54,22.66,2.02,0.63,32.92,72.85,7.78,65.19,9.74,89.94,10.15,64.77,27.91,79.13,1.5,50,17.76,24.14,0.41,2.88,0.06,0.06,0.81,50,1.1,2.48,81.4,3.81,50,0.69,41.67,1.33,1.15,4.96,76.74,0,,0,,0,0,0,0,,,0.29,,,0.98,0,0,5.88,1,0
R. Book,Jönköpings Södra,Jönköpings Södra,"CF, AMF, RWF",31,400000,2023-12-31,20,1988,8,7.55,2,2.68,15.03,42.77,Sweden,Sweden,right,178,78,no,4.21,3.98,69.32,2.13,31.91,0.18,0.24,0.14,1.27,1.71,0.54,3,0.14,0,0,2.31,0.36,6,0.27,0.34,0,0,30,1.36,50,26.667,0.09,1.22,37.04,0.81,44.44,0.32,28.57,0.05,1.22,66.67,5.98,37.12,2.54,1.95,18.88,0.86,1.13,24.31,79.52,7.15,74.05,4.53,86,6.56,81.38,22.41,82.02,0.68,73.33,14.46,16,0.12,0.59,0.09,0.05,0.86,42.11,0.41,3.12,69.57,1.81,57.5,0.86,42.11,1.27,0.41,2.67,79.66,0,,0,,0,0,0,0,,,0,,,0.05,0,0,0.18,2,100
